date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,163.355,163.355,163.355,163.355,163.355,200,32671.0,2
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,162.78,162.78,162.78,162.78,162.78,100,16278.0,1
2019-11-01,09:34,09:34 AM,162.8,162.8,162.8,162.8,162.8,100,16280.0,1
2019-11-01,09:35,09:35 AM,162.57,162.32,162.52,162.57,162.497,254,41274.28,3
2019-11-01,09:36,09:36 AM,162.73,162.73,162.73,162.73,162.73,100,16273.0,1
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,163.705,163.705,163.705,163.705,163.705,100,16370.5,1
2019-11-01,09:39,09:39 AM,163.92,163.92,163.92,163.92,163.92,100,16392.0,1
2019-11-01,09:40,09:40 AM,163.66,163.615,163.66,163.615,163.619,200,32723.86,3
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,,,,,,0,0.0,0
2019-11-01,09:43,09:43 AM,163.54,163.54,163.54,163.54,163.54,100,16354.0,1
2019-11-01,09:44,09:44 AM,163.54,163.535,163.535,163.54,163.537,200,32707.5,2
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,164.08,164.04,164.04,164.08,164.053,300,49216.0,3
2019-11-01,09:48,09:48 AM,164.015,164.015,164.015,164.015,164.015,100,16401.5,1
2019-11-01,09:49,09:49 AM,164.25,164.14,164.25,164.14,164.203,234,38423.5,2
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,164.135,164.04,164.135,164.04,164.088,200,32817.5,2
2019-11-01,09:52,09:52 AM,164.17,164.17,164.17,164.17,164.17,100,16417.0,1
2019-11-01,09:53,09:53 AM,164.625,164.57,164.57,164.625,164.597,200,32919.5,2
2019-11-01,09:54,09:54 AM,164.74,164.63,164.74,164.63,164.674,100,16467.4,2
2019-11-01,09:55,09:55 AM,164.94,164.785,164.785,164.94,164.863,200,32972.5,2
2019-11-01,09:56,09:56 AM,164.6,164.455,164.6,164.455,164.511,315,51821.0,4
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,164.75,164.75,164.75,164.75,164.75,107,17628.25,2
2019-11-01,10:00,10 AM,164.94,164.815,164.815,164.94,164.93900000000005,101,16658.815,2
