date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,77.98,77.98,77.98,77.98,77.98,50,3899.0,1
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,77.82,77.82,77.82,77.82,77.82,2,155.64,1
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,77.7,77.7,77.7,77.7,77.7,103,8003.1,2
2019-11-01,09:41,09:41 AM,77.76,77.76,77.76,77.76,77.76,100,7776.0,1
2019-11-01,09:42,09:42 AM,77.78,77.78,77.78,77.78,77.78,800,62224.0,1
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,77.875,77.875,77.875,77.875,77.875,6,467.25,1
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,77.815,77.77,77.77,77.78,77.805,1101,85663.775,5
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,,,,,,0,0.0,0
2019-11-01,10:04,10:04 AM,77.74,77.74,77.74,77.74,77.74,1,77.74,1
2019-11-01,10:05,10:05 AM,,,,,,0,0.0,0
2019-11-01,10:06,10:06 AM,77.685,77.68,77.68,77.685,77.683,200,15536.5,2
2019-11-01,10:07,10:07 AM,77.68,77.68,77.68,77.68,77.68,100,7768.0,1
2019-11-01,10:08,10:08 AM,77.64,77.64,77.64,77.64,77.64,100,7764.0,1
2019-11-01,10:09,10:09 AM,77.685,77.685,77.685,77.685,77.685,200,15537.0,1
2019-11-01,10:10,10:10 AM,,,,,,0,0.0,0
2019-11-01,10:11,10:11 AM,77.69,77.69,77.69,77.69,77.69,200,15538.0,1
2019-11-01,10:12,10:12 AM,77.65,77.64,77.65,77.64,77.64699999999998,300,23294.0,2
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
2019-11-01,10:14,10:14 AM,,,,,,0,0.0,0
2019-11-01,10:15,10:15 AM,77.53,77.49,77.49,77.53,77.53,115,8915.91,2
2019-11-01,10:16,10:16 AM,,,,,,0,0.0,0
2019-11-01,10:17,10:17 AM,,,,,,0,0.0,0
2019-11-01,10:18,10:18 AM,77.525,77.525,77.525,77.525,77.525,106,8217.65,1
2019-11-01,10:19,10:19 AM,,,,,,0,0.0,0
2019-11-01,10:20,10:20 AM,77.545,77.51,77.51,77.545,77.512,1900,147272.5,3
2019-11-01,10:21,10:21 AM,77.55,77.55,77.55,77.55,77.55,3,232.65,1
2019-11-01,10:22,10:22 AM,,,,,,0,0.0,0
2019-11-01,10:23,10:23 AM,,,,,,0,0.0,0
2019-11-01,10:24,10:24 AM,,,,,,0,0.0,0
2019-11-01,10:25,10:25 AM,,,,,,0,0.0,0
2019-11-01,10:26,10:26 AM,,,,,,0,0.0,0
2019-11-01,10:27,10:27 AM,,,,,,0,0.0,0
2019-11-01,10:28,10:28 AM,,,,,,0,0.0,0
2019-11-01,10:29,10:29 AM,,,,,,0,0.0,0
2019-11-01,10:30,10:30 AM,77.6,77.6,77.6,77.6,77.6,200,15520.0,2
2019-11-01,10:31,10:31 AM,,,,,,0,0.0,0
2019-11-01,10:32,10:32 AM,,,,,,0,0.0,0
2019-11-01,10:33,10:33 AM,,,,,,0,0.0,0
2019-11-01,10:34,10:34 AM,,,,,,0,0.0,0
2019-11-01,10:35,10:35 AM,77.6,77.59,77.59,77.6,77.6,300,23279.9,3
2019-11-01,10:36,10:36 AM,77.54,77.54,77.54,77.54,77.54,110,8529.4,1
2019-11-01,10:37,10:37 AM,,,,,,0,0.0,0
2019-11-01,10:38,10:38 AM,,,,,,0,0.0,0
2019-11-01,10:39,10:39 AM,77.585,77.585,77.585,77.585,77.585,500,38792.5,3
2019-11-01,10:40,10:40 AM,77.58,77.58,77.58,77.58,77.58,100,7758.0,1
2019-11-01,10:41,10:41 AM,,,,,,0,0.0,0
2019-11-01,10:42,10:42 AM,77.56,77.56,77.56,77.56,77.56,69,5351.64,1
2019-11-01,10:43,10:43 AM,,,,,,0,0.0,0
2019-11-01,10:44,10:44 AM,,,,,,0,0.0,0
2019-11-01,10:45,10:45 AM,,,,,,0,0.0,0
2019-11-01,10:46,10:46 AM,,,,,,0,0.0,0
2019-11-01,10:47,10:47 AM,77.37,77.37,77.37,77.37,77.37,100,7737.0,1
2019-11-01,10:48,10:48 AM,,,,,,0,0.0,0
2019-11-01,10:49,10:49 AM,,,,,,0,0.0,0
2019-11-01,10:50,10:50 AM,77.36,77.34,77.36,77.34,77.345,165,12761.94,2
2019-11-01,10:51,10:51 AM,,,,,,0,0.0,0
2019-11-01,10:52,10:52 AM,,,,,,0,0.0,0
2019-11-01,10:53,10:53 AM,,,,,,0,0.0,0
2019-11-01,10:54,10:54 AM,,,,,,0,0.0,0
2019-11-01,10:55,10:55 AM,,,,,,0,0.0,0
2019-11-01,10:56,10:56 AM,,,,,,0,0.0,0
2019-11-01,10:57,10:57 AM,,,,,,0,0.0,0
2019-11-01,10:58,10:58 AM,,,,,,0,0.0,0
2019-11-01,10:59,10:59 AM,,,,,,0,0.0,0
2019-11-01,11:00,11 AM,,,,,,0,0.0,0
2019-11-01,11:01,11:01 AM,,,,,,0,0.0,0
2019-11-01,11:02,11:02 AM,,,,,,0,0.0,0
2019-11-01,11:03,11:03 AM,,,,,,0,0.0,0
2019-11-01,11:04,11:04 AM,,,,,,0,0.0,0
2019-11-01,11:05,11:05 AM,,,,,,0,0.0,0
2019-11-01,11:06,11:06 AM,77.43,77.43,77.43,77.43,77.43,2,154.86,1
2019-11-01,11:07,11:07 AM,,,,,,0,0.0,0
2019-11-01,11:08,11:08 AM,,,,,,0,0.0,0
2019-11-01,11:09,11:09 AM,,,,,,0,0.0,0
2019-11-01,11:10,11:10 AM,,,,,,0,0.0,0
2019-11-01,11:11,11:11 AM,,,,,,0,0.0,0
2019-11-01,11:12,11:12 AM,77.46,77.46,77.46,77.46,77.46,10,774.6,1
2019-11-01,11:13,11:13 AM,77.42,77.42,77.42,77.42,77.42,100,7742.0,1
2019-11-01,11:14,11:14 AM,,,,,,0,0.0,0
2019-11-01,11:15,11:15 AM,,,,,,0,0.0,0
2019-11-01,11:16,11:16 AM,,,,,,0,0.0,0
2019-11-01,11:17,11:17 AM,,,,,,0,0.0,0
2019-11-01,11:18,11:18 AM,77.32,77.32,77.32,77.32,77.32,100,7732.0,1
2019-11-01,11:19,11:19 AM,,,,,,0,0.0,0
2019-11-01,11:20,11:20 AM,,,,,,0,0.0,0
2019-11-01,11:21,11:21 AM,,,,,,0,0.0,0
2019-11-01,11:22,11:22 AM,,,,,,0,0.0,0
2019-11-01,11:23,11:23 AM,,,,,,0,0.0,0
2019-11-01,11:24,11:24 AM,,,,,,0,0.0,0
2019-11-01,11:25,11:25 AM,,,,,,0,0.0,0
2019-11-01,11:26,11:26 AM,,,,,,0,0.0,0
2019-11-01,11:27,11:27 AM,,,,,,0,0.0,0
