date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,53.57,53.53,53.57,53.53,53.555,2500,133886.5,5
2019-11-01,09:33,09:33 AM,53.5,53.445,53.5,53.445,53.463,300,16039.0,2
2019-11-01,09:34,09:34 AM,53.445,53.415,53.445,53.43,53.428000000000004,400,21371.0,4
2019-11-01,09:35,09:35 AM,53.425,53.4,53.425,53.41,53.413999999999994,400,21365.5,4
2019-11-01,09:36,09:36 AM,53.425,53.405,53.405,53.41,53.413000000000004,500,26706.5,4
2019-11-01,09:37,09:37 AM,53.41,53.4,53.41,53.4,53.4,201,10733.41,3
2019-11-01,09:38,09:38 AM,53.43,53.4,53.43,53.4,53.413000000000004,400,21365.0,4
2019-11-01,09:39,09:39 AM,53.37,53.37,53.37,53.37,53.37,200,10674.0,2
2019-11-01,09:40,09:40 AM,53.375,53.36,53.36,53.375,53.372,450,24017.25,3
2019-11-01,09:41,09:41 AM,53.37,53.35,53.37,53.35,53.354,450,24009.5,2
2019-11-01,09:42,09:42 AM,53.335,53.305,53.335,53.32,53.31800000000001,5150,274589.5,19
2019-11-01,09:43,09:43 AM,53.32,53.27,53.315,53.28,53.301,3600,191883.0,17
2019-11-01,09:44,09:44 AM,53.28,53.26,53.28,53.26,53.263999999999996,900,47937.5,6
2019-11-01,09:45,09:45 AM,53.25,53.23,53.245,53.25,53.245,2000,106490.5,6
2019-11-01,09:46,09:46 AM,53.29,53.245,53.255,53.29,53.255,1000,53255.0,9
2019-11-01,09:47,09:47 AM,53.285,53.275,53.275,53.285,53.278999999999996,500,26639.5,4
2019-11-01,09:48,09:48 AM,53.34,53.33,53.335,53.33,53.335,1576,84055.34,10
2019-11-01,09:49,09:49 AM,53.34,53.325,53.34,53.325,53.32899999999999,600,31997.5,5
2019-11-01,09:50,09:50 AM,53.31,53.285,53.31,53.285,53.29600000000001,600,31977.5,6
2019-11-01,09:51,09:51 AM,53.32,53.28,53.28,53.32,53.3,200,10660.0,2
2019-11-01,09:52,09:52 AM,53.295,53.295,53.295,53.295,53.295,700,37306.5,3
2019-11-01,09:53,09:53 AM,53.295,53.285,53.295,53.285,53.29,400,21316.0,4
2019-11-01,09:54,09:54 AM,53.33,53.31,53.31,53.325,53.321999999999996,500,26661.0,4
2019-11-01,09:55,09:55 AM,53.325,53.28,53.325,53.285,53.303000000000004,1353,72119.415,17
2019-11-01,09:56,09:56 AM,53.285,53.265,53.285,53.265,53.277,497,26478.675,4
2019-11-01,09:57,09:57 AM,53.27,53.255,53.255,53.27,53.26300000000001,200,10652.5,2
2019-11-01,09:58,09:58 AM,53.275,53.275,53.275,53.275,53.275,100,5327.5,1
2019-11-01,09:59,09:59 AM,53.325,53.315,53.315,53.325,53.32,200,10664.0,2
2019-11-01,10:00,10 AM,53.3,53.28,53.28,53.3,53.29,200,10658.0,2
2019-11-01,10:01,10:01 AM,53.255,53.255,53.255,53.255,53.255,50,2662.75,1
2019-11-01,10:02,10:02 AM,53.305,53.295,53.305,53.295,53.302,300,15990.5,3
2019-11-01,10:03,10:03 AM,53.38,53.365,53.38,53.365,53.372,303,16171.595,3
2019-11-01,10:04,10:04 AM,53.355,53.335,53.35,53.335,53.346000000000004,350,18671.25,4
2019-11-01,10:05,10:05 AM,53.375,53.36,53.36,53.365,53.37300000000001,2110,112618.2,19
