date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,176.795,176.7,176.7,176.795,176.762,153,27044.6,2
2019-11-01,09:31,09:31 AM,176.72,176.72,176.72,176.72,176.72,4,706.88,1
2019-11-01,09:32,09:32 AM,176.5,176.5,176.5,176.5,176.5,5,882.5,1
2019-11-01,09:33,09:33 AM,176.29,176.11,176.12,176.29,176.13299999999995,270,47555.88,4
2019-11-01,09:34,09:34 AM,176.36,176.3,176.36,176.3,176.333,9,1587.0,2
2019-11-01,09:35,09:35 AM,176.3,176.27,176.27,176.3,176.283,715,126042.5,8
2019-11-01,09:36,09:36 AM,176.58,176.57,176.58,176.57,176.57299999999995,300,52972.0,3
2019-11-01,09:37,09:37 AM,176.64,176.39,176.42,176.64,176.489,452,79773.18,8
2019-11-01,09:38,09:38 AM,176.71,176.54,176.54,176.71,176.625,200,35325.0,2
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,176.57,176.565,176.565,176.57,176.56799999999996,500,88284.0,5
2019-11-01,09:41,09:41 AM,176.675,176.56,176.66,176.675,176.65,141,24907.66,3
2019-11-01,09:42,09:42 AM,176.77,176.74,176.76,176.74,176.76,400,70704.0,4
2019-11-01,09:43,09:43 AM,176.76,176.76,176.76,176.76,176.76,50,8838.0,1
2019-11-01,09:44,09:44 AM,176.85,176.85,176.85,176.85,176.85,11,1945.35,1
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,176.96,176.905,176.905,176.96,176.91299999999995,700,123839.0,3
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,177.21,177.21,177.21,177.21,177.21,100,17721.0,1
2019-11-01,09:50,09:50 AM,177.34,177.34,177.34,177.34,177.34,100,17734.0,1
2019-11-01,09:51,09:51 AM,177.65,177.58,177.59,177.65,177.608,250,44402.01,4
2019-11-01,09:52,09:52 AM,177.83,177.58,177.58,177.83,177.66299999999995,300,53299.0,3
2019-11-01,09:53,09:53 AM,177.83,177.77,177.78,177.83,177.80200000000005,220,39116.4,3
2019-11-01,09:54,09:54 AM,178.065,178.0,178.0,178.065,178.063,103,18340.5,2
2019-11-01,09:55,09:55 AM,178.23,177.98,178.23,177.98,178.109,550,97960.0,8
2019-11-01,09:56,09:56 AM,177.95,177.95,177.95,177.95,177.95,100,17795.0,1
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,178.15,178.15,178.15,178.15,178.15,100,17815.0,1
2019-11-01,09:59,09:59 AM,178.19,178.19,178.19,178.19,178.19,1200,213828.0,3
2019-11-01,10:00,10 AM,178.33,178.26,178.26,178.33,178.295,200,35659.0,2
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,178.44,178.32,178.32,178.44,178.38,200,35676.0,2
2019-11-01,10:03,10:03 AM,178.53,178.455,178.455,178.53,178.49599999999995,250,44624.0,3
2019-11-01,10:04,10:04 AM,178.52,178.52,178.52,178.52,178.52,100,17852.0,1
2019-11-01,10:05,10:05 AM,178.49,178.49,178.49,178.49,178.49,600,107094.0,5
2019-11-01,10:06,10:06 AM,,,,,,0,0.0,0
2019-11-01,10:07,10:07 AM,178.53,178.5,178.5,178.53,178.515,200,35703.0,2
2019-11-01,10:08,10:08 AM,178.56,178.56,178.56,178.56,178.56,100,17856.0,1
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,178.56,178.56,178.56,178.56,178.56,103,18391.68,2
2019-11-01,10:11,10:11 AM,178.615,178.57,178.57,178.595,178.59400000000005,1000,178593.5,10
