date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,54.85,54.85,54.85,54.85,54.85,100,5485.0,1
2019-11-01,09:32,09:32 AM,54.925,54.595,54.595,54.925,54.76,600,32856.0,6
2019-11-01,09:33,09:33 AM,55.115,55.115,55.115,55.115,55.115,200,11023.0,2
2019-11-01,09:34,09:34 AM,54.795,54.795,54.795,54.795,54.795,100,5479.5,1
2019-11-01,09:35,09:35 AM,54.88,54.73,54.73,54.88,54.805,200,10961.0,2
2019-11-01,09:36,09:36 AM,54.86,54.86,54.86,54.86,54.86,100,5486.0,1
2019-11-01,09:37,09:37 AM,54.84,54.84,54.84,54.84,54.84,100,5484.0,1
2019-11-01,09:38,09:38 AM,54.845,54.845,54.845,54.845,54.845,100,5484.5,1
2019-11-01,09:39,09:39 AM,54.845,54.845,54.845,54.845,54.845,300,16453.5,3
2019-11-01,09:40,09:40 AM,54.835,54.835,54.835,54.835,54.835,100,5483.5,1
2019-11-01,09:41,09:41 AM,54.855,54.85,54.855,54.85,54.852,200,10970.5,2
2019-11-01,09:42,09:42 AM,55.18,54.95,54.95,55.18,55.15,115,6342.25,2
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,55.07,55.07,55.07,55.07,55.07,30,1652.1,4
2019-11-01,09:48,09:48 AM,54.915,54.915,54.915,54.915,54.915,100,5491.5,1
2019-11-01,09:49,09:49 AM,54.89,54.88,54.88,54.89,54.888999999999996,1400,76845.0,2
2019-11-01,09:50,09:50 AM,54.87,54.85,54.85,54.87,54.86,200,10972.0,2
2019-11-01,09:51,09:51 AM,54.96,54.92,54.95,54.92,54.958999999999996,1103,60619.76,4
2019-11-01,09:52,09:52 AM,54.97,54.945,54.97,54.95,54.955,300,16486.5,3
2019-11-01,09:53,09:53 AM,54.91,54.91,54.91,54.91,54.91,100,5491.0,1
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,55.07,55.07,55.07,55.07,55.07,100,5507.0,1
