date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,254.11,253.565,253.565,254.11,253.835,200,50767.0,3
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,254.255,254.255,254.255,254.255,254.255,100,25425.5,1
2019-11-01,09:34,09:34 AM,255.31,255.31,255.31,255.31,255.31,39,9957.09,1
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,256.225,255.975,256.21,255.975,256.002,54,13824.135,5
2019-11-01,09:39,09:39 AM,256.21,256.18,256.18,256.21,256.2,3,768.6,2
2019-11-01,09:40,09:40 AM,256.48,256.355,256.48,256.445,256.421,349,89490.89,7
2019-11-01,09:41,09:41 AM,256.195,255.74,256.015,255.745,256.11,464,118834.87,5
2019-11-01,09:42,09:42 AM,,,,,,0,0.0,0
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,256.74,256.49,256.49,256.74,256.599,297,76209.78,3
2019-11-01,09:45,09:45 AM,256.71,256.64,256.64,256.71,256.698,120,30803.8,2
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,256.51,256.51,256.51,256.51,256.51,100,25651.0,1
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,257.465,257.01,257.01,257.465,257.156,700,180009.5,7
2019-11-01,09:50,09:50 AM,258.165,257.48,257.48,258.165,258.003,600,154802.0,6
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,258.13,258.075,258.13,258.13,258.112,300,77433.5,3
2019-11-01,09:53,09:53 AM,258.45,258.115,258.45,258.115,258.199,4,1032.795,2
2019-11-01,09:54,09:54 AM,257.485,257.38,257.38,257.485,257.433,200,51486.5,2
2019-11-01,09:55,09:55 AM,256.375,256.37,256.37,256.375,256.373,200,51274.5,3
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,,,,,,0,0.0,0
2019-11-01,10:01,10:01 AM,257.34,257.34,257.34,257.34,257.34,12,3088.08,1
2019-11-01,10:02,10:02 AM,257.4,257.4,257.4,257.4,257.4,100,25740.0,1
2019-11-01,10:03,10:03 AM,,,,,,0,0.0,0
2019-11-01,10:04,10:04 AM,,,,,,0,0.0,0
2019-11-01,10:05,10:05 AM,259.46,259.46,259.46,259.46,259.46,200,51892.0,2
2019-11-01,10:06,10:06 AM,259.04,258.79,259.04,258.79,258.915,200,51783.0,2
2019-11-01,10:07,10:07 AM,,,,,,0,0.0,0
2019-11-01,10:08,10:08 AM,258.43,258.43,258.43,258.43,258.43,113,29202.59,1
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,,,,,,0,0.0,0
2019-11-01,10:11,10:11 AM,258.27,258.27,258.27,258.27,258.27,147,37965.69,1
2019-11-01,10:12,10:12 AM,258.7,258.64,258.7,258.64,258.67,200,51734.0,2
2019-11-01,10:13,10:13 AM,258.81,258.635,258.65,258.81,258.673,540,139683.4,4
2019-11-01,10:14,10:14 AM,258.96,258.96,258.96,258.96,258.96,100,25896.0,1
2019-11-01,10:15,10:15 AM,,,,,,0,0.0,0
2019-11-01,10:16,10:16 AM,259.24,259.08,259.24,259.23,259.203,771,199845.36,6
2019-11-01,10:17,10:17 AM,259.39,258.83,259.03,258.83,259.181,1308,339008.64,10
2019-11-01,10:18,10:18 AM,258.555,258.435,258.555,258.44,258.439,203,52463.165,3
2019-11-01,10:19,10:19 AM,258.26,257.97,257.97,258.26,258.254,303,78250.91,3
2019-11-01,10:20,10:20 AM,258.71,258.265,258.265,258.71,258.517,741,191561.105,6
