date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,55.11,54.88,55.06,54.88,55.021,330,18156.8,3
2019-11-01,09:32,09:32 AM,54.88,54.88,54.88,54.88,54.88,100,5488.0,1
2019-11-01,09:33,09:33 AM,54.9,54.77,54.9,54.77,54.835,200,10967.0,2
2019-11-01,09:34,09:34 AM,54.83,54.83,54.83,54.83,54.83,100,5483.0,1
2019-11-01,09:35,09:35 AM,54.98,54.85,54.915,54.96,54.926,400,21970.5,4
2019-11-01,09:36,09:36 AM,55.06,55.0,55.04,55.0,55.034,500,27517.0,5
2019-11-01,09:37,09:37 AM,55.03,54.99,55.03,54.99,55.0,201,11055.03,3
2019-11-01,09:38,09:38 AM,54.8,54.8,54.8,54.8,54.8,100,5480.0,1
2019-11-01,09:39,09:39 AM,54.74,54.705,54.74,54.705,54.736000000000004,112,6130.46,2
2019-11-01,09:40,09:40 AM,54.73,54.73,54.73,54.73,54.73,2,109.46,1
2019-11-01,09:41,09:41 AM,54.63,54.56,54.63,54.56,54.566,369,20134.67,6
2019-11-01,09:42,09:42 AM,54.7,54.62,54.64,54.63,54.647,395,21585.59,5
2019-11-01,09:43,09:43 AM,54.65,54.65,54.65,54.65,54.65,200,10930.0,2
2019-11-01,09:44,09:44 AM,54.66,54.65,54.66,54.66,54.655,205,11204.3,3
2019-11-01,09:45,09:45 AM,54.71,54.655,54.655,54.71,54.68899999999999,702,38391.9,9
2019-11-01,09:46,09:46 AM,54.79,54.74,54.78,54.74,54.785,562,30788.98,5
2019-11-01,09:47,09:47 AM,54.7,54.67,54.67,54.7,54.699,104,5688.68,2
2019-11-01,09:48,09:48 AM,54.73,54.73,54.73,54.73,54.73,100,5473.0,1
2019-11-01,09:49,09:49 AM,54.69,54.68,54.69,54.68,54.68,202,11045.38,3
2019-11-01,09:50,09:50 AM,54.69,54.68,54.68,54.69,54.69,105,5742.4,3
2019-11-01,09:51,09:51 AM,54.68,54.68,54.68,54.68,54.68,100,5468.0,1
