date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,214.19,214.19,214.19,214.19,214.19,5,1070.95,1
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,214.705,214.705,214.705,214.705,214.705,100,21470.5,2
2019-11-01,09:34,09:34 AM,214.86,214.85,214.86,214.85,214.854,69,14824.94,3
2019-11-01,09:35,09:35 AM,215.37,215.005,215.005,215.37,215.12400000000002,611,131440.94,6
2019-11-01,09:36,09:36 AM,217.0,216.31,216.31,217.0,216.695,400,86678.0,4
2019-11-01,09:37,09:37 AM,216.77,216.45,216.71,216.45,216.58599999999998,700,151610.0,7
2019-11-01,09:38,09:38 AM,216.13,215.8,216.13,215.8,215.886,541,116794.33,2
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,215.565,215.53,215.53,215.565,215.548,200,43109.5,2
2019-11-01,09:41,09:41 AM,215.93,215.93,215.93,215.93,215.93,100,21593.0,1
2019-11-01,09:42,09:42 AM,215.77,215.75,215.75,215.77,215.75,206,44444.62,3
2019-11-01,09:43,09:43 AM,215.92,215.92,215.92,215.92,215.92,100,21592.0,1
2019-11-01,09:44,09:44 AM,216.0,216.0,216.0,216.0,216.0,1,216.0,1
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,215.4,215.4,215.4,215.4,215.4,100,21540.0,1
2019-11-01,09:47,09:47 AM,215.38,215.05,215.38,215.05,215.082,6798,1462129.04,17
2019-11-01,09:48,09:48 AM,215.28,215.28,215.28,215.28,215.28,100,21528.0,1
2019-11-01,09:49,09:49 AM,215.305,215.305,215.305,215.305,215.305,100,21530.5,1
2019-11-01,09:50,09:50 AM,215.39,215.3,215.3,215.39,215.345,200,43069.0,2
2019-11-01,09:51,09:51 AM,215.35,215.27,215.27,215.35,215.32299999999998,300,64597.0,2
2019-11-01,09:52,09:52 AM,215.48,215.26,215.26,215.48,215.37,200,43074.0,2
2019-11-01,09:53,09:53 AM,215.675,215.64,215.64,215.67,215.662,300,64698.5,3
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,215.71,215.555,215.71,215.58,215.66,915,197328.72,6
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,215.49,215.49,215.49,215.49,215.49,100,21549.0,1
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,215.16,215.085,215.16,215.085,215.123,200,43024.5,2
2019-11-01,10:00,10 AM,214.99,214.75,214.765,214.93,214.895,1800,386810.5,9
2019-11-01,10:01,10:01 AM,215.34,215.34,215.34,215.34,215.34,200,43068.0,1
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,215.505,215.5,215.505,215.5,215.5,165,35557.555,11
2019-11-01,10:04,10:04 AM,,,,,,0,0.0,0
2019-11-01,10:05,10:05 AM,,,,,,0,0.0,0
2019-11-01,10:06,10:06 AM,,,,,,0,0.0,0
2019-11-01,10:07,10:07 AM,,,,,,0,0.0,0
2019-11-01,10:08,10:08 AM,214.9,214.9,214.9,214.9,214.9,100,21490.0,1
2019-11-01,10:09,10:09 AM,214.96,214.95,214.96,214.95,214.955,200,42991.0,2
2019-11-01,10:10,10:10 AM,,,,,,0,0.0,0
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,215.285,214.97,214.97,215.285,215.023,6,1290.135,2
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
2019-11-01,10:14,10:14 AM,215.48,215.43,215.43,215.43,215.43200000000002,2500,538580.0,6
2019-11-01,10:15,10:15 AM,,,,,,0,0.0,0
2019-11-01,10:16,10:16 AM,215.68,215.31,215.31,215.68,215.387,524,112862.82,5
2019-11-01,10:17,10:17 AM,215.81,215.805,215.805,215.805,215.80700000000002,641,138332.505,6
2019-11-01,10:18,10:18 AM,215.805,215.69,215.755,215.69,215.739,500,107869.5,5
2019-11-01,10:19,10:19 AM,215.685,215.685,215.685,215.685,215.685,1,215.685,1
2019-11-01,10:20,10:20 AM,,,,,,0,0.0,0
2019-11-01,10:21,10:21 AM,215.65,215.5,215.565,215.5,215.528,1000,215528.0,5
2019-11-01,10:22,10:22 AM,,,,,,0,0.0,0
2019-11-01,10:23,10:23 AM,215.53,215.53,215.53,215.53,215.53,100,21553.0,1
2019-11-01,10:24,10:24 AM,,,,,,0,0.0,0
2019-11-01,10:25,10:25 AM,,,,,,0,0.0,0
2019-11-01,10:26,10:26 AM,215.51,215.51,215.51,215.51,215.51,200,43102.0,2
2019-11-01,10:27,10:27 AM,215.43,215.3,215.43,215.3,215.36700000000002,1100,236904.0,11
2019-11-01,10:28,10:28 AM,215.395,215.31,215.33,215.395,215.335,696,149873.16,6
2019-11-01,10:29,10:29 AM,215.33,215.33,215.33,215.33,215.33,100,21533.0,1
2019-11-01,10:30,10:30 AM,215.19,215.19,215.19,215.19,215.19,200,43038.0,2
2019-11-01,10:31,10:31 AM,,,,,,0,0.0,0
2019-11-01,10:32,10:32 AM,215.39,215.365,215.39,215.365,215.377,200,43075.5,2
2019-11-01,10:33,10:33 AM,215.435,215.365,215.435,215.41,215.405,400,86162.0,3
2019-11-01,10:34,10:34 AM,215.36,215.36,215.36,215.36,215.36,100,21536.0,1
2019-11-01,10:35,10:35 AM,215.28,215.28,215.28,215.28,215.28,100,21528.0,1
2019-11-01,10:36,10:36 AM,215.245,215.18,215.21,215.245,215.2,303,65205.735,5
2019-11-01,10:37,10:37 AM,215.245,215.245,215.245,215.245,215.245,100,21524.5,1
2019-11-01,10:38,10:38 AM,215.34,215.34,215.34,215.34,215.34,110,23687.4,2
2019-11-01,10:39,10:39 AM,215.405,215.405,215.405,215.405,215.405,100,21540.5,1
2019-11-01,10:40,10:40 AM,,,,,,0,0.0,0
2019-11-01,10:41,10:41 AM,215.42,215.42,215.42,215.42,215.42,100,21542.0,1
2019-11-01,10:42,10:42 AM,215.6,215.6,215.6,215.6,215.6,100,21560.0,1
2019-11-01,10:43,10:43 AM,215.64,215.64,215.64,215.64,215.64,100,21564.0,1
2019-11-01,10:44,10:44 AM,215.85,215.85,215.85,215.85,215.85,100,21585.0,1
2019-11-01,10:45,10:45 AM,,,,,,0,0.0,0
2019-11-01,10:46,10:46 AM,215.9,215.9,215.9,215.9,215.9,100,21590.0,1
2019-11-01,10:47,10:47 AM,215.91,215.89,215.89,215.91,215.9,200,43180.0,2
