date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,1791.31,1788.0,1789.91,1791.31,1789.392,513,917958.01,16
2019-11-01,09:31,09:31 AM,1788.0,1787.44,1787.65,1787.76,1787.894,608,1087039.63,10
2019-11-01,09:32,09:32 AM,1785.955,1785.87,1785.87,1785.955,1785.912,200,357182.5,2
2019-11-01,09:33,09:33 AM,1788.32,1787.445,1787.445,1788.32,1788.16,216,386242.59,5
2019-11-01,09:34,09:34 AM,1789.39,1789.39,1789.39,1789.39,1789.39,100,178939.0,1
2019-11-01,09:35,09:35 AM,1792.2,1791.005,1792.15,1791.005,1791.671,1269,2273631.065,23
2019-11-01,09:36,09:36 AM,1791.53,1791.025,1791.09,1791.025,1791.094,275,492551.0,4
2019-11-01,09:37,09:37 AM,1793.12,1789.21,1793.12,1790.36,1791.105,826,1479452.965,11
2019-11-01,09:38,09:38 AM,1792.71,1791.0,1791.0,1791.78,1792.263,162,290346.55,4
2019-11-01,09:39,09:39 AM,1792.65,1792.4,1792.4,1792.65,1792.615,125,224076.92,3
2019-11-01,09:40,09:40 AM,1791.81,1790.64,1791.72,1791.42,1791.066,586,1049564.825,11
2019-11-01,09:41,09:41 AM,1791.87,1791.3,1791.87,1791.3,1791.6029999999994,231,413860.425,4
2019-11-01,09:42,09:42 AM,1791.72,1791.39,1791.72,1791.72,1791.592,211,378025.92,4
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,1791.23,1790.87,1790.87,1791.23,1791.13,83,148663.81,3
2019-11-01,09:45,09:45 AM,1792.16,1790.65,1792.16,1790.65,1791.1729999999998,300,537352.0,3
2019-11-01,09:46,09:46 AM,1791.14,1788.53,1791.14,1788.53,1789.684,521,932425.23,7
2019-11-01,09:47,09:47 AM,1790.15,1790.15,1790.15,1790.15,1790.15,17,30432.55,1
2019-11-01,09:48,09:48 AM,1790.35,1789.865,1790.35,1789.865,1789.963,500,894981.5,3
2019-11-01,09:49,09:49 AM,1790.94,1790.255,1790.255,1790.425,1790.8370000000002,118,211318.76,3
2019-11-01,09:50,09:50 AM,1790.23,1790.17,1790.23,1790.17,1790.225,110,196924.7,2
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,1793.5,1793.5,1793.5,1793.5,1793.5,1,1793.5,1
2019-11-01,09:54,09:54 AM,1794.12,1794.0,1794.0,1794.12,1794.114,105,188382.0,2
2019-11-01,09:55,09:55 AM,1794.04,1794.04,1794.04,1794.04,1794.04,100,179404.0,1
2019-11-01,09:56,09:56 AM,1794.01,1793.85,1793.85,1794.01,1794.007,102,182988.7,2
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,1794.3,1793.42,1794.3,1793.42,1794.22,110,197364.2,2
2019-11-01,09:59,09:59 AM,1792.74,1792.06,1792.43,1792.08,1792.346,254,455255.88,6
2019-11-01,10:00,10 AM,1792.71,1791.14,1791.14,1792.02,1792.473,125,224059.12,4
2019-11-01,10:01,10:01 AM,1793.49,1793.49,1793.49,1793.49,1793.49,44,78913.56,1
2019-11-01,10:02,10:02 AM,1795.58,1793.7,1793.735,1795.58,1794.433,421,755456.48,6
2019-11-01,10:03,10:03 AM,1795.47,1795.47,1795.47,1795.47,1795.47,60,107728.2,1
