date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,222.405,222.32,222.405,222.32,222.321,101,22454.405,2
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,223.32,223.2,223.2,223.32,223.202,102,22766.64,2
2019-11-01,09:37,09:37 AM,224.04,222.835,224.04,222.835,223.22400000000002,500,111612.0,6
2019-11-01,09:38,09:38 AM,222.815,222.815,222.815,222.815,222.815,100,22281.5,1
2019-11-01,09:39,09:39 AM,223.36,223.025,223.025,223.36,223.03099999999998,102,22749.22,2
2019-11-01,09:40,09:40 AM,,,,,,0,0.0,0
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,,,,,,0,0.0,0
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,223.89,223.89,223.89,223.89,223.89,100,22389.0,1
2019-11-01,09:48,09:48 AM,224.28,224.28,224.28,224.28,224.28,100,22428.0,1
2019-11-01,09:49,09:49 AM,224.445,224.445,224.445,224.445,224.445,100,22444.5,1
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,224.2,224.2,224.2,224.2,224.2,100,22420.0,1
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,224.445,224.445,224.445,224.445,224.445,12,2693.34,1
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,224.085,224.085,224.085,224.085,224.085,100,22408.5,1
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,,,,,,0,0.0,0
2019-11-01,10:01,10:01 AM,224.185,224.185,224.185,224.185,224.185,100,22418.5,1
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,224.07,224.07,224.07,224.07,224.07,100,22407.0,1
2019-11-01,10:04,10:04 AM,,,,,,0,0.0,0
2019-11-01,10:05,10:05 AM,,,,,,0,0.0,0
2019-11-01,10:06,10:06 AM,224.73,224.73,224.73,224.73,224.73,100,22473.0,1
2019-11-01,10:07,10:07 AM,224.76,224.76,224.76,224.76,224.76,9,2022.84,1
2019-11-01,10:08,10:08 AM,224.43,224.38,224.43,224.38,224.421,74,16607.12,2
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,,,,,,0,0.0,0
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,,,,,,0,0.0,0
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
2019-11-01,10:14,10:14 AM,224.12,224.12,224.12,224.12,224.12,100,22412.0,1
2019-11-01,10:15,10:15 AM,,,,,,0,0.0,0
2019-11-01,10:16,10:16 AM,,,,,,0,0.0,0
