date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,269.505,269.505,269.505,269.505,269.505,100,26950.5,1
2019-11-01,09:32,09:32 AM,269.465,269.08,269.465,269.08,269.272,200,53854.5,2
2019-11-01,09:33,09:33 AM,268.885,268.69,268.69,268.885,268.802,174,46771.56,2
2019-11-01,09:34,09:34 AM,270.08,269.125,269.125,270.08,269.524,503,135570.375,4
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,270.5,270.5,270.5,270.5,270.5,100,27050.0,1
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,271.36,271.36,271.36,271.36,271.36,200,54272.0,1
2019-11-01,09:41,09:41 AM,271.19,270.86,271.19,270.87,270.9,908,245977.44,7
2019-11-01,09:42,09:42 AM,,,,,,0,0.0,0
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,270.62,270.62,270.62,270.62,270.62,20,5412.4,1
2019-11-01,09:46,09:46 AM,271.22,271.22,271.22,271.22,271.22,5,1356.1,1
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,,,,,,0,0.0,0
2019-11-01,09:50,09:50 AM,272.13,272.06,272.13,272.06,272.095,200,54419.0,2
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,273.22,272.74,272.74,273.21,273.087,400,109235.0,4
2019-11-01,09:56,09:56 AM,272.78,272.52,272.78,272.52,272.65,200,54530.0,2
2019-11-01,09:57,09:57 AM,272.46,272.46,272.46,272.46,272.46,100,27246.0,1
2019-11-01,09:58,09:58 AM,273.46,273.05,273.42,273.25,273.308,311,84998.75,4
2019-11-01,09:59,09:59 AM,273.88,273.13,273.13,273.81,273.628,500,136814.0,5
2019-11-01,10:00,10 AM,274.26,272.71,273.07,274.26,273.768,600,164261.0,6
2019-11-01,10:01,10:01 AM,275.69,274.26,274.26,275.56,275.246,472,129916.0,6
2019-11-01,10:02,10:02 AM,275.185,274.77,275.185,274.8,274.811,214,58809.59,3
2019-11-01,10:03,10:03 AM,274.37,274.25,274.37,274.25,274.369,101,27711.25,2
2019-11-01,10:04,10:04 AM,275.1,274.53,274.53,274.64,274.714,600,164828.5,9
2019-11-01,10:05,10:05 AM,,,,,,0,0.0,0
2019-11-01,10:06,10:06 AM,,,,,,0,0.0,0
2019-11-01,10:07,10:07 AM,275.14,275.14,275.14,275.14,275.14,100,27514.0,1
2019-11-01,10:08,10:08 AM,275.0,274.85,275.0,274.85,274.943,200,54988.7,3
2019-11-01,10:09,10:09 AM,274.91,274.91,274.91,274.91,274.91,100,27491.0,1
2019-11-01,10:10,10:10 AM,275.12,274.94,274.94,275.12,275.03,200,55006.0,2
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,274.67,274.59,274.67,274.59,274.65,100,27465.0,2
2019-11-01,10:13,10:13 AM,274.88,274.695,274.695,274.72,274.825,610,167642.95,7
2019-11-01,10:14,10:14 AM,,,,,,0,0.0,0
2019-11-01,10:15,10:15 AM,275.005,274.61,274.86,274.61,274.868,700,192407.5,7
2019-11-01,10:16,10:16 AM,274.71,274.71,274.71,274.71,274.71,100,27471.0,1
2019-11-01,10:17,10:17 AM,,,,,,0,0.0,0
2019-11-01,10:18,10:18 AM,274.53,274.45,274.53,274.45,274.504,202,55449.9,6
2019-11-01,10:19,10:19 AM,274.62,274.62,274.62,274.62,274.62,100,27462.0,1
2019-11-01,10:20,10:20 AM,,,,,,0,0.0,0
2019-11-01,10:21,10:21 AM,274.6,274.585,274.6,274.585,274.592,300,82377.5,3
2019-11-01,10:22,10:22 AM,274.68,274.6,274.68,274.6,274.629,207,56848.26,4
2019-11-01,10:23,10:23 AM,274.655,274.59,274.59,274.655,274.623,200,54924.5,2
2019-11-01,10:24,10:24 AM,,,,,,0,0.0,0
2019-11-01,10:25,10:25 AM,274.39,274.39,274.39,274.39,274.39,100,27439.0,1
2019-11-01,10:26,10:26 AM,274.575,274.575,274.575,274.575,274.575,6,1647.45,1
2019-11-01,10:27,10:27 AM,,,,,,0,0.0,0
2019-11-01,10:28,10:28 AM,,,,,,0,0.0,0
2019-11-01,10:29,10:29 AM,273.89,273.89,273.89,273.89,273.89,100,27389.0,1
2019-11-01,10:30,10:30 AM,273.8,273.8,273.8,273.8,273.8,100,27380.0,1
2019-11-01,10:31,10:31 AM,,,,,,0,0.0,0
2019-11-01,10:32,10:32 AM,,,,,,0,0.0,0
2019-11-01,10:33,10:33 AM,,,,,,0,0.0,0
2019-11-01,10:34,10:34 AM,,,,,,0,0.0,0
2019-11-01,10:35,10:35 AM,,,,,,0,0.0,0
2019-11-01,10:36,10:36 AM,274.32,274.32,274.32,274.32,274.32,100,27432.0,1
2019-11-01,10:37,10:37 AM,,,,,,0,0.0,0
2019-11-01,10:38,10:38 AM,274.19,274.19,274.19,274.19,274.19,100,27419.0,1
2019-11-01,10:39,10:39 AM,274.65,274.31,274.31,274.65,274.366,600,164619.6,7
2019-11-01,10:40,10:40 AM,274.74,274.74,274.74,274.74,274.74,200,54948.0,2
2019-11-01,10:41,10:41 AM,274.94,274.675,274.675,274.94,274.763,300,82429.0,2
2019-11-01,10:42,10:42 AM,275.005,275.005,275.005,275.005,275.005,100,27500.5,1
2019-11-01,10:43,10:43 AM,,,,,,0,0.0,0
2019-11-01,10:44,10:44 AM,274.96,274.79,274.79,274.95,274.91,400,109964.0,4
2019-11-01,10:45,10:45 AM,275.0,275.0,275.0,275.0,275.0,5,1375.0,1
2019-11-01,10:46,10:46 AM,274.97,274.97,274.97,274.97,274.97,100,27497.0,1
2019-11-01,10:47,10:47 AM,274.865,274.865,274.865,274.865,274.865,100,27486.5,1
2019-11-01,10:48,10:48 AM,274.94,274.84,274.84,274.94,274.89,200,54978.0,2
2019-11-01,10:49,10:49 AM,275.18,275.15,275.15,275.18,275.173,100,27517.25,2
2019-11-01,10:50,10:50 AM,274.9,274.88,274.88,274.9,274.892,160,43982.8,2
2019-11-01,10:51,10:51 AM,274.45,274.45,274.45,274.45,274.45,100,27445.0,1
2019-11-01,10:52,10:52 AM,,,,,,0,0.0,0
2019-11-01,10:53,10:53 AM,,,,,,0,0.0,0
2019-11-01,10:54,10:54 AM,,,,,,0,0.0,0
2019-11-01,10:55,10:55 AM,274.48,274.48,274.48,274.48,274.48,100,27448.0,1
2019-11-01,10:56,10:56 AM,274.435,274.435,274.435,274.435,274.435,100,27443.5,1
2019-11-01,10:57,10:57 AM,,,,,,0,0.0,0
2019-11-01,10:58,10:58 AM,,,,,,0,0.0,0
2019-11-01,10:59,10:59 AM,,,,,,0,0.0,0
2019-11-01,11:00,11 AM,,,,,,0,0.0,0
2019-11-01,11:01,11:01 AM,,,,,,0,0.0,0
2019-11-01,11:02,11:02 AM,274.915,274.755,274.915,274.755,274.835,200,54967.0,2
2019-11-01,11:03,11:03 AM,,,,,,0,0.0,0
2019-11-01,11:04,11:04 AM,,,,,,0,0.0,0
2019-11-01,11:05,11:05 AM,,,,,,0,0.0,0
2019-11-01,11:06,11:06 AM,,,,,,0,0.0,0
2019-11-01,11:07,11:07 AM,274.95,274.95,274.95,274.95,274.95,100,27495.0,1
2019-11-01,11:08,11:08 AM,,,,,,0,0.0,0
2019-11-01,11:09,11:09 AM,,,,,,0,0.0,0
2019-11-01,11:10,11:10 AM,,,,,,0,0.0,0
2019-11-01,11:11,11:11 AM,275.02,275.02,275.02,275.02,275.02,15,4125.3,1
2019-11-01,11:12,11:12 AM,275.17,275.03,275.03,275.15,275.095,400,110038.0,4
2019-11-01,11:13,11:13 AM,275.05,275.02,275.02,275.05,275.03,300,82509.0,3
2019-11-01,11:14,11:14 AM,274.945,274.945,274.945,274.945,274.945,100,27494.5,1
2019-11-01,11:15,11:15 AM,274.93,274.93,274.93,274.93,274.93,100,27493.0,1
2019-11-01,11:16,11:16 AM,,,,,,0,0.0,0
2019-11-01,11:17,11:17 AM,274.78,274.78,274.78,274.78,274.78,100,27478.0,1
2019-11-01,11:18,11:18 AM,274.81,274.81,274.81,274.81,274.81,100,27481.0,1
2019-11-01,11:19,11:19 AM,274.86,274.78,274.86,274.78,274.855,107,29409.46,2
2019-11-01,11:20,11:20 AM,,,,,,0,0.0,0
2019-11-01,11:21,11:21 AM,274.675,274.66,274.675,274.66,274.668,200,54933.5,2
2019-11-01,11:22,11:22 AM,,,,,,0,0.0,0
2019-11-01,11:23,11:23 AM,274.715,274.715,274.715,274.715,274.715,100,27471.5,1
2019-11-01,11:24,11:24 AM,,,,,,0,0.0,0
2019-11-01,11:25,11:25 AM,,,,,,0,0.0,0
2019-11-01,11:26,11:26 AM,274.775,274.635,274.775,274.635,274.705,200,54941.0,2
2019-11-01,11:27,11:27 AM,274.36,274.36,274.36,274.36,274.36,100,27436.0,1
2019-11-01,11:28,11:28 AM,,,,,,0,0.0,0
2019-11-01,11:29,11:29 AM,274.46,274.46,274.46,274.46,274.46,100,27446.0,1
2019-11-01,11:30,11:30 AM,,,,,,0,0.0,0
