date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,194.265,194.265,194.265,194.265,194.265,400,77706.0,2
2019-11-01,09:35,09:35 AM,194.225,194.225,194.225,194.225,194.225,600,116535.0,1
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,194.31,194.165,194.31,194.165,194.268,14,2719.76,2
2019-11-01,09:39,09:39 AM,194.11,194.08,194.11,194.08,194.08900000000003,439,85205.29,2
2019-11-01,09:40,09:40 AM,194.07,194.07,194.07,194.07,194.07,100,19407.0,1
2019-11-01,09:41,09:41 AM,194.365,194.365,194.365,194.365,194.365,100,19436.5,1
2019-11-01,09:42,09:42 AM,194.13,194.105,194.13,194.105,194.118,200,38823.5,2
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,194.1,194.1,194.1,194.1,194.1,100,19410.0,1
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,194.145,194.145,194.145,194.145,194.145,4,776.58,1
2019-11-01,09:50,09:50 AM,194.05,193.98,194.05,193.98,194.03099999999998,137,26582.26,2
2019-11-01,09:51,09:51 AM,194.07,193.98,193.98,194.07,194.062,110,21346.8,2
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,194.315,194.315,194.315,194.315,194.315,100,19431.5,1
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,194.245,194.245,194.245,194.245,194.245,100,19424.5,1
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,,,,,,0,0.0,0
2019-11-01,10:01,10:01 AM,193.98,193.98,193.98,193.98,193.98,10,1939.8,1
2019-11-01,10:02,10:02 AM,194.1,194.1,194.1,194.1,194.1,100,19410.0,1
2019-11-01,10:03,10:03 AM,,,,,,0,0.0,0
2019-11-01,10:04,10:04 AM,194.23,194.23,194.23,194.23,194.23,213,41370.99,2
2019-11-01,10:05,10:05 AM,,,,,,0,0.0,0
2019-11-01,10:06,10:06 AM,194.4,194.255,194.4,194.255,194.327,200,38865.5,2
2019-11-01,10:07,10:07 AM,194.2,194.185,194.2,194.185,194.192,204,39615.24,2
2019-11-01,10:08,10:08 AM,194.095,194.095,194.095,194.095,194.095,100,19409.5,1
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,194.145,194.145,194.145,194.145,194.145,200,38829.0,2
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,194.215,194.155,194.155,194.215,194.195,300,58258.5,2
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
2019-11-01,10:14,10:14 AM,,,,,,0,0.0,0
