date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,22.015,22.015,22.015,22.015,22.015,100.0,2201.5,1.0
2019-11-01,09:31,09:31 AM,22.07,22.045,22.045,22.07,22.046,104.0,2292.78,2.0
2019-11-01,09:32,09:32 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:33,09:33 AM,22.12,21.94,21.94,22.12,21.945,103.0,2260.36,3.0
2019-11-01,09:34,09:34 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:35,09:35 AM,22.38,22.38,22.38,22.38,22.38,100.0,2238.0,1.0
2019-11-01,09:36,09:36 AM,22.345,22.345,22.345,22.345,22.345,10.0,223.45,1.0
2019-11-01,09:37,09:37 AM,22.4,22.38,22.4,22.38,22.39,200.0,4478.0,2.0
2019-11-01,09:38,09:38 AM,22.47,22.435,22.47,22.435,22.456,1787.0,40129.58,5.0
2019-11-01,09:39,09:39 AM,22.455,22.42,22.42,22.435,22.438000000000002,1310.0,29393.5,8.0
2019-11-01,09:40,09:40 AM,22.445,22.42,22.42,22.42,22.436,308.0,6910.36,4.0
2019-11-01,09:41,09:41 AM,22.45,22.39,22.45,22.39,22.429000000000002,517.0,11595.595,8.0
2019-11-01,09:42,09:42 AM,22.39,22.35,22.385,22.365,22.381999999999998,180.0,4028.76,7.0
2019-11-01,09:43,09:43 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:44,09:44 AM,22.42,22.38,22.42,22.38,22.393,313.0,7008.99,7.0
2019-11-01,09:45,09:45 AM,22.415,22.325,22.335,22.415,22.35,11587.0,258975.205,9.0
2019-11-01,09:46,09:46 AM,22.38,22.38,22.38,22.38,22.38,100.0,2238.0,1.0
2019-11-01,09:47,09:47 AM,22.46,22.44,22.44,22.44,22.451,307.0,6892.59,6.0
2019-11-01,09:48,09:48 AM,22.525,22.45,22.52,22.45,22.485,553.0,12434.395,7.0
2019-11-01,09:49,09:49 AM,22.58,22.485,22.485,22.58,22.517,357.0,8038.56,4.0
2019-11-01,09:50,09:50 AM,22.6,22.55,22.6,22.55,22.558000000000003,1200.0,27070.0,4.0
2019-11-01,09:51,09:51 AM,22.605,22.57,22.605,22.595,22.592,797.0,18005.96,6.0
2019-11-01,09:52,09:52 AM,22.64,22.56,22.57,22.64,22.575,1903.0,42960.92,11.0
2019-11-01,09:53,09:53 AM,22.6,22.59,22.6,22.6,22.6,145.0,3276.98,4.0
2019-11-01,09:54,09:54 AM,22.675,22.62,22.62,22.67,22.653000000000002,1124.0,25462.09,13.0
2019-11-01,09:55,09:55 AM,22.71,22.65,22.65,22.71,22.676,1300.0,29479.0,7.0
2019-11-01,09:56,09:56 AM,22.71,22.68,22.68,22.71,22.695,200.0,4539.0,2.0
2019-11-01,09:57,09:57 AM,22.8,22.72,22.72,22.795,22.761,205.0,4665.975,3.0
2019-11-01,09:58,09:58 AM,22.84,22.8,22.82,22.835,22.814,866.0,19757.44,9.0
2019-11-01,09:59,09:59 AM,22.855,22.78,22.85,22.78,22.820999999999998,1118.0,25513.995,12.0
2019-11-01,10:00,10 AM,22.785,22.75,22.75,22.775,22.767,446.0,10154.15,4.0
2019-11-01,10:01,10:01 AM,22.85,22.81,22.81,22.85,22.845,1081.0,24695.21,12.0
2019-11-01,10:02,10:02 AM,22.96,22.86,22.86,22.96,22.909000000000002,403.0,9232.14,4.0
2019-11-01,10:03,10:03 AM,23.05,22.97,23.05,22.97,22.991999999999997,600.0,13795.0,5.0
2019-11-01,10:04,10:04 AM,22.95,22.94,22.95,22.94,22.945999999999998,221.0,5071.06,3.0
2019-11-01,10:05,10:05 AM,23.02,22.98,22.995,23.02,22.998,722.0,16604.89,7.0
2019-11-01,10:06,10:06 AM,23.005,22.98,23.0,22.99,22.989,844.0,19403.06,7.0
2019-11-01,10:07,10:07 AM,23.04,22.995,22.995,23.02,23.017,385.0,8861.635,4.0
2019-11-01,10:08,10:08 AM,23.07,23.015,23.015,23.07,23.064,1004.0,23156.78,4.0
2019-11-01,10:09,10:09 AM,23.1,23.055,23.1,23.055,23.086,406.0,9373.1,5.0
2019-11-01,10:10,10:10 AM,23.11,23.09,23.11,23.09,23.099,500.0,11549.5,5.0
2019-11-01,10:11,10:11 AM,23.18,23.09,23.09,23.18,23.153000000000002,384.0,8890.67,9.0
2019-11-01,10:12,10:12 AM,23.195,23.145,23.18,23.155,23.160999999999998,848.0,19640.46,24.0
2019-11-01,10:13,10:13 AM,23.245,23.155,23.155,23.235,23.163,234.0,5420.085,16.0
2019-11-01,10:14,10:14 AM,23.285,23.225,23.235,23.24,23.245,555.0,12901.25,26.0
2019-11-01,10:15,10:15 AM,23.255,23.215,23.255,23.225,23.228,582.0,13518.54,29.0
2019-11-01,10:16,10:16 AM,23.29,23.195,23.225,23.285,23.238000000000003,1280.0,29745.38,29.0
2019-11-01,10:17,10:17 AM,23.265,23.195,23.265,23.195,23.21,580.0,13461.92,28.0
2019-11-01,10:18,10:18 AM,23.215,23.115,23.205,23.145,23.179000000000002,582.0,13490.315,29.0
2019-11-01,10:19,10:19 AM,23.145,23.115,23.145,23.125,23.13,27.0,624.515,17.0
2019-11-01,10:20,10:20 AM,23.135,23.09,23.125,23.095,23.096,135.0,3117.935,10.0
2019-11-01,10:21,10:21 AM,23.115,23.095,23.105,23.115,23.107,602.0,13910.21,5.0
2019-11-01,10:22,10:22 AM,23.15,23.105,23.105,23.145,23.136999999999997,1252.0,28967.615,10.0
2019-11-01,10:23,10:23 AM,23.105,23.075,23.1,23.1,23.099,112.0,2587.15,6.0
2019-11-01,10:24,10:24 AM,23.085,23.03,23.085,23.03,23.057,206.0,4749.79,5.0
2019-11-01,10:25,10:25 AM,23.05,23.02,23.02,23.035,23.038,330.0,7602.415,9.0
2019-11-01,10:26,10:26 AM,23.07,23.055,23.055,23.065,23.059,951.0,21928.86,10.0
2019-11-01,10:27,10:27 AM,23.13,23.065,23.065,23.13,23.09800000000001,3308.0,76407.06,8.0
2019-11-01,10:28,10:28 AM,23.14,23.12,23.135,23.14,23.128,223.0,5157.465,5.0
2019-11-01,10:29,10:29 AM,23.255,23.18,23.185,23.255,23.248,110.0,2557.33,3.0
2019-11-01,10:30,10:30 AM,23.255,23.245,23.245,23.255,23.254,1206.0,28044.53,3.0
2019-11-01,10:31,10:31 AM,23.265,23.245,23.265,23.265,23.263,2300.0,53505.5,5.0
2019-11-01,10:32,10:32 AM,23.225,23.17,23.225,23.17,23.199,242.0,5614.14,3.0
2019-11-01,10:33,10:33 AM,23.215,23.215,23.215,23.215,23.215,100.0,2321.5,1.0
2019-11-01,10:34,10:34 AM,23.21,23.205,23.21,23.205,23.209,111.0,2576.255,2.0
2019-11-01,10:35,10:35 AM,23.27,23.24,23.255,23.25,23.25800000000001,2200.0,51167.0,8.0
2019-11-01,10:36,10:36 AM,23.26,23.225,23.25,23.225,23.244,520.0,12086.645,7.0
2019-11-01,10:37,10:37 AM,23.295,23.275,23.295,23.275,23.285,1750.0,40747.915,10.0
2019-11-01,10:38,10:38 AM,23.285,23.255,23.285,23.255,23.284000000000002,1123.0,26148.365,2.0
2019-11-01,10:39,10:39 AM,23.295,23.285,23.285,23.285,23.291,321.0,7476.585,6.0
2019-11-01,10:40,10:40 AM,23.365,23.3,23.3,23.365,23.318,1825.0,42555.0,5.0
2019-11-01,10:41,10:41 AM,23.42,23.38,23.38,23.42,23.399,213.0,4983.94,3.0
2019-11-01,10:42,10:42 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:43,10:43 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:44,10:44 AM,23.43,23.43,23.43,23.43,23.43,100.0,2343.0,1.0
2019-11-01,10:45,10:45 AM,23.48,23.48,23.48,23.48,23.48,100.0,2348.0,2.0
