date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,77.12,77.12,77.12,77.12,77.12,179,13804.48,1
2019-11-01,09:31,09:31 AM,77.29,77.19,77.29,77.19,77.197,107,8260.03,3
2019-11-01,09:32,09:32 AM,77.12,77.12,77.12,77.12,77.12,100,7712.0,1
2019-11-01,09:33,09:33 AM,77.28,77.155,77.155,77.28,77.197,600,46318.0,4
2019-11-01,09:34,09:34 AM,77.33,77.33,77.33,77.33,77.33,134,10362.22,3
2019-11-01,09:35,09:35 AM,77.23,77.225,77.225,77.23,77.227,300,23168.0,3
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,77.265,77.24,77.26,77.24,77.251,400,30900.5,4
2019-11-01,09:38,09:38 AM,77.25,77.22,77.22,77.25,77.22800000000002,700,54060.0,3
2019-11-01,09:39,09:39 AM,77.23,77.2,77.2,77.23,77.204,737,56899.01,5
2019-11-01,09:40,09:40 AM,,,,,,0,0.0,0
2019-11-01,09:41,09:41 AM,77.4,77.4,77.4,77.4,77.4,47,3637.8,1
2019-11-01,09:42,09:42 AM,77.49,77.47,77.49,77.47,77.48,200,15496.0,2
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,77.49,77.49,77.49,77.49,77.49,200,15498.0,1
2019-11-01,09:45,09:45 AM,77.47,77.38,77.47,77.4,77.404,1537,118970.3,10
2019-11-01,09:46,09:46 AM,77.4,77.325,77.355,77.4,77.372,1403,108552.975,9
2019-11-01,09:47,09:47 AM,77.43,77.39,77.43,77.39,77.40899999999998,900,69668.0,5
2019-11-01,09:48,09:48 AM,77.49,77.39,77.39,77.49,77.425,500,38712.5,5
2019-11-01,09:49,09:49 AM,77.495,77.495,77.495,77.495,77.495,300,23248.5,2
2019-11-01,09:50,09:50 AM,77.5,77.48,77.48,77.5,77.497,2600,201492.5,6
2019-11-01,09:51,09:51 AM,77.44,77.42,77.44,77.42,77.436,121,9369.82,2
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,77.52,77.465,77.5,77.505,77.49600000000002,5050,391352.5,20
2019-11-01,09:55,09:55 AM,77.475,77.47,77.475,77.47,77.472,200,15494.5,2
2019-11-01,09:56,09:56 AM,77.465,77.465,77.465,77.465,77.465,100,7746.5,1
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,77.44,77.44,77.44,77.44,77.44,37,2865.28,1
2019-11-01,09:59,09:59 AM,77.44,77.42,77.44,77.42,77.43,379,29345.97,5
2019-11-01,10:00,10 AM,77.47,77.4,77.41,77.47,77.42399999999998,600,46454.5,7
2019-11-01,10:01,10:01 AM,77.525,77.475,77.475,77.525,77.498,431,33401.775,5
2019-11-01,10:02,10:02 AM,77.57,77.535,77.57,77.535,77.556,1100,85311.5,5
2019-11-01,10:03,10:03 AM,77.52,77.505,77.505,77.51,77.513,1000,77513.0,7
2019-11-01,10:04,10:04 AM,77.66,77.53,77.53,77.66,77.618,758,58834.28,7
2019-11-01,10:05,10:05 AM,77.75,77.685,77.685,77.735,77.703,1600,124325.0,9
2019-11-01,10:06,10:06 AM,77.76,77.76,77.76,77.76,77.76,100,7776.0,1
2019-11-01,10:07,10:07 AM,77.72,77.72,77.72,77.72,77.72,300,23316.0,3
2019-11-01,10:08,10:08 AM,77.79,77.63,77.72,77.63,77.773,9552,742891.93,32
2019-11-01,10:09,10:09 AM,77.665,77.62,77.62,77.665,77.642,300,23292.5,3
