date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:31,09:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:32,09:32 AM,27.79,27.79,27.79,27.79,27.79,100.0,2779.0,1.0
2019-11-01,09:33,09:33 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:34,09:34 AM,27.91,27.85,27.85,27.91,27.851999999999997,104.0,2896.64,2.0
2019-11-01,09:35,09:35 AM,27.895,27.895,27.895,27.895,27.895,100.0,2789.5,1.0
2019-11-01,09:36,09:36 AM,27.895,27.895,27.895,27.895,27.895,300.0,8368.5,2.0
2019-11-01,09:37,09:37 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:38,09:38 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:39,09:39 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:40,09:40 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:41,09:41 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:42,09:42 AM,27.845,27.845,27.845,27.845,27.845,3.0,83.535,1.0
2019-11-01,09:43,09:43 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:44,09:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:45,09:45 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:46,09:46 AM,27.905,27.895,27.905,27.905,27.904,800.0,22323.0,3.0
2019-11-01,09:47,09:47 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:48,09:48 AM,27.92,27.91,27.91,27.92,27.91800000000001,7500.0,209388.0,12.0
2019-11-01,09:49,09:49 AM,27.915,27.915,27.915,27.915,27.915,100.0,2791.5,1.0
2019-11-01,09:50,09:50 AM,27.95,27.945,27.945,27.95,27.948,205.0,5729.25,3.0
2019-11-01,09:51,09:51 AM,27.92,27.92,27.92,27.92,27.92,200.0,5584.0,1.0
2019-11-01,09:52,09:52 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:53,09:53 AM,27.94,27.925,27.94,27.925,27.933000000000003,200.0,5586.585,3.0
2019-11-01,09:54,09:54 AM,27.935,27.93,27.93,27.935,27.932,500.0,13966.0,4.0
2019-11-01,09:55,09:55 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:56,09:56 AM,27.97,27.97,27.97,27.97,27.97,100.0,2797.0,1.0
2019-11-01,09:57,09:57 AM,27.975,27.97,27.97,27.975,27.971,618.0,17285.96,4.0
2019-11-01,09:58,09:58 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:59,09:59 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:00,10 AM,28.025,27.99,28.0,28.025,28.004,650.0,18202.5,8.0
