date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,42.16,42.14,42.14,42.16,42.15,200,8430.0,2
2019-11-01,09:31,09:31 AM,42.225,42.145,42.15,42.225,42.172,2700,113865.0,17
2019-11-01,09:32,09:32 AM,42.25,42.2,42.22,42.2,42.218999999999994,1002,42303.42,11
2019-11-01,09:33,09:33 AM,42.125,42.11,42.125,42.115,42.118,600,25271.0,6
2019-11-01,09:34,09:34 AM,42.15,42.1,42.115,42.1,42.119,2102,88534.24,16
2019-11-01,09:35,09:35 AM,42.17,42.105,42.105,42.17,42.133,833,35096.96,8
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,42.23,42.2,42.225,42.2,42.224,228,9627.1,3
2019-11-01,09:39,09:39 AM,42.21,42.18,42.205,42.18,42.205,304,12830.22,4
2019-11-01,09:40,09:40 AM,42.255,42.19,42.19,42.255,42.244,5900,249241.5,10
2019-11-01,09:41,09:41 AM,42.29,42.26,42.285,42.275,42.275,1800,76094.5,18
2019-11-01,09:42,09:42 AM,42.27,42.27,42.27,42.27,42.27,100,4227.0,1
2019-11-01,09:43,09:43 AM,42.26,42.25,42.26,42.25,42.257,300,12677.0,3
2019-11-01,09:44,09:44 AM,42.25,42.25,42.25,42.25,42.25,64,2704.0,1
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,42.28,42.25,42.255,42.28,42.262,303,12805.33,5
2019-11-01,09:49,09:49 AM,,,,,,0,0.0,0
2019-11-01,09:50,09:50 AM,42.38,42.33,42.33,42.38,42.332,104,4402.52,2
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,42.415,42.37,42.4,42.37,42.405,445,18870.35,6
2019-11-01,09:55,09:55 AM,42.355,42.35,42.355,42.35,42.35,105,4446.775,2
2019-11-01,09:56,09:56 AM,42.32,42.32,42.32,42.32,42.32,200,8464.0,2
2019-11-01,09:57,09:57 AM,42.3,42.3,42.3,42.3,42.3,100,4230.0,1
2019-11-01,09:58,09:58 AM,42.325,42.295,42.3,42.325,42.303999999999995,900,38074.0,7
2019-11-01,09:59,09:59 AM,42.33,42.33,42.33,42.33,42.33,100,4233.0,1
