date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,42.415,42.335,42.365,42.36,42.397,2100,89033.09,9
2019-11-01,09:33,09:33 AM,42.43,42.37,42.4,42.37,42.417,700,29692.0,3
2019-11-01,09:34,09:34 AM,42.21,42.21,42.21,42.21,42.21,300,12663.0,1
2019-11-01,09:35,09:35 AM,42.34,42.3,42.31,42.34,42.31800000000001,400,16927.0,4
2019-11-01,09:36,09:36 AM,42.45,42.37,42.375,42.39,42.391999999999996,1300,55110.0,9
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,42.625,42.625,42.625,42.625,42.625,4,170.5,1
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,,,,,,0,0.0,0
2019-11-01,09:41,09:41 AM,42.385,42.35,42.35,42.36,42.373999999999995,1100,46611.5,3
2019-11-01,09:42,09:42 AM,,,,,,0,0.0,0
2019-11-01,09:43,09:43 AM,42.505,42.395,42.395,42.505,42.395,902,38240.51,4
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,42.52,42.52,42.52,42.52,42.52,4,170.08,1
2019-11-01,09:47,09:47 AM,42.44,42.44,42.44,42.44,42.44,100,4244.0,1
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,,,,,,0,0.0,0
2019-11-01,09:50,09:50 AM,42.29,42.29,42.29,42.29,42.29,100,4229.0,1
2019-11-01,09:51,09:51 AM,42.33,42.33,42.33,42.33,42.33,100,4233.0,1
2019-11-01,09:52,09:52 AM,42.36,42.36,42.36,42.36,42.36,100,4236.0,1
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,42.47,42.47,42.47,42.47,42.47,100,4247.0,1
2019-11-01,09:57,09:57 AM,42.665,42.665,42.665,42.665,42.665,1063,45352.895,1
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,42.495,42.45,42.45,42.495,42.455,900,38209.5,2
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,42.7,42.7,42.7,42.7,42.7,300,12810.0,2
2019-11-01,10:04,10:04 AM,42.685,42.67,42.685,42.67,42.674,138,5889.03,2
2019-11-01,10:05,10:05 AM,42.64,42.64,42.64,42.64,42.64,103,4391.92,3
2019-11-01,10:06,10:06 AM,42.68,42.66,42.66,42.66,42.66,3400,145046.0,7
2019-11-01,10:07,10:07 AM,42.66,42.66,42.66,42.66,42.66,200,8532.0,3
2019-11-01,10:08,10:08 AM,,,,,,0,0.0,0
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,42.74,42.74,42.74,42.74,42.74,100,4274.0,1
2019-11-01,10:11,10:11 AM,42.77,42.77,42.77,42.77,42.77,100,4277.0,1
2019-11-01,10:12,10:12 AM,42.77,42.73,42.77,42.73,42.75,200,8550.0,2
