date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,27.18,27.08,27.08,27.18,27.131,400.0,10852.5,4.0
2019-11-01,09:31,09:31 AM,27.185,27.18,27.18,27.18,27.182,672.0,18266.46,3.0
2019-11-01,09:32,09:32 AM,27.16,27.125,27.145,27.16,27.139,1950.0,52920.25,8.0
2019-11-01,09:33,09:33 AM,27.165,27.145,27.16,27.145,27.156999999999996,400.0,10863.0,4.0
2019-11-01,09:34,09:34 AM,27.21,27.155,27.155,27.21,27.186,700.0,19030.0,6.0
2019-11-01,09:35,09:35 AM,27.275,27.255,27.275,27.255,27.274,206.0,5618.53,4.0
2019-11-01,09:36,09:36 AM,27.27,27.26,27.26,27.27,27.267,303.0,8261.81,4.0
2019-11-01,09:37,09:37 AM,27.275,27.255,27.27,27.255,27.265,607.0,16549.89,9.0
2019-11-01,09:38,09:38 AM,27.26,27.24,27.255,27.24,27.255,412.0,11229.05,12.0
2019-11-01,09:39,09:39 AM,27.32,27.26,27.265,27.31,27.267,414.0,11288.51,9.0
2019-11-01,09:40,09:40 AM,27.35,27.34,27.35,27.34,27.35,203.0,5552.02,2.0
2019-11-01,09:41,09:41 AM,27.32,27.28,27.32,27.28,27.3,200.0,5460.01,3.0
2019-11-01,09:42,09:42 AM,27.34,27.3,27.3,27.34,27.316,707.0,19312.25,8.0
2019-11-01,09:43,09:43 AM,27.33,27.325,27.325,27.325,27.325,203.0,5546.985,5.0
2019-11-01,09:44,09:44 AM,27.34,27.315,27.325,27.32,27.32800000000001,446.0,12188.29,9.0
2019-11-01,09:45,09:45 AM,27.345,27.33,27.33,27.345,27.333000000000002,1400.0,38266.5,4.0
2019-11-01,09:46,09:46 AM,27.36,27.305,27.33,27.305,27.322,1600.0,43715.0,8.0
2019-11-01,09:47,09:47 AM,27.27,27.27,27.27,27.27,27.27,100.0,2727.0,1.0
2019-11-01,09:48,09:48 AM,27.265,27.265,27.265,27.265,27.265,200.0,5453.0,1.0
2019-11-01,09:49,09:49 AM,27.28,27.28,27.28,27.28,27.28,100.0,2728.0,1.0
2019-11-01,09:50,09:50 AM,27.275,27.275,27.275,27.275,27.275,100.0,2727.5,1.0
2019-11-01,09:51,09:51 AM,27.305,27.295,27.305,27.295,27.302,1000.0,27302.0,5.0
2019-11-01,09:52,09:52 AM,27.325,27.295,27.295,27.325,27.308000000000003,404.0,11032.28,5.0
2019-11-01,09:53,09:53 AM,27.335,27.315,27.33,27.335,27.324,600.0,16394.5,6.0
2019-11-01,09:54,09:54 AM,27.345,27.345,27.345,27.345,27.345,100.0,2734.5,1.0
2019-11-01,09:55,09:55 AM,27.345,27.325,27.345,27.325,27.336,500.0,13668.0,5.0
2019-11-01,09:56,09:56 AM,27.325,27.31,27.325,27.315,27.316999999999997,1005.0,27453.55,11.0
2019-11-01,09:57,09:57 AM,27.295,27.275,27.295,27.275,27.285999999999998,400.0,10914.5,4.0
2019-11-01,09:58,09:58 AM,27.315,27.29,27.29,27.315,27.299,400.0,10919.5,4.0
2019-11-01,09:59,09:59 AM,27.33,27.32,27.33,27.325,27.325,300.0,8197.5,3.0
2019-11-01,10:00,10 AM,27.365,27.32,27.32,27.365,27.340999999999998,400.0,10936.5,4.0
2019-11-01,10:01,10:01 AM,27.39,27.375,27.375,27.39,27.38300000000001,200.0,5476.5,2.0
2019-11-01,10:02,10:02 AM,27.375,27.375,27.375,27.375,27.375,72.0,1971.0,1.0
2019-11-01,10:03,10:03 AM,27.41,27.38,27.38,27.41,27.399,400.0,10959.5,4.0
2019-11-01,10:04,10:04 AM,27.415,27.395,27.395,27.41,27.409000000000002,400.0,10963.5,4.0
2019-11-01,10:05,10:05 AM,27.425,27.425,27.425,27.425,27.425,720.0,19746.0,4.0
2019-11-01,10:06,10:06 AM,27.425,27.425,27.425,27.425,27.425,100.0,2742.5,1.0
2019-11-01,10:07,10:07 AM,27.4,27.4,27.4,27.4,27.4,100.0,2740.0,1.0
2019-11-01,10:08,10:08 AM,27.41,27.41,27.41,27.41,27.41,100.0,2741.0,1.0
2019-11-01,10:09,10:09 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:10,10:10 AM,27.405,27.385,27.405,27.385,27.397,1300.0,35616.5,6.0
2019-11-01,10:11,10:11 AM,27.415,27.395,27.395,27.415,27.41,500.0,13705.0,5.0
2019-11-01,10:12,10:12 AM,27.415,27.415,27.415,27.415,27.415,359.0,9841.985,4.0
2019-11-01,10:13,10:13 AM,27.435,27.425,27.43,27.435,27.426,1521.0,41714.545,23.0
2019-11-01,10:14,10:14 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:15,10:15 AM,27.435,27.435,27.435,27.435,27.435,100.0,2743.5,1.0
2019-11-01,10:16,10:16 AM,27.425,27.425,27.425,27.425,27.425,206.0,5649.55,4.0
2019-11-01,10:17,10:17 AM,27.41,27.405,27.41,27.405,27.406999999999996,211.0,5782.975,5.0
2019-11-01,10:18,10:18 AM,27.405,27.395,27.405,27.395,27.395,249.0,6821.375,5.0
2019-11-01,10:19,10:19 AM,27.385,27.375,27.385,27.375,27.375,207.0,5666.645,5.0
2019-11-01,10:20,10:20 AM,27.365,27.365,27.365,27.365,27.365,100.0,2736.5,1.0
2019-11-01,10:21,10:21 AM,27.35,27.345,27.35,27.345,27.345,101.0,2761.85,2.0
2019-11-01,10:22,10:22 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:23,10:23 AM,27.335,27.335,27.335,27.335,27.335,100.0,2733.5,1.0
2019-11-01,10:24,10:24 AM,27.34,27.33,27.34,27.33,27.335,400.0,10934.0,4.0
2019-11-01,10:25,10:25 AM,27.325,27.325,27.325,27.325,27.325,370.0,10110.25,3.0
2019-11-01,10:26,10:26 AM,27.325,27.325,27.325,27.325,27.325,100.0,2732.5,1.0
2019-11-01,10:27,10:27 AM,27.325,27.325,27.325,27.325,27.325,100.0,2732.5,1.0
2019-11-01,10:28,10:28 AM,27.345,27.325,27.325,27.335,27.331999999999997,3200.0,87461.5,11.0
2019-11-01,10:29,10:29 AM,27.34,27.34,27.34,27.34,27.34,87.0,2378.58,1.0
2019-11-01,10:30,10:30 AM,27.365,27.345,27.345,27.365,27.357,468.0,12803.14,5.0
2019-11-01,10:31,10:31 AM,27.345,27.345,27.345,27.345,27.345,100.0,2734.5,1.0
2019-11-01,10:32,10:32 AM,27.335,27.325,27.335,27.325,27.33,200.0,5466.0,2.0
2019-11-01,10:33,10:33 AM,27.315,27.305,27.305,27.315,27.315,401.0,10953.305,4.0
2019-11-01,10:34,10:34 AM,27.315,27.315,27.315,27.315,27.315,100.0,2731.5,1.0
2019-11-01,10:35,10:35 AM,27.34,27.32,27.32,27.335,27.32800000000001,206.0,5629.54,3.0
2019-11-01,10:36,10:36 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:37,10:37 AM,27.33,27.33,27.33,27.33,27.33,600.0,16398.0,1.0
2019-11-01,10:38,10:38 AM,27.325,27.325,27.325,27.325,27.325,100.0,2732.5,1.0
2019-11-01,10:39,10:39 AM,27.315,27.31,27.315,27.31,27.315,201.0,5490.31,3.0
2019-11-01,10:40,10:40 AM,27.31,27.31,27.31,27.31,27.31,100.0,2731.0,2.0
2019-11-01,10:41,10:41 AM,27.325,27.315,27.315,27.325,27.316,1000.0,27316.0,3.0
2019-11-01,10:42,10:42 AM,27.33,27.33,27.33,27.33,27.33,100.0,2733.0,1.0
2019-11-01,10:43,10:43 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:44,10:44 AM,27.315,27.315,27.315,27.315,27.315,100.0,2731.5,1.0
2019-11-01,10:45,10:45 AM,27.315,27.305,27.305,27.315,27.315,203.0,5544.915,3.0
2019-11-01,10:46,10:46 AM,27.315,27.315,27.315,27.315,27.315,100.0,2731.5,1.0
2019-11-01,10:47,10:47 AM,,,,,,0.0,0.0,0.0
