date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,49.745,49.73,49.73,49.745,49.745,200,9948.985,3
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,49.96,49.95,49.95,49.96,49.95,101,5044.96,2
2019-11-01,09:36,09:36 AM,50.035,50.035,50.035,50.035,50.035,100,5003.5,1
2019-11-01,09:37,09:37 AM,50.065,50.065,50.065,50.065,50.065,1,50.065,1
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,50.085,50.005,50.075,50.005,50.07899999999999,206,10316.33,4
2019-11-01,09:40,09:40 AM,50.15,50.145,50.145,50.15,50.148,300,15044.5,2
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,50.02,50.02,50.02,50.02,50.02,300,15006.0,2
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,50.09,50.09,50.09,50.09,50.09,100,5009.0,1
2019-11-01,09:45,09:45 AM,50.145,50.135,50.145,50.135,50.144,1400,70202.0,3
2019-11-01,09:46,09:46 AM,50.09,50.09,50.09,50.09,50.09,200,10018.0,1
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,50.18,50.18,50.18,50.18,50.18,100,5018.0,1
2019-11-01,09:49,09:49 AM,50.15,50.15,50.15,50.15,50.15,100,5015.0,1
2019-11-01,09:50,09:50 AM,50.19,50.155,50.155,50.18,50.175,300,15052.5,3
2019-11-01,09:51,09:51 AM,50.23,50.21,50.21,50.23,50.227,139,6981.55,2
2019-11-01,09:52,09:52 AM,50.175,50.175,50.175,50.175,50.175,100,5017.5,1
2019-11-01,09:53,09:53 AM,50.09,50.07,50.07,50.09,50.075,800,40060.0,5
2019-11-01,09:54,09:54 AM,50.11,50.08,50.08,50.11,50.096000000000004,210,10520.1,2
2019-11-01,09:55,09:55 AM,50.12,50.07,50.12,50.07,50.073,584,29242.48,5
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,50.095,50.095,50.095,50.095,50.095,100,5009.5,1
2019-11-01,09:59,09:59 AM,50.13,50.105,50.13,50.105,50.118,218,10925.84,2
2019-11-01,10:00,10 AM,50.07,50.07,50.07,50.07,50.07,17,851.19,1
2019-11-01,10:01,10:01 AM,50.13,50.13,50.13,50.13,50.13,100,5013.0,1
2019-11-01,10:02,10:02 AM,50.235,50.235,50.235,50.235,50.235,200,10047.0,1
2019-11-01,10:03,10:03 AM,50.29,50.26,50.26,50.29,50.28100000000001,922,46359.38,4
2019-11-01,10:04,10:04 AM,,,,,,0,0.0,0
2019-11-01,10:05,10:05 AM,50.33,50.32,50.32,50.33,50.328,127,6391.64,2
2019-11-01,10:06,10:06 AM,50.33,50.33,50.33,50.33,50.33,100,5033.0,1
2019-11-01,10:07,10:07 AM,50.4,50.4,50.4,50.4,50.4,100,5040.0,1
2019-11-01,10:08,10:08 AM,50.36,50.32,50.36,50.32,50.339,1200,60407.0,10
2019-11-01,10:09,10:09 AM,50.28,50.28,50.28,50.28,50.28,300,15084.0,3
