date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,139.64,139.47,139.47,139.64,139.474,205,28592.2,2
2019-11-01,09:31,09:31 AM,139.74,139.61,139.74,139.74,139.679,214,29891.36,3
2019-11-01,09:32,09:32 AM,139.83,139.82,139.83,139.82,139.825,200,27965.0,2
2019-11-01,09:33,09:33 AM,139.845,139.67,139.845,139.75,139.773,666,93088.73,8
2019-11-01,09:34,09:34 AM,139.62,139.58,139.62,139.58,139.582,105,14656.1,2
2019-11-01,09:35,09:35 AM,139.63,139.63,139.63,139.63,139.63,1,139.63,1
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,139.845,139.8,139.845,139.8,139.832,202,28246.1,4
2019-11-01,09:38,09:38 AM,139.87,139.825,139.865,139.825,139.869,104,14546.42,3
2019-11-01,09:39,09:39 AM,139.765,139.765,139.765,139.765,139.765,300,41929.5,3
2019-11-01,09:40,09:40 AM,139.76,139.69,139.72,139.69,139.738,202,28227.14,4
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,139.615,139.49,139.49,139.615,139.495,104,14507.46,2
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,139.85,139.85,139.85,139.85,139.85,100,13985.0,1
2019-11-01,09:47,09:47 AM,139.83,139.82,139.83,139.82,139.82,75,10486.51,2
2019-11-01,09:48,09:48 AM,139.815,139.795,139.815,139.795,139.812,120,16777.4,2
2019-11-01,09:49,09:49 AM,,,,,,0,0.0,0
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,139.745,139.64,139.64,139.745,139.692,200,27938.5,2
2019-11-01,09:53,09:53 AM,139.79,139.74,139.74,139.79,139.765,200,27953.0,2
2019-11-01,09:54,09:54 AM,139.745,139.695,139.695,139.71,139.743,2295,320711.125,5
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,139.78,139.76,139.78,139.775,139.773,600,83863.5,6
2019-11-01,09:57,09:57 AM,139.92,139.8,139.8,139.92,139.88299999999998,325,45462.0,3
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,139.945,139.87,139.93,139.925,139.92600000000002,715,100047.275,8
2019-11-01,10:00,10 AM,139.945,139.815,139.815,139.945,139.879,900,125890.98,8
2019-11-01,10:01,10:01 AM,140.03,139.93,139.93,140.03,139.98,400,55992.0,4
2019-11-01,10:02,10:02 AM,140.275,140.275,140.275,140.275,140.275,400,56110.0,4
2019-11-01,10:03,10:03 AM,140.53,140.365,140.365,140.53,140.466,825,115884.625,10
2019-11-01,10:04,10:04 AM,140.7,140.555,140.61,140.62,140.643,1205,169474.6,9
2019-11-01,10:05,10:05 AM,140.68,140.68,140.68,140.68,140.68,200,28136.0,2
2019-11-01,10:06,10:06 AM,140.765,140.75,140.75,140.765,140.756,500,70378.0,5
2019-11-01,10:07,10:07 AM,140.715,140.65,140.715,140.65,140.686,700,98480.0,6
2019-11-01,10:08,10:08 AM,140.7,140.65,140.65,140.7,140.692,600,84415.0,6
2019-11-01,10:09,10:09 AM,140.7,140.6,140.6,140.7,140.675,800,112540.0,6
2019-11-01,10:10,10:10 AM,140.83,140.745,140.745,140.8,140.77200000000005,514,72357.0,7
2019-11-01,10:11,10:11 AM,140.94,140.81,140.81,140.94,140.89600000000004,800,112716.5,9
2019-11-01,10:12,10:12 AM,141.145,140.98,140.99,141.14,141.107,1600,225771.0,10
2019-11-01,10:13,10:13 AM,141.355,141.14,141.14,141.355,141.209,1000,141209.0,7
2019-11-01,10:14,10:14 AM,141.28,141.13,141.28,141.155,141.201,600,84720.5,6
2019-11-01,10:15,10:15 AM,141.245,141.17,141.245,141.18,141.20600000000005,500,70603.0,5
2019-11-01,10:16,10:16 AM,141.17,141.12,141.17,141.13,141.148,800,112918.5,8
2019-11-01,10:17,10:17 AM,141.19,141.12,141.19,141.12,141.158,300,42347.5,3
2019-11-01,10:18,10:18 AM,141.17,141.08,141.17,141.08,141.151,616,86949.28,7
2019-11-01,10:19,10:19 AM,141.08,141.055,141.08,141.055,141.067,200,28213.5,2
2019-11-01,10:20,10:20 AM,141.13,141.06,141.06,141.13,141.089,1400,197524.5,9
2019-11-01,10:21,10:21 AM,141.14,141.105,141.14,141.105,141.11700000000005,300,42335.0,3
2019-11-01,10:22,10:22 AM,141.065,141.045,141.065,141.045,141.058,300,42317.5,3
2019-11-01,10:23,10:23 AM,,,,,,0,0.0,0
2019-11-01,10:24,10:24 AM,140.86,140.81,140.81,140.86,140.835,6,845.01,2
2019-11-01,10:25,10:25 AM,140.805,140.71,140.785,140.805,140.768,400,56307.0,4
2019-11-01,10:26,10:26 AM,140.81,140.81,140.81,140.81,140.81,193,27176.33,2
2019-11-01,10:27,10:27 AM,140.86,140.84,140.84,140.86,140.85,200,28170.0,3
2019-11-01,10:28,10:28 AM,140.875,140.855,140.875,140.855,140.858,700,98600.5,3
2019-11-01,10:29,10:29 AM,140.965,140.9,140.9,140.93,140.915,2800,394562.5,10
2019-11-01,10:30,10:30 AM,140.905,140.855,140.905,140.855,140.893,400,56357.0,4
2019-11-01,10:31,10:31 AM,,,,,,0,0.0,0
2019-11-01,10:32,10:32 AM,,,,,,0,0.0,0
2019-11-01,10:33,10:33 AM,141.045,141.01,141.01,141.045,141.043,423,59661.23,2
2019-11-01,10:34,10:34 AM,141.155,141.11,141.11,141.14,141.14,501,70711.155,6
2019-11-01,10:35,10:35 AM,,,,,,0,0.0,0
2019-11-01,10:36,10:36 AM,141.17,141.17,141.17,141.17,141.17,200,28234.0,1
2019-11-01,10:37,10:37 AM,,,,,,0,0.0,0
2019-11-01,10:38,10:38 AM,,,,,,0,0.0,0
2019-11-01,10:39,10:39 AM,141.125,141.125,141.125,141.125,141.125,2,282.25,1
2019-11-01,10:40,10:40 AM,,,,,,0,0.0,0
2019-11-01,10:41,10:41 AM,141.2,141.19,141.19,141.2,141.195,200,28239.0,2
2019-11-01,10:42,10:42 AM,,,,,,0,0.0,0
2019-11-01,10:43,10:43 AM,141.415,141.415,141.415,141.415,141.415,200,28283.0,2
2019-11-01,10:44,10:44 AM,,,,,,0,0.0,0
2019-11-01,10:45,10:45 AM,141.36,141.36,141.36,141.36,141.36,1000,141360.0,1
2019-11-01,10:46,10:46 AM,141.34,141.34,141.34,141.34,141.34,10,1413.4,1
2019-11-01,10:47,10:47 AM,,,,,,0,0.0,0
2019-11-01,10:48,10:48 AM,,,,,,0,0.0,0
2019-11-01,10:49,10:49 AM,141.37,141.35,141.35,141.37,141.369,104,14702.4,2
2019-11-01,10:50,10:50 AM,141.375,141.36,141.36,141.375,141.361,110,15549.75,3
2019-11-01,10:51,10:51 AM,141.41,141.38,141.38,141.41,141.39,700,98973.0,5
2019-11-01,10:52,10:52 AM,141.245,141.245,141.245,141.245,141.245,152,21469.24,1
2019-11-01,10:53,10:53 AM,141.22,141.22,141.22,141.22,141.22,200,28244.0,1
2019-11-01,10:54,10:54 AM,,,,,,0,0.0,0
2019-11-01,10:55,10:55 AM,141.47,141.45,141.46,141.45,141.465,600,84879.0,3
2019-11-01,10:56,10:56 AM,141.53,141.53,141.53,141.53,141.53,400,56612.0,2
2019-11-01,10:57,10:57 AM,141.605,141.57,141.605,141.57,141.588,200,28317.5,2
2019-11-01,10:58,10:58 AM,141.61,141.57,141.57,141.61,141.59,200,28318.0,2
2019-11-01,10:59,10:59 AM,,,,,,0,0.0,0
2019-11-01,11:00,11 AM,,,,,,0,0.0,0
2019-11-01,11:01,11:01 AM,141.84,141.835,141.835,141.84,141.83700000000005,301,42692.835,2
2019-11-01,11:02,11:02 AM,141.81,141.81,141.81,141.81,141.81,199,28220.19,1
2019-11-01,11:03,11:03 AM,141.79,141.79,141.79,141.79,141.79,1000,141790.0,1
2019-11-01,11:04,11:04 AM,141.715,141.7,141.715,141.7,141.704,400,56681.5,4
2019-11-01,11:05,11:05 AM,141.67,141.67,141.67,141.67,141.67,3,425.01,1
2019-11-01,11:06,11:06 AM,141.77,141.76,141.76,141.77,141.765,200,28353.0,2
2019-11-01,11:07,11:07 AM,141.79,141.755,141.755,141.79,141.761,310,43945.9,4
2019-11-01,11:08,11:08 AM,141.855,141.79,141.82,141.855,141.81799999999996,800,113454.5,6
2019-11-01,11:09,11:09 AM,141.855,141.855,141.855,141.855,141.855,100,14185.5,1
2019-11-01,11:10,11:10 AM,141.895,141.89,141.89,141.895,141.89,104,14756.58,2
2019-11-01,11:11,11:11 AM,,,,,,0,0.0,0
2019-11-01,11:12,11:12 AM,,,,,,0,0.0,0
2019-11-01,11:13,11:13 AM,141.975,141.94,141.94,141.975,141.964,412,58489.02,5
2019-11-01,11:14,11:14 AM,142.1,141.975,141.975,142.005,142.002,850,120701.5,6
2019-11-01,11:15,11:15 AM,142.08,141.99,141.99,142.08,142.002,231,32802.48,2
2019-11-01,11:16,11:16 AM,142.15,142.105,142.105,142.135,142.122,270,38372.895,4
2019-11-01,11:17,11:17 AM,142.15,142.15,142.15,142.15,142.15,90,12793.5,1
2019-11-01,11:18,11:18 AM,142.225,142.15,142.15,142.225,142.188,200,28437.5,2
2019-11-01,11:19,11:19 AM,142.315,142.315,142.315,142.315,142.315,100,14231.5,1
2019-11-01,11:20,11:20 AM,142.365,142.35,142.35,142.365,142.357,212,30179.7,2
2019-11-01,11:21,11:21 AM,142.43,142.43,142.43,142.43,142.43,75,10682.25,1
2019-11-01,11:22,11:22 AM,142.475,142.445,142.445,142.475,142.46,200,28492.0,2
2019-11-01,11:23,11:23 AM,,,,,,0,0.0,0
2019-11-01,11:24,11:24 AM,142.515,142.515,142.515,142.515,142.515,100,14251.5,1
2019-11-01,11:25,11:25 AM,142.5,142.5,142.5,142.5,142.5,100,14250.0,1
2019-11-01,11:26,11:26 AM,142.55,142.54,142.55,142.54,142.545,200,28509.0,2
2019-11-01,11:27,11:27 AM,,,,,,0,0.0,0
2019-11-01,11:28,11:28 AM,,,,,,0,0.0,0
2019-11-01,11:29,11:29 AM,142.295,142.295,142.295,142.295,142.295,100,14229.5,1
2019-11-01,11:30,11:30 AM,142.36,142.34,142.34,142.36,142.359,210,29895.4,2
2019-11-01,11:31,11:31 AM,142.39,142.38,142.38,142.39,142.387,300,42716.0,3
2019-11-01,11:32,11:32 AM,142.455,142.44,142.44,142.45,142.453,2000,284906.0,11
2019-11-01,11:33,11:33 AM,142.44,142.44,142.44,142.44,142.44,100,14244.0,1
2019-11-01,11:34,11:34 AM,142.35,142.35,142.35,142.35,142.35,100,14235.0,1
2019-11-01,11:35,11:35 AM,,,,,,0,0.0,0
2019-11-01,11:36,11:36 AM,142.455,142.39,142.39,142.45,142.437,403,57402.305,4
2019-11-01,11:37,11:37 AM,142.44,142.44,142.44,142.44,142.44,100,14244.0,1
2019-11-01,11:38,11:38 AM,142.44,142.42,142.42,142.435,142.434,400,56973.5,4
2019-11-01,11:39,11:39 AM,142.475,142.475,142.475,142.475,142.475,200,28495.0,2
2019-11-01,11:40,11:40 AM,,,,,,0,0.0,0
2019-11-01,11:41,11:41 AM,,,,,,0,0.0,0
2019-11-01,11:42,11:42 AM,142.48,142.44,142.48,142.44,142.452,400,56981.0,4
2019-11-01,11:43,11:43 AM,142.48,142.48,142.48,142.48,142.48,100,14248.0,1
2019-11-01,11:44,11:44 AM,142.52,142.52,142.52,142.52,142.52,100,14252.0,1
2019-11-01,11:45,11:45 AM,,,,,,0,0.0,0
