date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,117.25,117.25,117.25,117.25,117.25,100,11725.0,1
2019-11-01,09:31,09:31 AM,117.645,117.645,117.645,117.645,117.645,200,23529.0,2
2019-11-01,09:32,09:32 AM,117.29,117.11,117.29,117.11,117.162,400,46865.0,5
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,115.8,115.72,115.8,115.72,115.76,200,23152.0,2
2019-11-01,09:38,09:38 AM,115.39,115.39,115.39,115.39,115.39,24,2769.36,1
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,,,,,,0,0.0,0
2019-11-01,09:41,09:41 AM,115.145,115.145,115.145,115.145,115.145,100,11514.5,1
2019-11-01,09:42,09:42 AM,114.79,114.52,114.79,114.52,114.557,116,13288.64,2
2019-11-01,09:43,09:43 AM,115.3,115.3,115.3,115.3,115.3,100,11530.0,1
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,115.46,115.435,115.435,115.46,115.443,301,34748.44,4
2019-11-01,09:46,09:46 AM,115.46,115.46,115.46,115.46,115.46,100,11546.0,1
2019-11-01,09:47,09:47 AM,115.545,115.46,115.46,115.545,115.50200000000001,200,23100.5,2
2019-11-01,09:48,09:48 AM,115.79,115.545,115.545,115.65,115.635,409,47294.715,6
2019-11-01,09:49,09:49 AM,115.74,115.735,115.74,115.74,115.735,113,13078.085,5
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,115.795,115.755,115.755,115.785,115.77799999999999,300,34733.5,3
2019-11-01,09:53,09:53 AM,116.275,115.785,115.785,116.275,116.152,401,46577.015,4
2019-11-01,09:54,09:54 AM,116.595,116.29,116.44,116.595,116.473,571,66506.31,17
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,116.16,115.56,116.16,115.56,115.991,304,35261.24,3
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,,,,,,0,0.0,0
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,114.825,114.57,114.825,114.57,114.821,203,23308.71,4
2019-11-01,10:04,10:04 AM,114.825,114.825,114.825,114.825,114.825,9,1033.425,1
2019-11-01,10:05,10:05 AM,,,,,,0,0.0,0
2019-11-01,10:06,10:06 AM,114.65,114.06,114.65,114.06,114.28200000000001,500,57141.0,5
2019-11-01,10:07,10:07 AM,,,,,,0,0.0,0
2019-11-01,10:08,10:08 AM,,,,,,0,0.0,0
2019-11-01,10:09,10:09 AM,113.33,113.315,113.315,113.33,113.323,200,22664.5,2
