date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,65.81,65.81,65.81,65.81,65.81,100,6581.0,1
2019-11-01,09:32,09:32 AM,65.68,65.68,65.68,65.68,65.68,110,7224.8,2
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,65.8,65.77,65.77,65.8,65.782,400,26313.0,4
2019-11-01,09:36,09:36 AM,65.81,65.75,65.78,65.8,65.786,461,30327.19,5
2019-11-01,09:37,09:37 AM,65.83,65.83,65.83,65.83,65.83,100,6583.0,1
2019-11-01,09:38,09:38 AM,65.74,65.72,65.74,65.72,65.73899999999999,211,13870.92,3
2019-11-01,09:39,09:39 AM,65.82,65.77,65.77,65.82,65.791,173,11381.86,5
2019-11-01,09:40,09:40 AM,,,,,,0,0.0,0
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,65.86,65.86,65.86,65.86,65.86,8,526.88,2
2019-11-01,09:43,09:43 AM,65.95,65.83,65.95,65.83,65.89,200,13178.0,2
2019-11-01,09:44,09:44 AM,65.89,65.89,65.89,65.89,65.89,100,6589.0,1
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,65.89,65.89,65.89,65.89,65.89,4,263.56,1
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,66.025,66.025,66.025,66.025,66.025,100,6602.5,1
2019-11-01,09:50,09:50 AM,66.14,66.14,66.14,66.14,66.14,100,6614.0,1
2019-11-01,09:51,09:51 AM,66.175,66.165,66.165,66.175,66.17,211,13961.925,2
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,66.22,66.22,66.22,66.22,66.22,5,331.1,1
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,66.31,66.31,66.31,66.31,66.31,137,9084.47,3
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,66.2,66.2,66.2,66.2,66.2,100,6620.0,1
2019-11-01,09:58,09:58 AM,66.23,66.225,66.23,66.225,66.225,110,7284.8,2
2019-11-01,09:59,09:59 AM,66.085,66.085,66.085,66.085,66.085,100,6608.5,1
2019-11-01,10:00,10 AM,66.1,66.04,66.04,66.1,66.056,382,25233.28,3
2019-11-01,10:01,10:01 AM,66.11,66.1,66.1,66.11,66.10300000000001,300,19831.0,5
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,66.23,66.23,66.23,66.23,66.23,100,6623.0,1
2019-11-01,10:04,10:04 AM,,,,,,0,0.0,0
2019-11-01,10:05,10:05 AM,66.245,66.23,66.245,66.23,66.237,200,13247.5,2
2019-11-01,10:06,10:06 AM,,,,,,0,0.0,0
2019-11-01,10:07,10:07 AM,,,,,,0,0.0,0
2019-11-01,10:08,10:08 AM,66.34,66.33,66.33,66.34,66.337,300,19901.0,3
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,,,,,,0,0.0,0
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,,,,,,0,0.0,0
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
2019-11-01,10:14,10:14 AM,66.29,66.29,66.29,66.29,66.29,100,6629.0,1
2019-11-01,10:15,10:15 AM,,,,,,0,0.0,0
2019-11-01,10:16,10:16 AM,66.26,66.26,66.26,66.26,66.26,100,6626.0,1
2019-11-01,10:17,10:17 AM,,,,,,0,0.0,0
2019-11-01,10:18,10:18 AM,,,,,,0,0.0,0
2019-11-01,10:19,10:19 AM,,,,,,0,0.0,0
2019-11-01,10:20,10:20 AM,,,,,,0,0.0,0
2019-11-01,10:21,10:21 AM,,,,,,0,0.0,0
2019-11-01,10:22,10:22 AM,,,,,,0,0.0,0
2019-11-01,10:23,10:23 AM,66.07,66.07,66.07,66.07,66.07,24,1585.68,1
2019-11-01,10:24,10:24 AM,,,,,,0,0.0,0
2019-11-01,10:25,10:25 AM,,,,,,0,0.0,0
2019-11-01,10:26,10:26 AM,66.05,66.025,66.05,66.05,66.044,800,52835.0,6
2019-11-01,10:27,10:27 AM,65.965,65.965,65.965,65.965,65.965,100,6596.5,1
2019-11-01,10:28,10:28 AM,65.97,65.97,65.97,65.97,65.97,100,6597.0,4
2019-11-01,10:29,10:29 AM,65.955,65.955,65.955,65.955,65.955,100,6595.5,1
2019-11-01,10:30,10:30 AM,65.91,65.91,65.91,65.91,65.91,100,6591.0,1
2019-11-01,10:31,10:31 AM,,,,,,0,0.0,0
2019-11-01,10:32,10:32 AM,65.85,65.8,65.8,65.85,65.817,400,26327.0,7
2019-11-01,10:33,10:33 AM,,,,,,0,0.0,0
2019-11-01,10:34,10:34 AM,,,,,,0,0.0,0
2019-11-01,10:35,10:35 AM,,,,,,0,0.0,0
2019-11-01,10:36,10:36 AM,,,,,,0,0.0,0
2019-11-01,10:37,10:37 AM,,,,,,0,0.0,0
2019-11-01,10:38,10:38 AM,65.79,65.78,65.78,65.79,65.785,200,13157.0,2
2019-11-01,10:39,10:39 AM,65.8,65.79,65.79,65.8,65.79,101,6644.8,2
2019-11-01,10:40,10:40 AM,,,,,,0,0.0,0
2019-11-01,10:41,10:41 AM,65.815,65.81,65.81,65.815,65.813,300,19744.0,2
2019-11-01,10:42,10:42 AM,65.78,65.77,65.78,65.77,65.777,301,19798.77,4
2019-11-01,10:43,10:43 AM,,,,,,0,0.0,0
2019-11-01,10:44,10:44 AM,,,,,,0,0.0,0
2019-11-01,10:45,10:45 AM,,,,,,0,0.0,0
2019-11-01,10:46,10:46 AM,,,,,,0,0.0,0
2019-11-01,10:47,10:47 AM,,,,,,0,0.0,0
2019-11-01,10:48,10:48 AM,,,,,,0,0.0,0
2019-11-01,10:49,10:49 AM,65.59,65.59,65.59,65.59,65.59,100,6559.0,1
2019-11-01,10:50,10:50 AM,65.655,65.605,65.605,65.655,65.63,200,13126.0,2
2019-11-01,10:51,10:51 AM,65.62,65.62,65.62,65.62,65.62,100,6562.0,1
2019-11-01,10:52,10:52 AM,65.7,65.7,65.7,65.7,65.7,100,6570.0,1
2019-11-01,10:53,10:53 AM,65.77,65.77,65.77,65.77,65.77,100,6577.0,1
2019-11-01,10:54,10:54 AM,65.77,65.77,65.77,65.77,65.77,164,10786.28,2
2019-11-01,10:55,10:55 AM,65.82,65.82,65.82,65.82,65.82,100,6582.0,1
2019-11-01,10:56,10:56 AM,65.86,65.86,65.86,65.86,65.86,9,592.74,1
2019-11-01,10:57,10:57 AM,,,,,,0,0.0,0
2019-11-01,10:58,10:58 AM,65.84,65.81,65.82,65.84,65.82600000000001,701,46143.82,8
2019-11-01,10:59,10:59 AM,65.87,65.84,65.84,65.87,65.857,300,19757.0,3
2019-11-01,11:00,11 AM,65.835,65.79,65.79,65.835,65.796,115,7566.525,2
2019-11-01,11:01,11:01 AM,65.85,65.85,65.85,65.85,65.85,100,6585.0,1
2019-11-01,11:02,11:02 AM,65.82,65.82,65.82,65.82,65.82,100,6582.0,1
2019-11-01,11:03,11:03 AM,,,,,,0,0.0,0
2019-11-01,11:04,11:04 AM,,,,,,0,0.0,0
2019-11-01,11:05,11:05 AM,,,,,,0,0.0,0
2019-11-01,11:06,11:06 AM,,,,,,0,0.0,0
2019-11-01,11:07,11:07 AM,65.98,65.98,65.98,65.98,65.98,100,6598.0,1
2019-11-01,11:08,11:08 AM,65.99,65.99,65.99,65.99,65.99,305,20126.95,1
2019-11-01,11:09,11:09 AM,,,,,,0,0.0,0
2019-11-01,11:10,11:10 AM,66.01,66.01,66.01,66.01,66.01,174,11485.74,3
2019-11-01,11:11,11:11 AM,66.01,66.01,66.01,66.01,66.01,49900,3293899.0,1
2019-11-01,11:12,11:12 AM,66.05,66.05,66.05,66.05,66.05,100,6605.0,1
2019-11-01,11:13,11:13 AM,,,,,,0,0.0,0
2019-11-01,11:14,11:14 AM,,,,,,0,0.0,0
2019-11-01,11:15,11:15 AM,66.005,65.98,66.005,65.98,65.992,300,19797.5,3
2019-11-01,11:16,11:16 AM,65.99,65.99,65.99,65.99,65.99,100,6599.0,1
2019-11-01,11:17,11:17 AM,65.93,65.93,65.93,65.93,65.93,100,6593.0,1
2019-11-01,11:18,11:18 AM,65.94,65.94,65.94,65.94,65.94,100,6594.0,5
2019-11-01,11:19,11:19 AM,65.95,65.95,65.95,65.95,65.95,167,11013.65,1
2019-11-01,11:20,11:20 AM,,,,,,0,0.0,0
2019-11-01,11:21,11:21 AM,,,,,,0,0.0,0
2019-11-01,11:22,11:22 AM,66.0,65.97,66.0,65.97,65.97399999999999,115,7587.0,2
2019-11-01,11:23,11:23 AM,65.96,65.96,65.96,65.96,65.96,100,6596.0,1
2019-11-01,11:24,11:24 AM,65.95,65.95,65.95,65.95,65.95,80,5276.0,1
2019-11-01,11:25,11:25 AM,,,,,,0,0.0,0
2019-11-01,11:26,11:26 AM,,,,,,0,0.0,0
2019-11-01,11:27,11:27 AM,,,,,,0,0.0,0
2019-11-01,11:28,11:28 AM,,,,,,0,0.0,0
2019-11-01,11:29,11:29 AM,,,,,,0,0.0,0
2019-11-01,11:30,11:30 AM,66.015,66.015,66.015,66.015,66.015,2,132.03,1
2019-11-01,11:31,11:31 AM,,,,,,0,0.0,0
2019-11-01,11:32,11:32 AM,,,,,,0,0.0,0
2019-11-01,11:33,11:33 AM,,,,,,0,0.0,0
2019-11-01,11:34,11:34 AM,65.97,65.97,65.97,65.97,65.97,100,6597.0,1
2019-11-01,11:35,11:35 AM,,,,,,0,0.0,0
2019-11-01,11:36,11:36 AM,65.98,65.98,65.98,65.98,65.98,100,6598.0,1
2019-11-01,11:37,11:37 AM,,,,,,0,0.0,0
2019-11-01,11:38,11:38 AM,65.96,65.96,65.96,65.96,65.96,100,6596.0,1
2019-11-01,11:39,11:39 AM,,,,,,0,0.0,0
2019-11-01,11:40,11:40 AM,65.955,65.95,65.95,65.955,65.95100000000001,100,6595.05,2
2019-11-01,11:41,11:41 AM,,,,,,0,0.0,0
2019-11-01,11:42,11:42 AM,,,,,,0,0.0,0
2019-11-01,11:43,11:43 AM,,,,,,0,0.0,0
2019-11-01,11:44,11:44 AM,,,,,,0,0.0,0
2019-11-01,11:45,11:45 AM,,,,,,0,0.0,0
2019-11-01,11:46,11:46 AM,,,,,,0,0.0,0
2019-11-01,11:47,11:47 AM,,,,,,0,0.0,0
2019-11-01,11:48,11:48 AM,,,,,,0,0.0,0
2019-11-01,11:49,11:49 AM,,,,,,0,0.0,0
2019-11-01,11:50,11:50 AM,65.99,65.99,65.99,65.99,65.99,100,6599.0,1
2019-11-01,11:51,11:51 AM,,,,,,0,0.0,0
2019-11-01,11:52,11:52 AM,,,,,,0,0.0,0
2019-11-01,11:53,11:53 AM,65.92,65.92,65.92,65.92,65.92,1,65.92,1
2019-11-01,11:54,11:54 AM,,,,,,0,0.0,0
2019-11-01,11:55,11:55 AM,,,,,,0,0.0,0
2019-11-01,11:56,11:56 AM,,,,,,0,0.0,0
2019-11-01,11:57,11:57 AM,65.915,65.915,65.915,65.915,65.915,2,131.83,1
2019-11-01,11:58,11:58 AM,,,,,,0,0.0,0
2019-11-01,11:59,11:59 AM,,,,,,0,0.0,0
2019-11-01,12:00,12 PM,65.93,65.93,65.93,65.93,65.93,100,6593.0,1
2019-11-01,12:01,12:01 PM,,,,,,0,0.0,0
2019-11-01,12:02,12:02 PM,65.86,65.86,65.86,65.86,65.86,100,6586.0,1
2019-11-01,12:03,12:03 PM,,,,,,0,0.0,0
2019-11-01,12:04,12:04 PM,,,,,,0,0.0,0
2019-11-01,12:05,12:05 PM,,,,,,0,0.0,0
2019-11-01,12:06,12:06 PM,,,,,,0,0.0,0
2019-11-01,12:07,12:07 PM,,,,,,0,0.0,0
2019-11-01,12:08,12:08 PM,65.9,65.9,65.9,65.9,65.9,540,35586.0,2
2019-11-01,12:09,12:09 PM,65.86,65.86,65.86,65.86,65.86,5,329.3,1
2019-11-01,12:10,12:10 PM,,,,,,0,0.0,0
2019-11-01,12:11,12:11 PM,,,,,,0,0.0,0
2019-11-01,12:12,12:12 PM,,,,,,0,0.0,0
2019-11-01,12:13,12:13 PM,,,,,,0,0.0,0
2019-11-01,12:14,12:14 PM,,,,,,0,0.0,0
2019-11-01,12:15,12:15 PM,,,,,,0,0.0,0
2019-11-01,12:16,12:16 PM,,,,,,0,0.0,0
2019-11-01,12:17,12:17 PM,,,,,,0,0.0,0
2019-11-01,12:18,12:18 PM,,,,,,0,0.0,0
2019-11-01,12:19,12:19 PM,,,,,,0,0.0,0
2019-11-01,12:20,12:20 PM,,,,,,0,0.0,0
2019-11-01,12:21,12:21 PM,65.9,65.9,65.9,65.9,65.9,100,6590.0,1
2019-11-01,12:22,12:22 PM,,,,,,0,0.0,0
2019-11-01,12:23,12:23 PM,,,,,,0,0.0,0
2019-11-01,12:24,12:24 PM,,,,,,0,0.0,0
2019-11-01,12:25,12:25 PM,66.02,66.02,66.02,66.02,66.02,300,19806.0,3
2019-11-01,12:26,12:26 PM,,,,,,0,0.0,0
2019-11-01,12:27,12:27 PM,66.01,66.01,66.01,66.01,66.01,100,6601.0,1
2019-11-01,12:28,12:28 PM,66.02,66.02,66.02,66.02,66.02,100,6602.0,1
2019-11-01,12:29,12:29 PM,66.0,66.0,66.0,66.0,66.0,100,6600.0,1
2019-11-01,12:30,12:30 PM,66.005,65.98,66.0,65.98,66.0,799,52734.3,5
2019-11-01,12:31,12:31 PM,,,,,,0,0.0,0
2019-11-01,12:32,12:32 PM,,,,,,0,0.0,0
2019-11-01,12:33,12:33 PM,,,,,,0,0.0,0
2019-11-01,12:34,12:34 PM,,,,,,0,0.0,0
2019-11-01,12:35,12:35 PM,65.915,65.915,65.915,65.915,65.915,100,6591.5,1
2019-11-01,12:36,12:36 PM,,,,,,0,0.0,0
2019-11-01,12:37,12:37 PM,,,,,,0,0.0,0
2019-11-01,12:38,12:38 PM,65.9,65.9,65.9,65.9,65.9,100,6590.0,1
2019-11-01,12:39,12:39 PM,65.91,65.91,65.91,65.91,65.91,3,197.73,1
2019-11-01,12:40,12:40 PM,,,,,,0,0.0,0
2019-11-01,12:41,12:41 PM,65.98,65.945,65.945,65.98,65.96300000000001,200,13192.5,2
2019-11-01,12:42,12:42 PM,66.01,65.97,65.97,66.01,65.999,600,39599.5,5
2019-11-01,12:43,12:43 PM,66.02,66.01,66.02,66.01,66.02,202,13336.02,3
2019-11-01,12:44,12:44 PM,,,,,,0,0.0,0
2019-11-01,12:45,12:45 PM,,,,,,0,0.0,0
2019-11-01,12:46,12:46 PM,,,,,,0,0.0,0
2019-11-01,12:47,12:47 PM,,,,,,0,0.0,0
2019-11-01,12:48,12:48 PM,,,,,,0,0.0,0
2019-11-01,12:49,12:49 PM,,,,,,0,0.0,0
2019-11-01,12:50,12:50 PM,,,,,,0,0.0,0
2019-11-01,12:51,12:51 PM,65.98,65.98,65.98,65.98,65.98,100,6598.0,1
2019-11-01,12:52,12:52 PM,,,,,,0,0.0,0
2019-11-01,12:53,12:53 PM,65.89,65.89,65.89,65.89,65.89,100,6589.0,1
2019-11-01,12:54,12:54 PM,65.895,65.895,65.895,65.895,65.895,100,6589.5,1
2019-11-01,12:55,12:55 PM,,,,,,0,0.0,0
2019-11-01,12:56,12:56 PM,,,,,,0,0.0,0
2019-11-01,12:57,12:57 PM,,,,,,0,0.0,0
2019-11-01,12:58,12:58 PM,,,,,,0,0.0,0
2019-11-01,12:59,12:59 PM,65.94,65.94,65.94,65.94,65.94,100,6594.0,1
2019-11-01,13:00,1 PM,,,,,,0,0.0,0
2019-11-01,13:01,1:01 PM,,,,,,0,0.0,0
2019-11-01,13:02,1:02 PM,,,,,,0,0.0,0
2019-11-01,13:03,1:03 PM,,,,,,0,0.0,0
2019-11-01,13:04,1:04 PM,65.975,65.975,65.975,65.975,65.975,30,1979.25,1
2019-11-01,13:05,1:05 PM,,,,,,0,0.0,0
2019-11-01,13:06,1:06 PM,,,,,,0,0.0,0
2019-11-01,13:07,1:07 PM,,,,,,0,0.0,0
2019-11-01,13:08,1:08 PM,65.96,65.93,65.96,65.93,65.941,137,9033.89,3
2019-11-01,13:09,1:09 PM,,,,,,0,0.0,0
2019-11-01,13:10,1:10 PM,,,,,,0,0.0,0
2019-11-01,13:11,1:11 PM,,,,,,0,0.0,0
2019-11-01,13:12,1:12 PM,,,,,,0,0.0,0
2019-11-01,13:13,1:13 PM,65.98,65.97,65.98,65.97,65.973,209,13788.43,2
2019-11-01,13:14,1:14 PM,65.92,65.92,65.92,65.92,65.92,100,6592.0,1
2019-11-01,13:15,1:15 PM,,,,,,0,0.0,0
2019-11-01,13:16,1:16 PM,65.92,65.92,65.92,65.92,65.92,100,6592.0,1
2019-11-01,13:17,1:17 PM,,,,,,0,0.0,0
2019-11-01,13:18,1:18 PM,,,,,,0,0.0,0
2019-11-01,13:19,1:19 PM,65.935,65.92,65.935,65.92,65.926,160,10548.1,2
2019-11-01,13:20,1:20 PM,65.91,65.88,65.91,65.88,65.883,110,7247.1,2
2019-11-01,13:21,1:21 PM,,,,,,0,0.0,0
2019-11-01,13:22,1:22 PM,,,,,,0,0.0,0
2019-11-01,13:23,1:23 PM,,,,,,0,0.0,0
2019-11-01,13:24,1:24 PM,,,,,,0,0.0,0
2019-11-01,13:25,1:25 PM,,,,,,0,0.0,0
2019-11-01,13:26,1:26 PM,65.815,65.815,65.815,65.815,65.815,100,6581.5,1
2019-11-01,13:27,1:27 PM,65.905,65.82,65.82,65.905,65.854,397,26144.01,4
2019-11-01,13:28,1:28 PM,65.93,65.93,65.93,65.93,65.93,300,19779.0,3
2019-11-01,13:29,1:29 PM,65.935,65.93,65.93,65.935,65.933,200,13186.5,2
