date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,67.35,67.35,67.35,67.35,67.35,100,6735.0,1
2019-11-01,09:31,09:31 AM,67.29,67.29,67.29,67.29,67.29,100,6729.0,1
2019-11-01,09:32,09:32 AM,67.355,67.335,67.335,67.355,67.33800000000001,700,47136.5,4
2019-11-01,09:33,09:33 AM,67.32,67.305,67.32,67.305,67.313,800,53850.0,3
2019-11-01,09:34,09:34 AM,67.335,67.32,67.32,67.335,67.32300000000001,500,33661.5,3
2019-11-01,09:35,09:35 AM,67.345,67.295,67.295,67.34,67.33800000000001,1131,76159.265,15
2019-11-01,09:36,09:36 AM,67.455,67.385,67.385,67.42,67.40100000000001,2296,154753.6,18
2019-11-01,09:37,09:37 AM,67.38,67.365,67.38,67.37,67.37,1022,68852.46,16
2019-11-01,09:38,09:38 AM,67.37,67.335,67.335,67.355,67.348,1182,79605.32,17
2019-11-01,09:39,09:39 AM,67.35,67.33,67.35,67.33,67.334,1219,82079.6,16
2019-11-01,09:40,09:40 AM,67.375,67.285,67.31,67.355,67.328,1621,109138.655,17
2019-11-01,09:41,09:41 AM,67.35,67.33,67.35,67.33,67.335,2327,156688.345,21
2019-11-01,09:42,09:42 AM,67.565,67.34,67.34,67.565,67.411,694,46783.445,7
2019-11-01,09:43,09:43 AM,67.55,67.55,67.55,67.55,67.55,6,405.3,1
2019-11-01,09:44,09:44 AM,67.5,67.5,67.5,67.5,67.5,100,6750.0,1
2019-11-01,09:45,09:45 AM,67.495,67.46,67.49,67.46,67.482,300,20244.5,4
2019-11-01,09:46,09:46 AM,67.47,67.47,67.47,67.47,67.47,100,6747.0,1
2019-11-01,09:47,09:47 AM,67.47,67.47,67.47,67.47,67.47,100,6747.0,1
2019-11-01,09:48,09:48 AM,67.55,67.51,67.51,67.55,67.53699999999999,302,20396.1,3
2019-11-01,09:49,09:49 AM,,,,,,0,0.0,0
2019-11-01,09:50,09:50 AM,67.6,67.58,67.58,67.6,67.59,400,27036.0,5
2019-11-01,09:51,09:51 AM,67.665,67.65,67.65,67.665,67.655,300,20296.5,3
2019-11-01,09:52,09:52 AM,67.67,67.67,67.67,67.67,67.67,200,13534.0,4
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,67.74,67.71,67.71,67.74,67.725,200,13545.0,2
2019-11-01,09:55,09:55 AM,67.76,67.69,67.76,67.69,67.73100000000001,700,47412.0,4
2019-11-01,09:56,09:56 AM,67.68,67.615,67.675,67.615,67.63,910,61543.7,6
2019-11-01,09:57,09:57 AM,67.61,67.6,67.6,67.605,67.605,1100,74366.0,10
2019-11-01,09:58,09:58 AM,67.66,67.66,67.66,67.66,67.66,100,6766.0,1
2019-11-01,09:59,09:59 AM,67.71,67.71,67.71,67.71,67.71,6,406.26,1
2019-11-01,10:00,10 AM,67.7,67.64,67.64,67.7,67.656,276,18673.2,2
2019-11-01,10:01,10:01 AM,67.7,67.7,67.7,67.7,67.7,24,1624.8,1
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,,,,,,0,0.0,0
2019-11-01,10:04,10:04 AM,67.7,67.69,67.7,67.69,67.69,104,7039.8,2
2019-11-01,10:05,10:05 AM,67.67,67.66,67.67,67.66,67.665,200,13533.0,4
2019-11-01,10:06,10:06 AM,67.66,67.66,67.66,67.66,67.66,12,811.92,1
2019-11-01,10:07,10:07 AM,67.67,67.67,67.67,67.67,67.67,200,13534.0,2
2019-11-01,10:08,10:08 AM,67.615,67.58,67.615,67.58,67.592,371,25076.68,4
2019-11-01,10:09,10:09 AM,67.52,67.48,67.52,67.48,67.501,500,33750.5,5
2019-11-01,10:10,10:10 AM,,,,,,0,0.0,0
2019-11-01,10:11,10:11 AM,67.49,67.48,67.49,67.48,67.483,300,20245.0,2
2019-11-01,10:12,10:12 AM,67.42,67.42,67.42,67.42,67.42,1,67.42,1
2019-11-01,10:13,10:13 AM,67.44,67.44,67.44,67.44,67.44,1,67.44,1
2019-11-01,10:14,10:14 AM,,,,,,0,0.0,0
2019-11-01,10:15,10:15 AM,,,,,,0,0.0,0
2019-11-01,10:16,10:16 AM,,,,,,0,0.0,0
2019-11-01,10:17,10:17 AM,67.5,67.465,67.5,67.465,67.5,303,20452.395,2
2019-11-01,10:18,10:18 AM,67.44,67.415,67.44,67.415,67.428,249,16789.57,5
2019-11-01,10:19,10:19 AM,,,,,,0,0.0,0
2019-11-01,10:20,10:20 AM,67.41,67.4,67.4,67.41,67.406,237,15975.3,3
2019-11-01,10:21,10:21 AM,67.43,67.43,67.43,67.43,67.43,100,6743.0,1
2019-11-01,10:22,10:22 AM,,,,,,0,0.0,0
2019-11-01,10:23,10:23 AM,,,,,,0,0.0,0
2019-11-01,10:24,10:24 AM,67.57,67.515,67.515,67.57,67.533,300,20260.0,2
2019-11-01,10:25,10:25 AM,,,,,,0,0.0,0
2019-11-01,10:26,10:26 AM,67.58,67.58,67.58,67.58,67.58,100,6758.0,1
2019-11-01,10:27,10:27 AM,,,,,,0,0.0,0
2019-11-01,10:28,10:28 AM,,,,,,0,0.0,0
2019-11-01,10:29,10:29 AM,67.68,67.68,67.68,67.68,67.68,100,6768.0,1
2019-11-01,10:30,10:30 AM,,,,,,0,0.0,0
2019-11-01,10:31,10:31 AM,67.795,67.77,67.795,67.77,67.782,200,13556.5,2
2019-11-01,10:32,10:32 AM,,,,,,0,0.0,0
2019-11-01,10:33,10:33 AM,67.745,67.74,67.745,67.74,67.743,300,20323.0,4
2019-11-01,10:34,10:34 AM,,,,,,0,0.0,0
2019-11-01,10:35,10:35 AM,67.76,67.76,67.76,67.76,67.76,100,6776.0,1
2019-11-01,10:36,10:36 AM,67.72,67.71,67.71,67.72,67.715,200,13543.0,2
2019-11-01,10:37,10:37 AM,67.78,67.78,67.78,67.78,67.78,100,6778.0,4
2019-11-01,10:38,10:38 AM,,,,,,0,0.0,0
2019-11-01,10:39,10:39 AM,67.83,67.83,67.83,67.83,67.83,51,3459.33,2
2019-11-01,10:40,10:40 AM,67.86,67.86,67.86,67.86,67.86,100,6786.0,1
2019-11-01,10:41,10:41 AM,67.92,67.92,67.92,67.92,67.92,100,6792.0,1
2019-11-01,10:42,10:42 AM,,,,,,0,0.0,0
2019-11-01,10:43,10:43 AM,,,,,,0,0.0,0
2019-11-01,10:44,10:44 AM,67.92,67.9,67.9,67.92,67.91,200,13582.0,2
2019-11-01,10:45,10:45 AM,67.945,67.935,67.945,67.935,67.937,174,11821.12,4
2019-11-01,10:46,10:46 AM,,,,,,0,0.0,0
2019-11-01,10:47,10:47 AM,,,,,,0,0.0,0
2019-11-01,10:48,10:48 AM,67.87,67.87,67.87,67.87,67.87,100,6787.0,1
2019-11-01,10:49,10:49 AM,,,,,,0,0.0,0
2019-11-01,10:50,10:50 AM,67.91,67.91,67.91,67.91,67.91,1,67.91,1
2019-11-01,10:51,10:51 AM,,,,,,0,0.0,0
2019-11-01,10:52,10:52 AM,,,,,,0,0.0,0
2019-11-01,10:53,10:53 AM,67.88,67.88,67.88,67.88,67.88,100,6788.0,2
2019-11-01,10:54,10:54 AM,67.89,67.89,67.89,67.89,67.89,100,6789.0,1
2019-11-01,10:55,10:55 AM,67.99,67.95,67.99,67.95,67.984,101,6866.39,2
2019-11-01,10:56,10:56 AM,,,,,,0,0.0,0
2019-11-01,10:57,10:57 AM,,,,,,0,0.0,0
2019-11-01,10:58,10:58 AM,,,,,,0,0.0,0
2019-11-01,10:59,10:59 AM,67.94,67.935,67.935,67.94,67.939,115,7813.025,2
2019-11-01,11:00,11 AM,67.96,67.95,67.95,67.96,67.956,154,10465.3,3
2019-11-01,11:01,11:01 AM,67.92,67.92,67.92,67.92,67.92,100,6792.0,1
2019-11-01,11:02,11:02 AM,67.9,67.9,67.9,67.9,67.9,37,2512.3,1
2019-11-01,11:03,11:03 AM,,,,,,0,0.0,0
2019-11-01,11:04,11:04 AM,,,,,,0,0.0,0
2019-11-01,11:05,11:05 AM,,,,,,0,0.0,0
2019-11-01,11:06,11:06 AM,,,,,,0,0.0,0
2019-11-01,11:07,11:07 AM,,,,,,0,0.0,0
2019-11-01,11:08,11:08 AM,67.95,67.95,67.95,67.95,67.95,100,6795.0,1
2019-11-01,11:09,11:09 AM,,,,,,0,0.0,0
2019-11-01,11:10,11:10 AM,67.95,67.95,67.95,67.95,67.95,300,20385.0,4
2019-11-01,11:11,11:11 AM,,,,,,0,0.0,0
2019-11-01,11:12,11:12 AM,,,,,,0,0.0,0
2019-11-01,11:13,11:13 AM,67.96,67.96,67.96,67.96,67.96,100,6796.0,1
