date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,45.475,45.455,45.475,45.455,45.47,400.0,18188.0,3.0
2019-11-01,09:31,09:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:32,09:32 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:33,09:33 AM,45.25,45.22,45.22,45.25,45.23,300.0,13569.0,3.0
2019-11-01,09:34,09:34 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:35,09:35 AM,45.28,45.25,45.27,45.25,45.263999999999996,1082.0,48975.96,8.0
2019-11-01,09:36,09:36 AM,45.21,45.21,45.21,45.21,45.21,400.0,18084.0,3.0
2019-11-01,09:37,09:37 AM,45.2,45.195,45.195,45.2,45.196999999999996,200.0,9039.5,2.0
2019-11-01,09:38,09:38 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:39,09:39 AM,45.32,45.31,45.31,45.32,45.31100000000001,700.0,31718.0,5.0
2019-11-01,09:40,09:40 AM,45.43,45.345,45.375,45.345,45.379,704.0,31946.6,7.0
2019-11-01,09:41,09:41 AM,45.365,45.365,45.365,45.365,45.365,100.0,4536.5,1.0
2019-11-01,09:42,09:42 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:43,09:43 AM,45.4,45.355,45.355,45.4,45.388999999999996,406.0,18427.9,6.0
2019-11-01,09:44,09:44 AM,45.515,45.42,45.42,45.515,45.481,1500.0,68222.0,12.0
2019-11-01,09:45,09:45 AM,45.55,45.48,45.55,45.52,45.508,2227.0,101345.75,11.0
2019-11-01,09:46,09:46 AM,45.59,45.52,45.52,45.59,45.545,1200.0,54654.0,7.0
2019-11-01,09:47,09:47 AM,45.57,45.545,45.56,45.545,45.559,500.0,22779.5,5.0
2019-11-01,09:48,09:48 AM,45.67,45.58,45.64,45.67,45.61600000000001,1104.0,50360.505,9.0
2019-11-01,09:49,09:49 AM,45.63,45.61,45.61,45.63,45.62,400.0,18248.0,3.0
2019-11-01,09:50,09:50 AM,45.57,45.46,45.57,45.47,45.5,2500.0,113749.5,17.0
2019-11-01,09:51,09:51 AM,45.44,45.33,45.43,45.33,45.353,2700.0,122454.0,18.0
2019-11-01,09:52,09:52 AM,45.48,45.38,45.38,45.47,45.438,1800.0,81788.5,15.0
2019-11-01,09:53,09:53 AM,45.51,45.48,45.5,45.51,45.494,900.0,40945.0,8.0
2019-11-01,09:54,09:54 AM,45.6,45.55,45.55,45.6,45.575,500.0,22787.5,5.0
2019-11-01,09:55,09:55 AM,45.49,45.47,45.49,45.47,45.48,400.0,18192.0,4.0
2019-11-01,09:56,09:56 AM,45.48,45.47,45.48,45.47,45.475,400.0,18190.0,4.0
2019-11-01,09:57,09:57 AM,45.46,45.395,45.46,45.44,45.416000000000004,1100.0,49958.0,8.0
2019-11-01,09:58,09:58 AM,45.45,45.45,45.45,45.45,45.45,100.0,4545.0,1.0
2019-11-01,09:59,09:59 AM,45.47,45.42,45.47,45.42,45.453,400.0,18181.0,4.0
2019-11-01,10:00,10 AM,45.415,45.36,45.415,45.38,45.38399999999999,1446.0,65625.3,14.0
2019-11-01,10:01,10:01 AM,45.45,45.37,45.37,45.45,45.403,904.0,41044.52,10.0
2019-11-01,10:02,10:02 AM,45.42,45.375,45.42,45.375,45.403,500.0,22701.5,4.0
2019-11-01,10:03,10:03 AM,45.41,45.39,45.39,45.39,45.4,400.0,18160.0,4.0
2019-11-01,10:04,10:04 AM,45.38,45.36,45.38,45.365,45.368,600.0,27221.0,6.0
2019-11-01,10:05,10:05 AM,45.38,45.37,45.38,45.38,45.37600000000001,512.0,23232.56,3.0
2019-11-01,10:06,10:06 AM,45.47,45.45,45.45,45.455,45.461999999999996,900.0,40915.5,8.0
2019-11-01,10:07,10:07 AM,45.47,45.44,45.46,45.47,45.464,1190.0,54101.9,6.0
2019-11-01,10:08,10:08 AM,45.455,45.455,45.455,45.455,45.455,300.0,13636.5,3.0
2019-11-01,10:09,10:09 AM,45.445,45.43,45.445,45.43,45.435,300.0,13630.5,3.0
2019-11-01,10:10,10:10 AM,45.43,45.41,45.43,45.41,45.42,400.0,18168.0,4.0
2019-11-01,10:11,10:11 AM,45.425,45.4,45.4,45.42,45.416000000000004,600.0,27249.5,6.0
2019-11-01,10:12,10:12 AM,45.41,45.375,45.41,45.375,45.394,500.0,22697.0,5.0
2019-11-01,10:13,10:13 AM,45.385,45.38,45.38,45.385,45.383,200.0,9076.5,2.0
2019-11-01,10:14,10:14 AM,45.42,45.415,45.42,45.415,45.417,466.0,21164.39,4.0
2019-11-01,10:15,10:15 AM,45.47,45.465,45.47,45.465,45.467,630.0,28643.95,6.0
2019-11-01,10:16,10:16 AM,45.47,45.43,45.47,45.43,45.453,400.0,18181.0,4.0
2019-11-01,10:17,10:17 AM,45.49,45.42,45.42,45.47,45.468,1417.0,64428.81,12.0
2019-11-01,10:18,10:18 AM,45.545,45.47,45.47,45.545,45.505,419.0,19066.43,4.0
2019-11-01,10:19,10:19 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:20,10:20 AM,45.505,45.505,45.505,45.505,45.505,100.0,4550.5,1.0
2019-11-01,10:21,10:21 AM,45.565,45.55,45.55,45.565,45.556999999999995,200.0,9111.5,2.0
2019-11-01,10:22,10:22 AM,45.625,45.575,45.575,45.61,45.606,823.0,37533.875,8.0
2019-11-01,10:23,10:23 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:24,10:24 AM,45.595,45.585,45.585,45.595,45.592,301.0,13723.085,3.0
2019-11-01,10:25,10:25 AM,45.595,45.58,45.595,45.58,45.586999999999996,200.0,9117.5,2.0
2019-11-01,10:26,10:26 AM,45.585,45.585,45.585,45.585,45.585,100.0,4558.5,1.0
2019-11-01,10:27,10:27 AM,45.58,45.52,45.58,45.52,45.548,700.0,31884.0,7.0
2019-11-01,10:28,10:28 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:29,10:29 AM,45.605,45.605,45.605,45.605,45.605,324.0,14776.02,3.0
2019-11-01,10:30,10:30 AM,45.64,45.64,45.64,45.64,45.64,100.0,4564.0,1.0
2019-11-01,10:31,10:31 AM,45.605,45.605,45.605,45.605,45.605,100.0,4560.5,1.0
2019-11-01,10:32,10:32 AM,45.625,45.62,45.625,45.62,45.62300000000001,500.0,22811.5,6.0
2019-11-01,10:33,10:33 AM,45.66,45.65,45.65,45.66,45.657,300.0,13697.0,3.0
2019-11-01,10:34,10:34 AM,45.72,45.68,45.68,45.72,45.701,1656.0,75680.32,12.0
2019-11-01,10:35,10:35 AM,45.83,45.75,45.75,45.83,45.784,769.0,35208.27,6.0
2019-11-01,10:36,10:36 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:37,10:37 AM,45.805,45.805,45.805,45.805,45.805,100.0,4580.5,1.0
2019-11-01,10:38,10:38 AM,45.795,45.75,45.75,45.795,45.777,317.0,14511.4,5.0
2019-11-01,10:39,10:39 AM,45.775,45.745,45.775,45.745,45.756,524.0,23976.38,5.0
2019-11-01,10:40,10:40 AM,45.745,45.745,45.745,45.745,45.745,100.0,4574.5,1.0
2019-11-01,10:41,10:41 AM,45.75,45.74,45.74,45.75,45.747,150.0,6862.0,2.0
2019-11-01,10:42,10:42 AM,45.765,45.75,45.765,45.75,45.754,941.0,43054.365,5.0
2019-11-01,10:43,10:43 AM,45.75,45.75,45.75,45.75,45.75,100.0,4575.0,1.0
2019-11-01,10:44,10:44 AM,45.87,45.8,45.805,45.87,45.827,546.0,25021.665,4.0
2019-11-01,10:45,10:45 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:46,10:46 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:47,10:47 AM,45.86,45.795,45.86,45.795,45.82,800.0,36656.0,5.0
2019-11-01,10:48,10:48 AM,45.81,45.81,45.81,45.81,45.81,100.0,4581.0,1.0
2019-11-01,10:49,10:49 AM,45.81,45.81,45.81,45.81,45.81,100.0,4581.0,1.0
2019-11-01,10:50,10:50 AM,45.88,45.88,45.88,45.88,45.88,100.0,4588.0,1.0
2019-11-01,10:51,10:51 AM,45.885,45.885,45.885,45.885,45.885,200.0,9177.0,2.0
2019-11-01,10:52,10:52 AM,45.87,45.87,45.87,45.87,45.87,100.0,4587.0,1.0
2019-11-01,10:53,10:53 AM,45.865,45.865,45.865,45.865,45.865,208.0,9539.92,2.0
2019-11-01,10:54,10:54 AM,45.84,45.815,45.84,45.83,45.82100000000001,900.0,41239.0,7.0
2019-11-01,10:55,10:55 AM,45.84,45.82,45.82,45.84,45.832,500.0,22916.0,4.0
2019-11-01,10:56,10:56 AM,45.835,45.81,45.81,45.835,45.824,366.0,16771.61,3.0
2019-11-01,10:57,10:57 AM,45.82,45.82,45.82,45.82,45.82,210.0,9622.2,2.0
2019-11-01,10:58,10:58 AM,45.845,45.81,45.81,45.835,45.833,500.0,22916.5,5.0
2019-11-01,10:59,10:59 AM,45.825,45.815,45.825,45.815,45.818999999999996,639.0,29278.175,5.0
2019-11-01,11:00,11 AM,45.82,45.82,45.82,45.82,45.82,200.0,9164.0,1.0
2019-11-01,11:01,11:01 AM,45.81,45.75,45.81,45.75,45.78,200.0,9156.0,2.0
2019-11-01,11:02,11:02 AM,45.76,45.73,45.73,45.76,45.751999999999995,400.0,18301.0,3.0
2019-11-01,11:03,11:03 AM,45.76,45.74,45.76,45.74,45.75,200.0,9150.0,2.0
2019-11-01,11:04,11:04 AM,45.73,45.695,45.73,45.695,45.708,414.0,18923.22,3.0
2019-11-01,11:05,11:05 AM,45.695,45.67,45.67,45.695,45.681999999999995,200.0,9136.5,2.0
2019-11-01,11:06,11:06 AM,45.67,45.67,45.67,45.67,45.67,300.0,13701.0,3.0
2019-11-01,11:07,11:07 AM,45.68,45.66,45.68,45.665,45.674,1160.0,52981.8,12.0
2019-11-01,11:08,11:08 AM,45.695,45.665,45.67,45.68,45.678000000000004,671.0,30650.205,5.0
2019-11-01,11:09,11:09 AM,45.7,45.675,45.675,45.7,45.683,310.0,14161.75,3.0
2019-11-01,11:10,11:10 AM,45.7,45.695,45.695,45.7,45.698,300.0,13709.46,2.0
2019-11-01,11:11,11:11 AM,45.71,45.71,45.71,45.71,45.71,400.0,18284.0,4.0
2019-11-01,11:12,11:12 AM,45.71,45.71,45.71,45.71,45.71,400.0,18284.0,4.0
2019-11-01,11:13,11:13 AM,45.725,45.715,45.715,45.725,45.718,334.0,15269.81,3.0
2019-11-01,11:14,11:14 AM,45.745,45.735,45.74,45.745,45.74100000000001,825.0,37736.125,10.0
2019-11-01,11:15,11:15 AM,45.74,45.725,45.74,45.725,45.725,327.0,14952.105,4.0
2019-11-01,11:16,11:16 AM,45.73,45.725,45.73,45.725,45.729,400.0,18291.5,4.0
2019-11-01,11:17,11:17 AM,45.725,45.725,45.725,45.725,45.725,148.0,6767.3,1.0
2019-11-01,11:18,11:18 AM,45.75,45.75,45.75,45.75,45.75,200.0,9150.0,2.0
2019-11-01,11:19,11:19 AM,45.745,45.73,45.745,45.73,45.736999999999995,200.0,9147.5,2.0
2019-11-01,11:20,11:20 AM,45.735,45.72,45.735,45.72,45.724,400.0,18289.5,3.0
2019-11-01,11:21,11:21 AM,45.71,45.7,45.7,45.71,45.705,200.0,9141.0,2.0
2019-11-01,11:22,11:22 AM,45.71,45.695,45.71,45.71,45.703,600.0,27421.5,6.0
2019-11-01,11:23,11:23 AM,45.71,45.69,45.71,45.69,45.703,450.0,20566.5,4.0
2019-11-01,11:24,11:24 AM,,,,,,0.0,0.0,0.0
2019-11-01,11:25,11:25 AM,45.705,45.67,45.67,45.705,45.69600000000001,562.0,25681.345,7.0
2019-11-01,11:26,11:26 AM,45.77,45.74,45.74,45.765,45.76,616.0,28188.24,7.0
2019-11-01,11:27,11:27 AM,45.77,45.77,45.77,45.77,45.77,200.0,9154.0,2.0
2019-11-01,11:28,11:28 AM,45.78,45.77,45.78,45.77,45.778999999999996,1000.0,45779.0,6.0
2019-11-01,11:29,11:29 AM,45.78,45.77,45.78,45.78,45.777,401.0,18356.77,5.0
2019-11-01,11:30,11:30 AM,45.8,45.8,45.8,45.8,45.8,2.0,91.6,1.0
2019-11-01,11:31,11:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,11:32,11:32 AM,45.785,45.785,45.785,45.785,45.785,100.0,4578.5,1.0
2019-11-01,11:33,11:33 AM,,,,,,0.0,0.0,0.0
2019-11-01,11:34,11:34 AM,45.78,45.76,45.78,45.76,45.766999999999996,673.0,30801.33,6.0
2019-11-01,11:35,11:35 AM,45.77,45.755,45.76,45.755,45.763999999999996,600.0,27458.5,5.0
2019-11-01,11:36,11:36 AM,,,,,,0.0,0.0,0.0
2019-11-01,11:37,11:37 AM,45.765,45.755,45.765,45.755,45.758,610.0,27912.1,7.0
2019-11-01,11:38,11:38 AM,45.79,45.765,45.765,45.79,45.784,1302.0,59610.55,11.0
2019-11-01,11:39,11:39 AM,45.82,45.81,45.82,45.81,45.813,137.0,6276.34,2.0
2019-11-01,11:40,11:40 AM,45.815,45.815,45.815,45.815,45.815,105.0,4810.575,1.0
2019-11-01,11:41,11:41 AM,45.835,45.825,45.835,45.83,45.83,665.0,30477.275,6.0
2019-11-01,11:42,11:42 AM,45.805,45.79,45.805,45.79,45.795,312.0,14288.16,2.0
2019-11-01,11:43,11:43 AM,45.815,45.79,45.79,45.815,45.797,3100.0,141970.04,17.0
2019-11-01,11:44,11:44 AM,45.86,45.8,45.8,45.86,45.82100000000001,2259.0,103510.74,13.0
2019-11-01,11:45,11:45 AM,45.88,45.845,45.875,45.845,45.867,730.0,33482.9,6.0
2019-11-01,11:46,11:46 AM,45.85,45.85,45.85,45.85,45.85,100.0,4585.0,1.0
2019-11-01,11:47,11:47 AM,45.89,45.885,45.885,45.89,45.887,900.0,41298.5,5.0
2019-11-01,11:48,11:48 AM,45.92,45.895,45.895,45.92,45.915,500.0,22957.5,5.0
2019-11-01,11:49,11:49 AM,46.01,46.0,46.0,46.01,46.006,237.0,10903.37,3.0
2019-11-01,11:50,11:50 AM,45.995,45.995,45.995,45.995,45.995,100.0,4599.5,1.0
2019-11-01,11:51,11:51 AM,,,,,,0.0,0.0,0.0
2019-11-01,11:52,11:52 AM,46.13,46.08,46.13,46.09,46.088,190.0,8756.75,3.0
2019-11-01,11:53,11:53 AM,46.065,46.06,46.065,46.06,46.063,200.0,9212.5,2.0
2019-11-01,11:54,11:54 AM,,,,,,0.0,0.0,0.0
2019-11-01,11:55,11:55 AM,45.98,45.98,45.98,45.98,45.98,112.0,5149.76,1.0
2019-11-01,11:56,11:56 AM,45.93,45.93,45.93,45.93,45.93,100.0,4593.0,1.0
