date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,35.49,35.49,35.49,35.49,35.49,100,3549.0,1
2019-11-01,09:31,09:31 AM,35.5,35.5,35.5,35.5,35.5,100,3550.0,1
2019-11-01,09:32,09:32 AM,35.54,35.53,35.54,35.53,35.535,200,7107.0,2
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,35.62,35.62,35.62,35.62,35.62,100,3562.0,1
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,35.655,35.655,35.655,35.655,35.655,100,3565.5,1
2019-11-01,09:37,09:37 AM,35.65,35.65,35.65,35.65,35.65,1302,46416.3,5
2019-11-01,09:38,09:38 AM,35.61,35.61,35.61,35.61,35.61,77,2741.97,1
2019-11-01,09:39,09:39 AM,35.59,35.59,35.59,35.59,35.59,50,1779.5,1
2019-11-01,09:40,09:40 AM,35.54,35.54,35.54,35.54,35.54,113,4016.02,2
2019-11-01,09:41,09:41 AM,35.56,35.56,35.56,35.56,35.56,19,675.64,1
2019-11-01,09:42,09:42 AM,35.47,35.46,35.47,35.47,35.468,400,14187.0,4
2019-11-01,09:43,09:43 AM,35.525,35.47,35.47,35.525,35.497,200,7099.485,3
2019-11-01,09:44,09:44 AM,35.535,35.5,35.535,35.5,35.515,303,10761.015,4
2019-11-01,09:45,09:45 AM,35.495,35.495,35.495,35.495,35.495,100,3549.5,1
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,35.485,35.475,35.48,35.485,35.48300000000001,700,24838.0,4
2019-11-01,09:48,09:48 AM,35.485,35.48,35.485,35.48,35.48300000000001,400,14193.0,3
2019-11-01,09:49,09:49 AM,35.555,35.52,35.52,35.555,35.534,253,8990.06,2
2019-11-01,09:50,09:50 AM,35.53,35.495,35.53,35.495,35.514,400,14205.5,3
2019-11-01,09:51,09:51 AM,35.55,35.49,35.49,35.55,35.508,604,21446.96,5
2019-11-01,09:52,09:52 AM,35.55,35.54,35.55,35.55,35.549,806,28652.3,8
