date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,471.065,471.065,471.065,471.065,471.065,100,47106.5,1
2019-11-01,09:33,09:33 AM,470.77,470.66,470.77,470.66,470.756,200,94151.25,3
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,471.24,470.4,471.24,470.4,470.816,198,93221.52,2
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,471.65,471.24,471.24,471.65,471.30800000000005,202,95204.3,3
2019-11-01,09:40,09:40 AM,,,,,,0,0.0,0
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,471.34,470.95,471.0,470.95,471.027,900,423924.0,7
2019-11-01,09:43,09:43 AM,470.5,470.5,470.5,470.5,470.5,7,3293.5,1
2019-11-01,09:44,09:44 AM,470.67,470.52,470.52,470.67,470.595,200,94119.0,2
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,471.045,470.86,471.045,470.86,470.931,200,94186.285,3
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,,,,,,0,0.0,0
2019-11-01,09:50,09:50 AM,471.73,471.73,471.73,471.73,471.73,200,94346.0,1
2019-11-01,09:51,09:51 AM,471.595,471.535,471.595,471.535,471.565,200,94313.0,2
2019-11-01,09:52,09:52 AM,471.825,471.39,471.39,471.825,471.534,303,142874.67,3
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,472.61,472.3,472.3,472.39,472.406,605,285805.45,7
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,472.095,472.095,472.095,472.095,472.095,550,259652.25,1
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,474.155,472.6,473.03,473.72,473.764,981,464762.855,11
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,474.025,473.72,473.72,474.025,474.001,25,11850.015,2
2019-11-01,10:03,10:03 AM,474.59,474.59,474.59,474.59,474.59,100,47459.0,1
2019-11-01,10:04,10:04 AM,475.0,475.0,475.0,475.0,475.0,100,47500.0,1
2019-11-01,10:05,10:05 AM,475.16,475.16,475.16,475.16,475.16,29,13779.64,1
2019-11-01,10:06,10:06 AM,474.68,474.58,474.58,474.68,474.625,111,52683.38,2
2019-11-01,10:07,10:07 AM,474.6,474.6,474.6,474.6,474.6,34,16136.4,1
2019-11-01,10:08,10:08 AM,,,,,,0,0.0,0
2019-11-01,10:09,10:09 AM,475.08,475.08,475.08,475.08,475.08,100,47508.0,2
2019-11-01,10:10,10:10 AM,475.2,475.2,475.2,475.2,475.2,4,1900.8,1
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,474.99,474.86,474.99,474.86,474.961,731,347196.66,10
2019-11-01,10:13,10:13 AM,474.785,474.785,474.785,474.785,474.785,100,47478.5,1
