date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,178.865,178.865,178.865,178.865,178.865,200,35773.0,2
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,179.6,179.6,179.6,179.6,179.6,40,7184.0,1
2019-11-01,09:35,09:35 AM,180.145,180.055,180.145,180.055,180.082,500,90041.0,5
2019-11-01,09:36,09:36 AM,180.285,180.065,180.275,180.065,180.195,506,91178.49,6
2019-11-01,09:37,09:37 AM,180.25,180.065,180.085,180.25,180.146,800,144117.0,8
2019-11-01,09:38,09:38 AM,180.38,180.255,180.38,180.255,180.317,600,108190.5,6
2019-11-01,09:39,09:39 AM,180.345,180.15,180.345,180.15,180.248,400,72099.0,4
2019-11-01,09:40,09:40 AM,180.005,179.905,179.905,180.005,179.938,300,53981.5,2
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,179.8,179.8,179.8,179.8,179.8,100,17980.0,1
2019-11-01,09:43,09:43 AM,180.21,180.0,180.0,180.21,180.132,400,72053.0,4
2019-11-01,09:44,09:44 AM,180.085,179.96,179.96,180.03,180.03400000000005,800,144027.5,8
2019-11-01,09:45,09:45 AM,180.59,180.145,180.145,180.585,180.585,201,36297.645,3
2019-11-01,09:46,09:46 AM,180.74,180.405,180.6,180.74,180.493,950,171468.0,10
2019-11-01,09:47,09:47 AM,181.165,181.0,181.0,181.08,181.062,1700,307805.5,17
2019-11-01,09:48,09:48 AM,181.225,180.93,181.02,181.085,181.07299999999998,1108,200628.76,12
2019-11-01,09:49,09:49 AM,181.48,180.91,180.97,181.48,181.195,1100,199314.5,11
2019-11-01,09:50,09:50 AM,181.475,181.465,181.475,181.465,181.468,300,54440.5,3
2019-11-01,09:51,09:51 AM,182.18,181.765,181.765,182.18,181.951,1103,200691.545,13
2019-11-01,09:52,09:52 AM,182.42,182.09,182.185,182.375,182.29,1400,255205.5,14
2019-11-01,09:53,09:53 AM,182.485,182.13,182.42,182.47,182.31099999999998,1645,299901.4,18
2019-11-01,09:54,09:54 AM,182.475,182.34,182.475,182.34,182.44,400,72976.0,4
2019-11-01,09:55,09:55 AM,182.615,182.6,182.615,182.6,182.61,300,54783.0,3
2019-11-01,09:56,09:56 AM,182.565,182.32,182.37,182.345,182.456,1820,332070.8,19
2019-11-01,09:57,09:57 AM,182.265,181.7,181.985,182.09,182.125,2200,400675.5,22
2019-11-01,09:58,09:58 AM,182.12,181.745,182.055,181.745,181.89700000000002,1007,183170.15,11
2019-11-01,09:59,09:59 AM,182.2,181.925,181.925,181.94,181.987,1800,327576.5,17
2019-11-01,10:00,10 AM,181.93,181.875,181.93,181.875,181.893,300,54568.0,3
2019-11-01,10:01,10:01 AM,182.38,182.38,182.38,182.38,182.38,100,18238.0,1
2019-11-01,10:02,10:02 AM,183.44,182.98,183.44,183.12,183.27900000000002,500,91639.36,7
2019-11-01,10:03,10:03 AM,183.58,183.48,183.58,183.48,183.535,300,55060.5,4
2019-11-01,10:04,10:04 AM,183.92,183.69,183.72,183.92,183.81,600,110286.0,8
2019-11-01,10:05,10:05 AM,184.2,183.98,184.2,183.98,184.11,300,55233.0,3
2019-11-01,10:06,10:06 AM,184.12,183.99,184.02,184.005,184.03599999999997,804,147964.66,9
2019-11-01,10:07,10:07 AM,184.1,183.97,184.1,183.97,184.035,200,36807.0,2
2019-11-01,10:08,10:08 AM,184.16,184.16,184.16,184.16,184.16,100,18416.0,1
2019-11-01,10:09,10:09 AM,184.18,184.135,184.135,184.18,184.157,200,36831.5,2
2019-11-01,10:10,10:10 AM,184.055,184.0,184.055,184.0,184.037,300,55211.0,3
2019-11-01,10:11,10:11 AM,184.22,184.14,184.14,184.17,184.17700000000002,300,55253.0,3
2019-11-01,10:12,10:12 AM,184.14,184.03,184.14,184.03,184.095,172,31664.38,3
2019-11-01,10:13,10:13 AM,183.95,183.94,183.94,183.95,183.945,200,36789.0,2
2019-11-01,10:14,10:14 AM,183.985,183.985,183.985,183.985,183.985,100,18398.5,1
2019-11-01,10:15,10:15 AM,184.135,184.135,184.135,184.135,184.135,13,2393.755,1
2019-11-01,10:16,10:16 AM,,,,,,0,0.0,0
2019-11-01,10:17,10:17 AM,184.14,184.14,184.14,184.14,184.14,100,18414.0,1
2019-11-01,10:18,10:18 AM,183.92,183.92,183.92,183.92,183.92,7,1287.44,2
2019-11-01,10:19,10:19 AM,,,,,,0,0.0,0
2019-11-01,10:20,10:20 AM,,,,,,0,0.0,0
2019-11-01,10:21,10:21 AM,,,,,,0,0.0,0
2019-11-01,10:22,10:22 AM,,,,,,0,0.0,0
2019-11-01,10:23,10:23 AM,,,,,,0,0.0,0
2019-11-01,10:24,10:24 AM,,,,,,0,0.0,0
2019-11-01,10:25,10:25 AM,183.89,183.89,183.89,183.89,183.89,100,18389.0,1
2019-11-01,10:26,10:26 AM,183.86,183.85,183.86,183.85,183.855,270,49640.79,5
2019-11-01,10:27,10:27 AM,183.88,183.735,183.875,183.735,183.80700000000002,209,38415.695,6
2019-11-01,10:28,10:28 AM,183.615,183.595,183.595,183.615,183.60299999999998,419,76929.765,6
