date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,45.175,45.07,45.175,45.07,45.161,14053,634653.17,24
2019-11-01,09:31,09:31 AM,45.105,45.07,45.07,45.105,45.089,800,36071.0,7
2019-11-01,09:32,09:32 AM,45.145,45.1,45.105,45.125,45.123999999999995,2904,131040.98,25
2019-11-01,09:33,09:33 AM,45.15,45.1,45.105,45.15,45.111000000000004,2491,112371.24,28
2019-11-01,09:34,09:34 AM,45.19,45.14,45.165,45.155,45.173,7260,327954.225,18
2019-11-01,09:35,09:35 AM,45.155,45.06,45.14,45.09,45.128,5025,226766.925,34
2019-11-01,09:36,09:36 AM,45.12,45.07,45.07,45.11,45.11,1287,58057.06,19
2019-11-01,09:37,09:37 AM,45.12,45.09,45.11,45.09,45.1,1742,78564.045,16
2019-11-01,09:38,09:38 AM,45.04,44.945,45.025,44.945,44.968999999999994,1572,70691.14,6
2019-11-01,09:39,09:39 AM,44.98,44.935,44.945,44.95,44.953,2366,106360.21,10
2019-11-01,09:40,09:40 AM,44.97,44.95,44.95,44.95,44.95399999999999,500,22477.0,4
2019-11-01,09:41,09:41 AM,44.885,44.83,44.885,44.83,44.857,2495,111918.985,14
2019-11-01,09:42,09:42 AM,44.86,44.85,44.85,44.86,44.86,404,18123.4,4
2019-11-01,09:43,09:43 AM,44.88,44.83,44.88,44.83,44.852,1004,45031.97,10
2019-11-01,09:44,09:44 AM,44.89,44.84,44.84,44.88,44.864,1000,44864.0,5
2019-11-01,09:45,09:45 AM,44.95,44.905,44.905,44.95,44.917,1000,44917.5,3
2019-11-01,09:46,09:46 AM,45.025,44.975,45.025,44.975,45.007,300,13502.0,3
2019-11-01,09:47,09:47 AM,44.945,44.94,44.94,44.945,44.94300000000001,300,13483.0,2
2019-11-01,09:48,09:48 AM,44.96,44.935,44.94,44.955,44.94300000000001,1200,53931.0,6
2019-11-01,09:49,09:49 AM,44.96,44.95,44.95,44.95,44.957,549,24681.55,7
2019-11-01,09:50,09:50 AM,44.965,44.94,44.955,44.95,44.958999999999996,1000,44959.5,8
2019-11-01,09:51,09:51 AM,44.94,44.925,44.94,44.925,44.933,600,26960.0,4
