date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,206.56,206.54,206.545,206.56,206.548,300,61964.5,3
2019-11-01,09:32,09:32 AM,206.745,206.47,206.745,206.47,206.607,200,41321.5,2
2019-11-01,09:33,09:33 AM,205.67,205.67,205.67,205.67,205.67,100,20567.0,1
2019-11-01,09:34,09:34 AM,205.13,204.82,205.13,204.82,205.048,160,32807.7,3
2019-11-01,09:35,09:35 AM,206.01,205.24,205.24,205.785,205.62400000000002,1809,371974.7,9
2019-11-01,09:36,09:36 AM,206.23,205.81,205.81,206.21,206.033,1101,226842.315,8
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,205.935,205.91,205.935,205.91,205.923,304,62600.64,3
2019-11-01,09:39,09:39 AM,205.99,205.99,205.99,205.99,205.99,2,411.98,1
2019-11-01,09:40,09:40 AM,,,,,,0,0.0,0
2019-11-01,09:41,09:41 AM,206.095,205.89,206.095,205.89,205.946,290,59724.5,4
2019-11-01,09:42,09:42 AM,205.93,205.87,205.87,205.93,205.92,990,203860.935,3
2019-11-01,09:43,09:43 AM,205.94,205.94,205.94,205.94,205.94,100,20594.0,1
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,205.97,205.76,205.925,205.905,205.918,733,150937.635,7
2019-11-01,09:46,09:46 AM,206.0,205.88,205.88,206.0,205.949,480,98855.59,5
2019-11-01,09:47,09:47 AM,206.02,206.0,206.0,206.02,206.00799999999998,436,89819.5,6
2019-11-01,09:48,09:48 AM,206.375,205.995,206.25,206.035,206.15099999999998,800,164920.5,7
2019-11-01,09:49,09:49 AM,205.85,205.845,205.85,205.845,205.845,101,20790.35,2
2019-11-01,09:50,09:50 AM,205.555,205.555,205.555,205.555,205.555,100,20555.5,1
2019-11-01,09:51,09:51 AM,205.72,205.62,205.62,205.72,205.67,200,41134.0,2
2019-11-01,09:52,09:52 AM,205.93,205.77,205.93,205.77,205.77200000000002,202,41565.86,2
2019-11-01,09:53,09:53 AM,206.0,205.775,205.775,205.985,205.99099999999999,201,41404.275,3
2019-11-01,09:54,09:54 AM,206.08,206.075,206.08,206.075,206.079,237,48840.775,4
2019-11-01,09:55,09:55 AM,205.815,205.74,205.815,205.74,205.765,300,61729.5,3
2019-11-01,09:56,09:56 AM,205.62,205.08,205.62,205.08,205.22,201,41249.22,4
2019-11-01,09:57,09:57 AM,205.275,205.275,205.275,205.275,205.275,100,20527.5,1
2019-11-01,09:58,09:58 AM,205.105,205.1,205.105,205.1,205.102,200,41020.5,2
2019-11-01,09:59,09:59 AM,205.025,204.915,204.915,205.025,204.97,200,40994.0,2
2019-11-01,10:00,10 AM,205.72,205.655,205.72,205.655,205.688,200,41137.5,2
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,205.355,204.77,205.355,204.77,205.16,300,61548.0,3
2019-11-01,10:03,10:03 AM,205.07,205.07,205.07,205.07,205.07,200,41014.0,2
2019-11-01,10:04,10:04 AM,205.065,205.065,205.065,205.065,205.065,200,41013.0,1
2019-11-01,10:05,10:05 AM,205.08,205.08,205.08,205.08,205.08,510,104590.8,5
2019-11-01,10:06,10:06 AM,205.08,205.05,205.08,205.05,205.06,407,83459.42,4
2019-11-01,10:07,10:07 AM,,,,,,0,0.0,0
2019-11-01,10:08,10:08 AM,,,,,,0,0.0,0
2019-11-01,10:09,10:09 AM,204.71,204.71,204.71,204.71,204.71,100,20471.0,1
2019-11-01,10:10,10:10 AM,204.71,204.71,204.71,204.71,204.71,100,20471.0,1
2019-11-01,10:11,10:11 AM,204.76,204.76,204.76,204.76,204.76,200,40952.0,2
