date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:31,09:31 AM,779.2,779.2,779.2,779.2,779.2,8.0,6233.6,1.0
2019-11-01,09:32,09:32 AM,781.06,779.71,779.71,781.06,780.722,40.0,31228.9,2.0
2019-11-01,09:33,09:33 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:34,09:34 AM,777.91,777.91,777.91,777.91,777.91,3.0,2333.73,1.0
2019-11-01,09:35,09:35 AM,779.965,779.965,779.965,779.965,779.965,100.0,77996.5,1.0
2019-11-01,09:36,09:36 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:37,09:37 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:38,09:38 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:39,09:39 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:40,09:40 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:41,09:41 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:42,09:42 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:43,09:43 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:44,09:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:45,09:45 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:46,09:46 AM,776.435,776.435,776.435,776.435,776.435,86.0,66773.41,2.0
2019-11-01,09:47,09:47 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:48,09:48 AM,776.5,776.5,776.5,776.5,776.5,100.0,77650.0,1.0
2019-11-01,09:49,09:49 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:50,09:50 AM,775.76,775.76,775.76,775.76,775.76,100.0,77576.0,1.0
2019-11-01,09:51,09:51 AM,775.91,775.91,775.91,775.91,775.91,86.0,66728.26,1.0
2019-11-01,09:52,09:52 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:53,09:53 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:54,09:54 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:55,09:55 AM,779.51,779.16,779.16,779.51,779.49,106.0,82625.96,2.0
2019-11-01,09:56,09:56 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:57,09:57 AM,779.045,779.045,779.045,779.045,779.045,200.0,155809.0,1.0
2019-11-01,09:58,09:58 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:59,09:59 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:00,10 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:01,10:01 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:02,10:02 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:03,10:03 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:04,10:04 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:05,10:05 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:06,10:06 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:07,10:07 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:08,10:08 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:09,10:09 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:10,10:10 AM,778.565,778.565,778.565,778.565,778.565,200.0,155713.0,1.0
2019-11-01,10:11,10:11 AM,778.22,778.22,778.22,778.22,778.22,100.0,77822.0,1.0
2019-11-01,10:12,10:12 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:13,10:13 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:14,10:14 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:15,10:15 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:16,10:16 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:17,10:17 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:18,10:18 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:19,10:19 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:20,10:20 AM,778.11,778.11,778.11,778.11,778.11,10.0,7781.1,4.0
2019-11-01,10:21,10:21 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:22,10:22 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:23,10:23 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:24,10:24 AM,777.8,777.8,777.8,777.8,777.8,34.0,26445.2,1.0
2019-11-01,10:25,10:25 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:26,10:26 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:27,10:27 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:28,10:28 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:29,10:29 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:30,10:30 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:31,10:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:32,10:32 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:33,10:33 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:34,10:34 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:35,10:35 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:36,10:36 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:37,10:37 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:38,10:38 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:39,10:39 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:40,10:40 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:41,10:41 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:42,10:42 AM,778.25,778.25,778.25,778.25,778.25,2.0,1556.5,1.0
2019-11-01,10:43,10:43 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:44,10:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:45,10:45 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:46,10:46 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:47,10:47 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:48,10:48 AM,,,,,,0.0,0.0,0.0
