date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,29.075,29.075,29.075,29.075,29.075,100,2907.5,1
2019-11-01,09:31,09:31 AM,29.085,29.085,29.085,29.085,29.085,200,5817.0,2
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,29.1,29.07,29.07,29.1,29.076999999999998,1505,43761.6,4
2019-11-01,09:34,09:34 AM,29.07,29.07,29.07,29.07,29.07,500,14535.0,2
2019-11-01,09:35,09:35 AM,29.09,29.09,29.09,29.09,29.09,200,5818.0,2
2019-11-01,09:36,09:36 AM,29.105,29.09,29.09,29.105,29.09,103,2996.315,2
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,29.095,29.095,29.095,29.095,29.095,2,58.19,1
2019-11-01,09:40,09:40 AM,29.105,29.105,29.105,29.105,29.105,300,8731.5,1
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,29.115,29.105,29.105,29.105,29.105,402,11700.23,5
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,29.11,29.105,29.11,29.105,29.105,904,26310.94,2
2019-11-01,09:46,09:46 AM,29.105,29.105,29.105,29.105,29.105,200,5821.0,2
2019-11-01,09:47,09:47 AM,29.1,29.1,29.1,29.1,29.1,2,58.2,1
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,29.115,29.115,29.115,29.115,29.115,200,5823.0,2
2019-11-01,09:50,09:50 AM,29.13,29.12,29.12,29.13,29.122,428,12464.36,5
2019-11-01,09:51,09:51 AM,29.135,29.135,29.135,29.135,29.135,100,2913.5,1
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,29.15,29.145,29.15,29.145,29.148000000000003,205,5975.25,3
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,29.155,29.15,29.15,29.155,29.151999999999997,400,11660.95,7
2019-11-01,09:56,09:56 AM,29.155,29.145,29.145,29.145,29.15,1800,52469.5,15
2019-11-01,09:57,09:57 AM,29.155,29.155,29.155,29.155,29.155,200,5831.0,2
2019-11-01,09:58,09:58 AM,29.145,29.145,29.145,29.145,29.145,100,2914.5,1
2019-11-01,09:59,09:59 AM,29.155,29.145,29.145,29.145,29.145,306,8918.43,4
2019-11-01,10:00,10 AM,29.135,29.135,29.135,29.135,29.135,5,145.675,1
2019-11-01,10:01,10:01 AM,29.125,29.125,29.125,29.125,29.125,600,17475.0,6
2019-11-01,10:02,10:02 AM,29.115,29.105,29.115,29.105,29.11,400,11644.0,4
2019-11-01,10:03,10:03 AM,29.13,29.115,29.13,29.115,29.125,500,14562.5,6
2019-11-01,10:04,10:04 AM,29.115,29.115,29.115,29.115,29.115,200,5823.0,2
2019-11-01,10:05,10:05 AM,29.105,29.105,29.105,29.105,29.105,200,5821.0,2
2019-11-01,10:06,10:06 AM,29.105,29.09,29.105,29.09,29.095,300,8728.5,3
2019-11-01,10:07,10:07 AM,29.085,29.085,29.085,29.085,29.085,100,2908.5,1
2019-11-01,10:08,10:08 AM,29.085,29.075,29.075,29.085,29.08,300,8724.0,3
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,29.085,29.085,29.085,29.085,29.085,100,2908.5,1
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,29.085,29.08,29.08,29.085,29.081,500,14540.5,5
