date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,94.105,94.105,94.105,94.105,94.105,100,9410.5,1
2019-11-01,09:31,09:31 AM,94.235,94.175,94.175,94.23,94.223,800,75378.5,5
2019-11-01,09:32,09:32 AM,94.37,94.26,94.295,94.305,94.289,389,36678.44,4
2019-11-01,09:33,09:33 AM,94.275,94.275,94.275,94.275,94.275,100,9427.5,1
2019-11-01,09:34,09:34 AM,94.22,94.06,94.17,94.165,94.15899999999999,1913,180125.76,13
2019-11-01,09:35,09:35 AM,94.175,94.175,94.175,94.175,94.175,206,19400.05,1
2019-11-01,09:36,09:36 AM,94.46,94.46,94.46,94.46,94.46,12,1133.52,1
2019-11-01,09:37,09:37 AM,94.45,94.45,94.45,94.45,94.45,2,188.9,2
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,94.36,94.36,94.36,94.36,94.36,2,188.72,1
2019-11-01,09:41,09:41 AM,94.34,94.34,94.34,94.34,94.34,38,3584.92,2
2019-11-01,09:42,09:42 AM,94.31,94.25,94.3,94.31,94.251,102,9613.61,3
2019-11-01,09:43,09:43 AM,94.235,94.235,94.235,94.235,94.235,3,282.705,1
2019-11-01,09:44,09:44 AM,94.225,94.225,94.225,94.225,94.225,100,9422.5,1
2019-11-01,09:45,09:45 AM,94.25,94.21,94.24,94.21,94.211,204,19218.99,5
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,94.35,94.285,94.35,94.285,94.344,110,10377.85,2
2019-11-01,09:48,09:48 AM,94.38,94.35,94.38,94.365,94.369,394,37181.37,3
2019-11-01,09:49,09:49 AM,,,,,,0,0.0,0
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,94.455,94.41,94.43,94.41,94.449,311,29373.65,4
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,94.47,94.42,94.42,94.47,94.449,300,28334.77,4
2019-11-01,09:55,09:55 AM,94.49,94.49,94.49,94.49,94.49,400,37796.0,3
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,94.48,94.475,94.475,94.48,94.478,200,18895.5,2
