date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,18.65,18.65,18.65,18.65,18.65,270,5035.5,1
2019-11-01,09:32,09:32 AM,18.565,18.565,18.565,18.565,18.565,200,3713.0,2
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,18.57,18.535,18.57,18.535,18.56,201,3730.535,3
2019-11-01,09:36,09:36 AM,18.54,18.52,18.54,18.52,18.52,113,2092.78,4
2019-11-01,09:37,09:37 AM,18.52,18.495,18.495,18.52,18.519000000000002,111,2055.66,4
2019-11-01,09:38,09:38 AM,18.55,18.53,18.535,18.55,18.55,605,11222.655,3
2019-11-01,09:39,09:39 AM,18.58,18.58,18.58,18.58,18.58,100,1858.0,1
2019-11-01,09:40,09:40 AM,18.6,18.56,18.56,18.6,18.587,1445,26857.65,6
2019-11-01,09:41,09:41 AM,18.64,18.625,18.64,18.625,18.635,152,2832.5,2
2019-11-01,09:42,09:42 AM,,,,,,0,0.0,0
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,18.65,18.65,18.65,18.65,18.65,100,1865.0,1
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,18.685,18.685,18.685,18.685,18.685,48,896.88,1
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,18.68,18.68,18.68,18.68,18.68,100,1868.0,1
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,18.695,18.695,18.695,18.695,18.695,29,542.155,1
2019-11-01,09:52,09:52 AM,18.695,18.695,18.695,18.695,18.695,100,1869.5,1
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,18.685,18.685,18.685,18.685,18.685,4,74.74,1
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,18.695,18.685,18.695,18.695,18.692,400,7477.0,4
2019-11-01,09:57,09:57 AM,18.7,18.7,18.7,18.7,18.7,100,1870.0,1
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,18.685,18.67,18.67,18.685,18.677,200,3735.5,2
2019-11-01,10:01,10:01 AM,18.7,18.67,18.67,18.7,18.683,330,6165.5,4
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,,,,,,0,0.0,0
2019-11-01,10:04,10:04 AM,18.7,18.7,18.7,18.7,18.7,18,336.6,1
2019-11-01,10:05,10:05 AM,,,,,,0,0.0,0
2019-11-01,10:06,10:06 AM,,,,,,0,0.0,0
2019-11-01,10:07,10:07 AM,18.705,18.705,18.705,18.705,18.705,64,1197.12,1
2019-11-01,10:08,10:08 AM,18.69,18.69,18.69,18.69,18.69,25,467.25,1
2019-11-01,10:09,10:09 AM,18.66,18.66,18.66,18.66,18.66,3,55.98,1
2019-11-01,10:10,10:10 AM,18.67,18.65,18.65,18.67,18.663,903,16852.95,6
2019-11-01,10:11,10:11 AM,18.68,18.67,18.67,18.68,18.671,700,13070.0,3
2019-11-01,10:12,10:12 AM,18.69,18.69,18.69,18.69,18.69,900,16821.0,1
2019-11-01,10:13,10:13 AM,18.725,18.725,18.725,18.725,18.725,100,1872.5,1
2019-11-01,10:14,10:14 AM,,,,,,0,0.0,0
2019-11-01,10:15,10:15 AM,,,,,,0,0.0,0
2019-11-01,10:16,10:16 AM,,,,,,0,0.0,0
2019-11-01,10:17,10:17 AM,,,,,,0,0.0,0
2019-11-01,10:18,10:18 AM,18.71,18.69,18.69,18.71,18.703,296,5536.24,3
2019-11-01,10:19,10:19 AM,18.715,18.7,18.705,18.715,18.702,27,504.965,3
2019-11-01,10:20,10:20 AM,,,,,,0,0.0,0
2019-11-01,10:21,10:21 AM,18.725,18.725,18.725,18.725,18.725,100,1872.5,1
2019-11-01,10:22,10:22 AM,18.705,18.705,18.705,18.705,18.705,200,3741.0,2
2019-11-01,10:23,10:23 AM,,,,,,0,0.0,0
