date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,46.945,46.76,46.875,46.76,46.798,1921,89899.83,13
2019-11-01,09:31,09:31 AM,46.74,46.69,46.73,46.69,46.722,1464,68401.26,13
2019-11-01,09:32,09:32 AM,46.93,46.76,46.76,46.93,46.865,400,18746.0,4
2019-11-01,09:33,09:33 AM,46.93,46.84,46.86,46.855,46.888999999999996,2589,121396.77,20
2019-11-01,09:34,09:34 AM,46.86,46.8,46.86,46.8,46.821999999999996,1002,46915.18,13
2019-11-01,09:35,09:35 AM,46.78,46.695,46.77,46.755,46.735,3429,160253.84,24
2019-11-01,09:36,09:36 AM,46.735,46.66,46.735,46.715,46.695,1545,72144.5,17
2019-11-01,09:37,09:37 AM,46.735,46.65,46.735,46.665,46.715,2901,135520.735,18
2019-11-01,09:38,09:38 AM,46.73,46.67,46.67,46.7,46.705,1023,47779.1,11
2019-11-01,09:39,09:39 AM,46.695,46.665,46.665,46.67,46.68,620,28941.4,6
2019-11-01,09:40,09:40 AM,46.74,46.67,46.67,46.7,46.708999999999996,2926,136669.86,18
2019-11-01,09:41,09:41 AM,46.755,46.73,46.745,46.735,46.748999999999995,2204,103034.02,13
2019-11-01,09:42,09:42 AM,46.835,46.71,46.715,46.835,46.817,1487,69616.77,15
2019-11-01,09:43,09:43 AM,46.995,46.93,46.93,46.995,46.968,600,28180.5,6
2019-11-01,09:44,09:44 AM,46.99,46.89,46.99,46.89,46.983000000000004,824,38713.92,5
2019-11-01,09:45,09:45 AM,46.95,46.915,46.915,46.925,46.928000000000004,2000,93856.5,5
2019-11-01,09:46,09:46 AM,46.935,46.92,46.935,46.935,46.926,702,32941.87,4
2019-11-01,09:47,09:47 AM,47.005,46.985,46.995,46.985,46.995,4900,230277.0,9
2019-11-01,09:48,09:48 AM,46.99,46.895,46.99,46.895,46.95399999999999,2317,108791.94,19
2019-11-01,09:49,09:49 AM,46.92,46.89,46.91,46.92,46.908,457,21437.005,7
2019-11-01,09:50,09:50 AM,47.005,46.955,46.955,47.005,46.96,1138,53440.93,3
2019-11-01,09:51,09:51 AM,47.0,46.985,47.0,46.995,46.996,613,28808.305,5
2019-11-01,09:52,09:52 AM,47.02,46.995,47.0,47.02,47.0,600,28200.0,3
2019-11-01,09:53,09:53 AM,47.03,47.005,47.03,47.005,47.011,706,33189.62,5
2019-11-01,09:54,09:54 AM,47.02,46.995,47.02,47.0,46.99800000000001,1127,52967.245,7
2019-11-01,09:55,09:55 AM,46.99,46.98,46.99,46.98,46.986000000000004,11,516.85,2
2019-11-01,09:56,09:56 AM,46.955,46.935,46.955,46.935,46.951,500,23475.5,2
2019-11-01,09:57,09:57 AM,46.96,46.955,46.96,46.955,46.955,718,33713.78,3
2019-11-01,09:58,09:58 AM,46.965,46.95,46.95,46.955,46.963,618,29023.1,3
2019-11-01,09:59,09:59 AM,46.97,46.955,46.97,46.96,46.957,1400,65739.5,5
2019-11-01,10:00,10 AM,46.99,46.93,46.96,46.97,46.968999999999994,1889,88724.13,15
2019-11-01,10:01,10:01 AM,47.06,46.975,46.975,47.055,47.034,1104,51925.22,9
2019-11-01,10:02,10:02 AM,47.185,47.095,47.095,47.185,47.13800000000001,3136,147823.42,7
2019-11-01,10:03,10:03 AM,47.245,47.21,47.22,47.235,47.225,3705,174970.15,9
2019-11-01,10:04,10:04 AM,47.25,47.205,47.25,47.215,47.215,6830,322478.95,10
2019-11-01,10:05,10:05 AM,47.255,47.205,47.225,47.255,47.222,212,10011.185,5
