date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,13.0,12.93,12.965,12.96,12.97,3800,49286.5,19
2019-11-01,09:31,09:31 AM,12.95,12.91,12.95,12.92,12.925,600,7755.0,8
2019-11-01,09:32,09:32 AM,12.92,12.92,12.92,12.92,12.92,400,5168.0,2
2019-11-01,09:33,09:33 AM,12.94,12.94,12.94,12.94,12.94,15,194.1,1
2019-11-01,09:34,09:34 AM,12.965,12.965,12.965,12.965,12.965,100,1296.5,1
2019-11-01,09:35,09:35 AM,13.03,12.99,13.015,12.99,13.014000000000001,434,5647.895,7
2019-11-01,09:36,09:36 AM,13.015,12.965,13.015,12.965,13.01,1310,17042.645,16
2019-11-01,09:37,09:37 AM,12.975,12.925,12.965,12.925,12.957,1506,19512.82,11
2019-11-01,09:38,09:38 AM,12.935,12.925,12.925,12.935,12.927999999999999,302,3904.37,4
2019-11-01,09:39,09:39 AM,12.975,12.96,12.96,12.975,12.970999999999998,396,5136.6,4
2019-11-01,09:40,09:40 AM,13.005,13.005,13.005,13.005,13.005,541,7035.705,3
2019-11-01,09:41,09:41 AM,13.015,13.005,13.015,13.005,13.005999999999998,1703,22148.545,5
2019-11-01,09:42,09:42 AM,,,,,,0,0.0,0
2019-11-01,09:43,09:43 AM,13.035,13.025,13.025,13.035,13.026,29,377.745,4
2019-11-01,09:44,09:44 AM,13.025,13.025,13.025,13.025,13.025,14,182.35,4
2019-11-01,09:45,09:45 AM,13.025,13.025,13.025,13.025,13.025,1,13.025,1
2019-11-01,09:46,09:46 AM,13.045,13.025,13.025,13.045,13.035,39,508.355,4
2019-11-01,09:47,09:47 AM,13.045,13.035,13.045,13.035,13.038,13,169.5,3
2019-11-01,09:48,09:48 AM,13.05,13.03,13.03,13.05,13.040999999999999,722,9415.49,9
2019-11-01,09:49,09:49 AM,13.05,13.05,13.05,13.05,13.05,100,1305.0,1
2019-11-01,09:50,09:50 AM,13.065,13.055,13.06,13.065,13.062000000000001,1116,14577.54,10
2019-11-01,09:51,09:51 AM,13.065,13.045,13.065,13.045,13.052999999999999,5490,71663.28,41
2019-11-01,09:52,09:52 AM,13.055,13.03,13.05,13.045,13.039000000000001,576,7510.23,12
2019-11-01,09:53,09:53 AM,13.035,13.035,13.035,13.035,13.035,66,860.31,4
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,13.055,13.035,13.055,13.035,13.047,349,4553.455,9
2019-11-01,09:56,09:56 AM,13.035,13.02,13.035,13.02,13.020999999999999,535,6965.985,9
2019-11-01,09:57,09:57 AM,13.025,13.015,13.015,13.025,13.020999999999999,449,5846.43,5
2019-11-01,09:58,09:58 AM,13.03,13.025,13.025,13.03,13.027000000000001,800,10421.5,2
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,13.055,13.035,13.035,13.055,13.049000000000001,1531,19977.945,15
2019-11-01,10:01,10:01 AM,13.075,13.04,13.055,13.045,13.056,332,4334.67,17
2019-11-01,10:02,10:02 AM,13.065,13.055,13.06,13.055,13.06,125,1632.505,10
2019-11-01,10:03,10:03 AM,13.055,13.04,13.045,13.055,13.049000000000001,629,8207.65,11
2019-11-01,10:04,10:04 AM,13.055,13.035,13.055,13.035,13.045,1522,19853.96,21
2019-11-01,10:05,10:05 AM,13.035,13.035,13.035,13.035,13.035,441,5748.435,6
2019-11-01,10:06,10:06 AM,13.05,13.035,13.04,13.035,13.037,655,8539.54,14
2019-11-01,10:07,10:07 AM,13.035,13.035,13.035,13.035,13.035,101,1316.535,2
2019-11-01,10:08,10:08 AM,13.04,13.035,13.035,13.035,13.035,1814,23645.51,9
2019-11-01,10:09,10:09 AM,13.04,13.035,13.04,13.04,13.036,585,7625.795,6
2019-11-01,10:10,10:10 AM,13.05,13.04,13.04,13.05,13.04,203,2647.15,2
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,13.025,13.025,13.025,13.025,13.025,200,2605.0,1
2019-11-01,10:13,10:13 AM,13.045,13.025,13.025,13.045,13.039000000000001,1100,14342.5,5
2019-11-01,10:14,10:14 AM,13.035,13.03,13.035,13.03,13.034,900,11731.0,2
2019-11-01,10:15,10:15 AM,,,,,,0,0.0,0
2019-11-01,10:16,10:16 AM,13.04,13.04,13.04,13.04,13.04,100,1304.0,1
2019-11-01,10:17,10:17 AM,13.04,13.04,13.04,13.04,13.04,300,3912.0,3
2019-11-01,10:18,10:18 AM,13.04,13.025,13.035,13.04,13.030999999999999,600,7818.5,4
2019-11-01,10:19,10:19 AM,,,,,,0,0.0,0
2019-11-01,10:20,10:20 AM,,,,,,0,0.0,0
2019-11-01,10:21,10:21 AM,13.04,13.04,13.04,13.04,13.04,100,1304.0,1
2019-11-01,10:22,10:22 AM,13.045,13.045,13.045,13.045,13.045,700,9131.5,7
2019-11-01,10:23,10:23 AM,,,,,,0,0.0,0
2019-11-01,10:24,10:24 AM,13.03,13.025,13.03,13.025,13.027999999999999,300,3908.5,3
2019-11-01,10:25,10:25 AM,13.02,13.015,13.015,13.015,13.017000000000001,246,3202.19,3
2019-11-01,10:26,10:26 AM,13.02,13.02,13.02,13.02,13.02,100,1302.0,1
2019-11-01,10:27,10:27 AM,13.025,13.025,13.025,13.025,13.025,100,1302.5,1
2019-11-01,10:28,10:28 AM,13.025,13.025,13.025,13.025,13.025,611,7958.275,4
2019-11-01,10:29,10:29 AM,13.03,13.03,13.03,13.03,13.03,200,2606.0,2
2019-11-01,10:30,10:30 AM,13.03,13.025,13.025,13.03,13.027000000000001,200,2605.5,2
2019-11-01,10:31,10:31 AM,,,,,,0,0.0,0
2019-11-01,10:32,10:32 AM,13.035,13.025,13.025,13.035,13.027000000000001,1000,13026.5,7
2019-11-01,10:33,10:33 AM,13.07,13.045,13.045,13.065,13.055,907,11840.92,9
2019-11-01,10:34,10:34 AM,13.065,13.065,13.065,13.065,13.065,2600,33969.0,9
2019-11-01,10:35,10:35 AM,13.08,13.06,13.065,13.075,13.071,2554,33384.515,17
2019-11-01,10:36,10:36 AM,13.075,13.075,13.075,13.075,13.075,700,9152.5,3
2019-11-01,10:37,10:37 AM,13.075,13.075,13.075,13.075,13.075,100,1307.5,1
2019-11-01,10:38,10:38 AM,13.05,13.05,13.05,13.05,13.05,200,2610.0,2
2019-11-01,10:39,10:39 AM,,,,,,0,0.0,0
2019-11-01,10:40,10:40 AM,13.065,13.065,13.065,13.065,13.065,200,2613.0,1
2019-11-01,10:41,10:41 AM,13.08,13.065,13.065,13.08,13.07,550,7188.75,4
2019-11-01,10:42,10:42 AM,,,,,,0,0.0,0
2019-11-01,10:43,10:43 AM,13.085,13.08,13.08,13.085,13.084000000000001,400,5233.5,3
2019-11-01,10:44,10:44 AM,13.09,13.08,13.09,13.08,13.082,639,8359.12,4
2019-11-01,10:45,10:45 AM,13.075,13.075,13.075,13.075,13.075,100,1307.5,1
2019-11-01,10:46,10:46 AM,13.07,13.065,13.07,13.065,13.065,1913,24993.355,14
2019-11-01,10:47,10:47 AM,13.1,13.08,13.08,13.1,13.089,500,6544.5,4
2019-11-01,10:48,10:48 AM,13.105,13.105,13.105,13.105,13.105,1400,18347.0,4
2019-11-01,10:49,10:49 AM,13.105,13.105,13.105,13.105,13.105,200,2621.0,2
2019-11-01,10:50,10:50 AM,13.105,13.105,13.105,13.105,13.105,200,2621.0,1
2019-11-01,10:51,10:51 AM,13.1,13.1,13.1,13.1,13.1,100,1310.0,1
2019-11-01,10:52,10:52 AM,,,,,,0,0.0,0
2019-11-01,10:53,10:53 AM,,,,,,0,0.0,0
2019-11-01,10:54,10:54 AM,13.105,13.105,13.105,13.105,13.105,200,2621.0,2
2019-11-01,10:55,10:55 AM,13.115,13.11,13.11,13.115,13.114,800,10491.0,5
2019-11-01,10:56,10:56 AM,13.12,13.12,13.12,13.12,13.12,200,2624.0,1
2019-11-01,10:57,10:57 AM,13.12,13.115,13.115,13.12,13.117,300,3935.0,3
2019-11-01,10:58,10:58 AM,13.12,13.115,13.115,13.12,13.12,104,1364.46,2
2019-11-01,10:59,10:59 AM,13.115,13.115,13.115,13.115,13.115,601,7882.115,3
2019-11-01,11:00,11 AM,13.115,13.115,13.115,13.115,13.115,100,1311.5,1
2019-11-01,11:01,11:01 AM,,,,,,0,0.0,0
2019-11-01,11:02,11:02 AM,13.13,13.105,13.12,13.13,13.117,1159,15202.235,14
2019-11-01,11:03,11:03 AM,13.135,13.12,13.135,13.13,13.128,584,7667.03,9
2019-11-01,11:04,11:04 AM,13.14,13.13,13.13,13.14,13.133,329,4320.915,5
2019-11-01,11:05,11:05 AM,,,,,,0,0.0,0
2019-11-01,11:06,11:06 AM,13.14,13.14,13.14,13.14,13.14,100,1314.0,1
2019-11-01,11:07,11:07 AM,13.14,13.14,13.14,13.14,13.14,107,1405.98,2
2019-11-01,11:08,11:08 AM,,,,,,0,0.0,0
2019-11-01,11:09,11:09 AM,13.14,13.125,13.125,13.14,13.135,300,3940.5,2
2019-11-01,11:10,11:10 AM,13.14,13.14,13.14,13.14,13.14,200,2628.0,1
2019-11-01,11:11,11:11 AM,13.14,13.14,13.14,13.14,13.14,100,1314.0,2
2019-11-01,11:12,11:12 AM,13.14,13.14,13.14,13.14,13.14,200,2628.0,2
2019-11-01,11:13,11:13 AM,13.135,13.135,13.135,13.135,13.135,100,1313.5,1
2019-11-01,11:14,11:14 AM,13.14,13.135,13.135,13.14,13.139000000000001,800,10511.5,7
2019-11-01,11:15,11:15 AM,13.14,13.135,13.135,13.135,13.137,300,3941.0,3
2019-11-01,11:16,11:16 AM,13.16,13.145,13.145,13.155,13.155,800,10524.0,7
2019-11-01,11:17,11:17 AM,13.16,13.155,13.16,13.155,13.157,307,4039.085,4
2019-11-01,11:18,11:18 AM,13.16,13.16,13.16,13.16,13.16,100,1316.0,1
2019-11-01,11:19,11:19 AM,13.165,13.16,13.16,13.16,13.164000000000001,1109,14598.94,6
2019-11-01,11:20,11:20 AM,13.155,13.14,13.155,13.14,13.145,1100,14459.0,9
2019-11-01,11:21,11:21 AM,13.15,13.15,13.15,13.15,13.15,140,1841.0,1
2019-11-01,11:22,11:22 AM,13.15,13.15,13.15,13.15,13.15,100,1315.0,1
2019-11-01,11:23,11:23 AM,13.17,13.17,13.17,13.17,13.17,800,10536.0,4
2019-11-01,11:24,11:24 AM,,,,,,0,0.0,0
2019-11-01,11:25,11:25 AM,,,,,,0,0.0,0
2019-11-01,11:26,11:26 AM,,,,,,0,0.0,0
2019-11-01,11:27,11:27 AM,13.165,13.16,13.16,13.165,13.161,470,6185.7,3
2019-11-01,11:28,11:28 AM,13.16,13.155,13.155,13.16,13.159,400,5263.5,4
2019-11-01,11:29,11:29 AM,13.175,13.175,13.175,13.175,13.175,100,1317.5,1
2019-11-01,11:30,11:30 AM,13.165,13.16,13.165,13.16,13.165,2200,28962.5,11
2019-11-01,11:31,11:31 AM,13.17,13.165,13.165,13.17,13.169,367,4832.89,4
2019-11-01,11:32,11:32 AM,13.18,13.18,13.18,13.18,13.18,178,2346.04,2
2019-11-01,11:33,11:33 AM,13.17,13.17,13.17,13.17,13.17,100,1317.0,1
2019-11-01,11:34,11:34 AM,13.165,13.165,13.165,13.165,13.165,6,78.99,1
2019-11-01,11:35,11:35 AM,,,,,,0,0.0,0
2019-11-01,11:36,11:36 AM,,,,,,0,0.0,0
2019-11-01,11:37,11:37 AM,13.15,13.135,13.15,13.15,13.142999999999999,934,12275.31,9
2019-11-01,11:38,11:38 AM,13.16,13.155,13.16,13.155,13.158,500,6579.0,4
2019-11-01,11:39,11:39 AM,13.155,13.15,13.155,13.155,13.155,461,6064.45,4
2019-11-01,11:40,11:40 AM,13.16,13.155,13.155,13.16,13.155999999999999,500,6578.0,2
2019-11-01,11:41,11:41 AM,13.16,13.155,13.155,13.155,13.155999999999999,478,6288.59,5
2019-11-01,11:42,11:42 AM,13.16,13.155,13.155,13.16,13.158,451,5934.16,6
2019-11-01,11:43,11:43 AM,13.16,13.16,13.16,13.16,13.16,200,2632.0,1
2019-11-01,11:44,11:44 AM,,,,,,0,0.0,0
2019-11-01,11:45,11:45 AM,13.17,13.16,13.165,13.16,13.165,500,6582.5,4
2019-11-01,11:46,11:46 AM,13.17,13.165,13.17,13.165,13.168,200,2633.5,2
2019-11-01,11:47,11:47 AM,13.17,13.17,13.17,13.17,13.17,100,1317.0,1
2019-11-01,11:48,11:48 AM,,,,,,0,0.0,0
2019-11-01,11:49,11:49 AM,,,,,,0,0.0,0
2019-11-01,11:50,11:50 AM,13.16,13.16,13.16,13.16,13.16,2,26.32,2
2019-11-01,11:51,11:51 AM,13.16,13.16,13.16,13.16,13.16,44,579.04,1
2019-11-01,11:52,11:52 AM,,,,,,0,0.0,0
2019-11-01,11:53,11:53 AM,13.135,13.135,13.135,13.135,13.135,100,1313.5,1
2019-11-01,11:54,11:54 AM,13.14,13.135,13.14,13.135,13.137,227,2982.145,2
2019-11-01,11:55,11:55 AM,,,,,,0,0.0,0
2019-11-01,11:56,11:56 AM,,,,,,0,0.0,0
2019-11-01,11:57,11:57 AM,,,,,,0,0.0,0
2019-11-01,11:58,11:58 AM,13.14,13.135,13.14,13.14,13.137,856,11245.595,5
2019-11-01,11:59,11:59 AM,13.14,13.14,13.14,13.14,13.14,1173,15413.22,4
2019-11-01,12:00,12 PM,13.14,13.14,13.14,13.14,13.14,200,2628.0,2
2019-11-01,12:01,12:01 PM,,,,,,0,0.0,0
2019-11-01,12:02,12:02 PM,13.14,13.14,13.14,13.14,13.14,100,1314.0,1
2019-11-01,12:03,12:03 PM,13.14,13.135,13.135,13.14,13.137,200,2627.5,2
2019-11-01,12:04,12:04 PM,13.135,13.135,13.135,13.135,13.135,100,1313.5,1
2019-11-01,12:05,12:05 PM,13.14,13.135,13.14,13.135,13.137,200,2627.5,2
2019-11-01,12:06,12:06 PM,13.14,13.14,13.14,13.14,13.14,200,2628.0,1
2019-11-01,12:07,12:07 PM,13.15,13.15,13.15,13.15,13.15,100,1315.0,1
2019-11-01,12:08,12:08 PM,13.145,13.14,13.14,13.145,13.142999999999999,500,6571.5,7
2019-11-01,12:09,12:09 PM,,,,,,0,0.0,0
2019-11-01,12:10,12:10 PM,,,,,,0,0.0,0
2019-11-01,12:11,12:11 PM,13.14,13.14,13.14,13.14,13.14,800,10512.0,3
2019-11-01,12:12,12:12 PM,13.135,13.135,13.135,13.135,13.135,500,6567.5,2
2019-11-01,12:13,12:13 PM,13.135,13.125,13.135,13.125,13.127,1500,19690.5,5
2019-11-01,12:14,12:14 PM,13.135,13.135,13.135,13.135,13.135,1900,24956.5,6
2019-11-01,12:15,12:15 PM,13.135,13.135,13.135,13.135,13.135,900,11821.5,6
