date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,26.04,25.93,26.04,25.93,25.99,900.0,23391.0,8.0
2019-11-01,09:31,09:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:32,09:32 AM,26.02,25.845,26.02,25.845,25.974,1202.0,31221.04,9.0
2019-11-01,09:33,09:33 AM,25.77,25.56,25.71,25.595,25.689,875.0,22477.5,10.0
2019-11-01,09:34,09:34 AM,25.71,25.615,25.62,25.71,25.64,400.0,10256.0,3.0
2019-11-01,09:35,09:35 AM,25.72,25.63,25.705,25.72,25.66,675.0,17320.75,7.0
2019-11-01,09:36,09:36 AM,25.895,25.79,25.79,25.85,25.851,400.0,10340.5,4.0
2019-11-01,09:37,09:37 AM,25.875,25.83,25.83,25.83,25.855,1500.0,38782.5,14.0
2019-11-01,09:38,09:38 AM,25.89,25.835,25.84,25.89,25.851999999999997,600.0,15511.5,4.0
2019-11-01,09:39,09:39 AM,26.12,25.98,25.98,26.1,26.066999999999997,300.0,7820.0,3.0
2019-11-01,09:40,09:40 AM,26.03,26.02,26.03,26.02,26.023000000000003,400.0,10409.0,4.0
2019-11-01,09:41,09:41 AM,26.12,26.07,26.12,26.07,26.094,661.0,17248.32,11.0
2019-11-01,09:42,09:42 AM,26.225,26.1,26.1,26.225,26.195,500.0,13097.5,3.0
2019-11-01,09:43,09:43 AM,26.23,26.18,26.21,26.23,26.206,500.0,13103.0,7.0
2019-11-01,09:44,09:44 AM,26.26,26.22,26.26,26.22,26.244,1400.0,36741.0,21.0
2019-11-01,09:45,09:45 AM,26.23,26.12,26.23,26.205,26.2,2200.0,57639.5,13.0
2019-11-01,09:46,09:46 AM,26.27,26.215,26.215,26.23,26.250999999999998,1200.0,31501.5,12.0
2019-11-01,09:47,09:47 AM,26.33,26.21,26.21,26.33,26.26,1895.0,49762.275,16.0
2019-11-01,09:48,09:48 AM,26.32,26.24,26.32,26.24,26.272,4083.0,107268.49,28.0
2019-11-01,09:49,09:49 AM,26.25,26.24,26.24,26.24,26.248,900.0,23623.0,8.0
2019-11-01,09:50,09:50 AM,26.27,26.24,26.24,26.24,26.249000000000002,1000.0,26249.0,10.0
2019-11-01,09:51,09:51 AM,26.23,25.97,26.23,25.97,26.093000000000004,1600.0,41748.5,8.0
