date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,55.52,55.52,55.52,55.52,55.52,400,22208.0,2
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,55.53,55.42,55.42,55.525,55.486000000000004,418,23192.95,5
2019-11-01,09:33,09:33 AM,55.65,55.58,55.58,55.65,55.606,410,22798.5,4
2019-11-01,09:34,09:34 AM,55.73,55.67,55.67,55.71,55.706,500,27853.0,5
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,55.49,55.48,55.48,55.49,55.486999999999995,300,16646.0,3
2019-11-01,09:38,09:38 AM,55.49,55.48,55.48,55.49,55.485,200,11097.0,2
2019-11-01,09:39,09:39 AM,55.45,55.4,55.45,55.4,55.426,700,38798.0,7
2019-11-01,09:40,09:40 AM,55.415,55.41,55.415,55.41,55.411,99,5485.655,2
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,55.37,55.275,55.275,55.37,55.309,543,30032.825,6
2019-11-01,09:43,09:43 AM,55.32,55.32,55.32,55.32,55.32,100,5532.0,1
2019-11-01,09:44,09:44 AM,55.35,55.32,55.32,55.32,55.335,202,11177.64,3
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,55.305,55.305,55.305,55.305,55.305,100,5530.5,1
2019-11-01,09:47,09:47 AM,55.285,55.285,55.285,55.285,55.285,100,5528.5,1
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,55.275,55.275,55.275,55.275,55.275,100,5527.5,1
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,55.23,55.23,55.23,55.23,55.23,100,5523.0,1
2019-11-01,09:52,09:52 AM,55.265,55.265,55.265,55.265,55.265,100,5526.5,1
2019-11-01,09:53,09:53 AM,55.275,55.275,55.275,55.275,55.275,100,5527.5,1
2019-11-01,09:54,09:54 AM,55.305,55.285,55.285,55.305,55.288000000000004,117,6468.685,2
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,55.335,55.335,55.335,55.335,55.335,100,5533.5,1
2019-11-01,09:57,09:57 AM,55.285,55.285,55.285,55.285,55.285,2,110.57,1
2019-11-01,09:58,09:58 AM,55.345,55.315,55.315,55.345,55.33,200,11066.0,2
2019-11-01,09:59,09:59 AM,55.355,55.32,55.355,55.32,55.336999999999996,200,11067.5,2
2019-11-01,10:00,10 AM,55.335,55.335,55.335,55.335,55.335,100,5533.5,1
2019-11-01,10:01,10:01 AM,55.39,55.34,55.34,55.39,55.375,400,22150.0,3
2019-11-01,10:02,10:02 AM,55.535,55.44,55.44,55.535,55.49,360,19976.3,4
2019-11-01,10:03,10:03 AM,,,,,,0,0.0,0
2019-11-01,10:04,10:04 AM,55.605,55.595,55.605,55.595,55.595,103,5726.315,2
2019-11-01,10:05,10:05 AM,55.635,55.635,55.635,55.635,55.635,100,5563.5,1
2019-11-01,10:06,10:06 AM,,,,,,0,0.0,0
2019-11-01,10:07,10:07 AM,55.66,55.59,55.59,55.66,55.621,800,44496.5,4
2019-11-01,10:08,10:08 AM,,,,,,0,0.0,0
