date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,66.48,66.47,66.47,66.48,66.472,600.0,39883.0,2.0
2019-11-01,09:31,09:31 AM,66.71,66.67,66.67,66.705,66.697,564.0,37617.115,5.0
2019-11-01,09:32,09:32 AM,66.78,66.725,66.725,66.775,66.755,356.0,23764.7,3.0
2019-11-01,09:33,09:33 AM,66.77,66.77,66.77,66.77,66.77,200.0,13354.0,2.0
2019-11-01,09:34,09:34 AM,66.81,66.81,66.81,66.81,66.81,110.0,7349.1,1.0
2019-11-01,09:35,09:35 AM,66.865,66.8,66.85,66.865,66.847,956.0,63905.89,11.0
2019-11-01,09:36,09:36 AM,67.035,66.87,66.87,67.035,66.883,1551.0,103735.305,4.0
2019-11-01,09:37,09:37 AM,67.08,67.04,67.04,67.08,67.064,500.0,33532.0,5.0
2019-11-01,09:38,09:38 AM,67.12,67.12,67.12,67.12,67.12,100.0,6712.0,1.0
2019-11-01,09:39,09:39 AM,67.265,67.195,67.215,67.265,67.222,406.0,27291.99,4.0
2019-11-01,09:40,09:40 AM,67.28,67.23,67.23,67.28,67.257,353.0,23741.84,4.0
2019-11-01,09:41,09:41 AM,67.295,67.08,67.295,67.15,67.192,726.0,48781.66,7.0
2019-11-01,09:42,09:42 AM,67.075,67.075,67.075,67.075,67.075,6.0,402.45,1.0
2019-11-01,09:43,09:43 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:44,09:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:45,09:45 AM,67.21,67.17,67.21,67.19,67.19,300.0,20157.0,3.0
2019-11-01,09:46,09:46 AM,67.26,67.26,67.26,67.26,67.26,300.0,20178.0,2.0
2019-11-01,09:47,09:47 AM,67.19,67.02,67.19,67.02,67.077,150.0,10061.5,2.0
2019-11-01,09:48,09:48 AM,67.205,67.145,67.145,67.205,67.171,700.0,47020.0,6.0
2019-11-01,09:49,09:49 AM,67.08,67.075,67.075,67.08,67.078,200.0,13415.5,2.0
2019-11-01,09:50,09:50 AM,67.11,67.11,67.11,67.11,67.11,50.0,3355.5,1.0
2019-11-01,09:51,09:51 AM,67.25,67.18,67.18,67.25,67.209,927.0,62303.055,8.0
2019-11-01,09:52,09:52 AM,67.45,67.275,67.28,67.45,67.368,354.0,23848.18,6.0
