date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,175.88,175.88,175.88,175.88,175.88,72,12663.36,1
2019-11-01,09:31,09:31 AM,175.8,175.75,175.75,175.8,175.799,203,35687.25,4
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,175.99,175.675,175.74,175.675,175.74,1493,262380.31,4
2019-11-01,09:34,09:34 AM,175.5,175.5,175.5,175.5,175.5,47,8248.5,1
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,175.16,175.02,175.16,175.02,175.09,1000,175090.0,6
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,175.06,175.06,175.06,175.06,175.06,1,175.06,1
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,,,,,,0,0.0,0
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,174.96,174.96,174.96,174.96,174.96,200,34992.0,1
2019-11-01,09:49,09:49 AM,,,,,,0,0.0,0
2019-11-01,09:50,09:50 AM,174.86,174.79,174.84,174.86,174.822,404,70628.28,5
2019-11-01,09:51,09:51 AM,174.795,174.795,174.795,174.795,174.795,100,17479.5,1
2019-11-01,09:52,09:52 AM,175.43,175.43,175.43,175.43,175.43,100,17543.0,1
2019-11-01,09:53,09:53 AM,175.405,175.37,175.39,175.37,175.388,221,38760.69,5
2019-11-01,09:54,09:54 AM,175.62,175.465,175.465,175.59,175.544,207,36337.63,3
2019-11-01,09:55,09:55 AM,175.595,175.485,175.595,175.485,175.516,686,120403.72,6
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,,,,,,0,0.0,0
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,,,,,,0,0.0,0
2019-11-01,10:04,10:04 AM,175.775,175.745,175.775,175.745,175.77200000000005,301,52907.245,3
2019-11-01,10:05,10:05 AM,175.79,175.685,175.685,175.79,175.71099999999996,400,70284.5,3
2019-11-01,10:06,10:06 AM,175.895,175.85,175.85,175.88,175.875,308,54169.54,4
2019-11-01,10:07,10:07 AM,175.82,175.82,175.82,175.82,175.82,100,17582.0,3
2019-11-01,10:08,10:08 AM,,,,,,0,0.0,0
2019-11-01,10:09,10:09 AM,175.8,175.76,175.8,175.76,175.799,103,18107.28,2
2019-11-01,10:10,10:10 AM,175.83,175.83,175.83,175.83,175.83,100,17583.0,1
2019-11-01,10:11,10:11 AM,175.84,175.79,175.79,175.84,175.815,200,35163.0,2
2019-11-01,10:12,10:12 AM,175.835,175.8,175.835,175.8,175.81900000000005,400,70327.5,4
2019-11-01,10:13,10:13 AM,175.87,175.79,175.79,175.87,175.83,401,70507.87,5
2019-11-01,10:14,10:14 AM,175.845,175.74,175.75,175.845,175.792,1000,175791.5,9
2019-11-01,10:15,10:15 AM,175.84,175.835,175.84,175.835,175.83700000000005,201,35343.335,3
2019-11-01,10:16,10:16 AM,175.745,175.68,175.72,175.7,175.737,2392,420363.74,8
