date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,161.31,161.31,161.31,161.31,161.31,100.0,16131.0,1.0
2019-11-01,09:31,09:31 AM,161.47,161.09,161.11,161.47,161.282,200.0,32256.5,3.0
2019-11-01,09:32,09:32 AM,161.89,161.73,161.75,161.73,161.804,1100.0,177984.5,13.0
2019-11-01,09:33,09:33 AM,161.67,161.16,161.67,161.16,161.30200000000005,187.0,30163.49,3.0
2019-11-01,09:34,09:34 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:35,09:35 AM,161.6,161.31,161.31,161.6,161.455,200.0,32291.0,2.0
2019-11-01,09:36,09:36 AM,161.615,161.47,161.615,161.47,161.542,200.0,32308.5,2.0
2019-11-01,09:37,09:37 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:38,09:38 AM,161.48,161.48,161.48,161.48,161.48,100.0,16148.0,1.0
2019-11-01,09:39,09:39 AM,161.615,161.325,161.61,161.4,161.457,546.0,88155.45,6.0
2019-11-01,09:40,09:40 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:41,09:41 AM,161.055,160.855,161.055,160.855,160.989,303.0,48779.665,3.0
2019-11-01,09:42,09:42 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:43,09:43 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:44,09:44 AM,161.18,161.13,161.13,161.18,161.155,200.0,32231.0,2.0
2019-11-01,09:45,09:45 AM,161.01,161.01,161.01,161.01,161.01,100.0,16101.0,2.0
2019-11-01,09:46,09:46 AM,160.87,160.86,160.87,160.86,160.86700000000005,300.0,48260.0,7.0
2019-11-01,09:47,09:47 AM,160.79,160.79,160.79,160.79,160.79,300.0,48237.0,5.0
2019-11-01,09:48,09:48 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:49,09:49 AM,160.78,160.78,160.78,160.78,160.78,100.0,16078.0,1.0
2019-11-01,09:50,09:50 AM,160.655,160.6,160.64,160.6,160.632,300.0,48189.5,3.0
2019-11-01,09:51,09:51 AM,160.68,160.59,160.59,160.61,160.63299999999995,500.0,80316.5,8.0
2019-11-01,09:52,09:52 AM,160.74,160.675,160.675,160.675,160.736,154.0,24753.375,4.0
2019-11-01,09:53,09:53 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:54,09:54 AM,160.96,160.945,160.96,160.945,160.959,217.0,34928.065,2.0
2019-11-01,09:55,09:55 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:56,09:56 AM,160.86,160.75,160.86,160.84,160.827,380.0,61114.2,4.0
2019-11-01,09:57,09:57 AM,160.84,160.71,160.71,160.84,160.785,334.0,53702.2,3.0
2019-11-01,09:58,09:58 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:59,09:59 AM,161.02,161.02,161.02,161.02,161.02,77.0,12398.54,1.0
2019-11-01,10:00,10 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:01,10:01 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:02,10:02 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:03,10:03 AM,161.51,161.425,161.51,161.425,161.42700000000005,103.0,16627.03,2.0
2019-11-01,10:04,10:04 AM,161.49,161.455,161.49,161.455,161.467,310.0,50054.8,3.0
2019-11-01,10:05,10:05 AM,161.455,161.4,161.4,161.455,161.428,200.0,32285.5,2.0
2019-11-01,10:06,10:06 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:07,10:07 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:08,10:08 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:09,10:09 AM,161.45,161.38,161.45,161.38,161.422,500.0,80711.0,8.0
2019-11-01,10:10,10:10 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:11,10:11 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:12,10:12 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:13,10:13 AM,161.14,161.14,161.14,161.14,161.14,100.0,16114.0,1.0
2019-11-01,10:14,10:14 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:15,10:15 AM,161.16,161.16,161.16,161.16,161.16,100.0,16116.0,1.0
2019-11-01,10:16,10:16 AM,161.14,161.14,161.14,161.14,161.14,143.0,23043.02,1.0
2019-11-01,10:17,10:17 AM,161.08,161.08,161.08,161.08,161.08,200.0,32216.0,2.0
2019-11-01,10:18,10:18 AM,161.1,161.1,161.1,161.1,161.1,100.0,16110.0,1.0
2019-11-01,10:19,10:19 AM,161.065,161.065,161.065,161.065,161.065,5.0,805.325,1.0
2019-11-01,10:20,10:20 AM,,,,,,0.0,0.0,0.0
