date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,130.83,130.83,130.83,130.83,130.83,100,13083.0,1
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,130.88,130.76,130.825,130.88,130.82,1612,210881.84,16
2019-11-01,09:34,09:34 AM,130.905,130.875,130.875,130.905,130.893,650,85080.5,6
2019-11-01,09:35,09:35 AM,130.85,130.84,130.85,130.84,130.845,200,26169.0,2
2019-11-01,09:36,09:36 AM,130.84,130.695,130.84,130.74,130.733,503,65758.52,7
2019-11-01,09:37,09:37 AM,130.81,130.675,130.81,130.675,130.734,950,124197.5,7
2019-11-01,09:38,09:38 AM,130.8,130.74,130.8,130.74,130.769,500,65384.48,6
2019-11-01,09:39,09:39 AM,130.79,130.73,130.76,130.78,130.757,530,69301.44,8
2019-11-01,09:40,09:40 AM,130.81,130.73,130.79,130.73,130.774,720,94157.25,5
2019-11-01,09:41,09:41 AM,130.685,130.615,130.615,130.635,130.655,3300,431160.0,11
2019-11-01,09:42,09:42 AM,130.665,130.61,130.63,130.665,130.638,741,96803.115,13
2019-11-01,09:43,09:43 AM,130.65,130.56,130.645,130.56,130.612,1410,184162.95,14
2019-11-01,09:44,09:44 AM,130.57,130.535,130.57,130.56,130.555,1100,143610.5,10
2019-11-01,09:45,09:45 AM,130.89,130.56,130.56,130.89,130.679,1900,248290.0,8
2019-11-01,09:46,09:46 AM,130.88,130.84,130.87,130.88,130.866,1102,144214.74,11
2019-11-01,09:47,09:47 AM,131.115,130.91,130.915,131.115,130.957,579,75823.94,8
2019-11-01,09:48,09:48 AM,131.225,131.1,131.225,131.12,131.181,373,48930.59,6
2019-11-01,09:49,09:49 AM,131.195,131.15,131.15,131.195,131.184,934,122526.07,11
2019-11-01,09:50,09:50 AM,131.28,131.195,131.225,131.195,131.25,1050,137812.0,10
2019-11-01,09:51,09:51 AM,131.2,131.15,131.15,131.2,131.185,500,65592.5,5
2019-11-01,09:52,09:52 AM,131.26,131.24,131.24,131.26,131.252,600,78751.0,6
2019-11-01,09:53,09:53 AM,131.375,131.26,131.26,131.35,131.334,400,52533.5,4
2019-11-01,09:54,09:54 AM,131.35,131.32,131.32,131.35,131.344,622,81696.11,9
2019-11-01,09:55,09:55 AM,131.375,131.35,131.35,131.375,131.362,210,27586.0,3
2019-11-01,09:56,09:56 AM,131.43,131.27,131.42,131.27,131.4,790,103805.76,13
2019-11-01,09:57,09:57 AM,131.31,131.29,131.31,131.29,131.3,200,26260.0,2
2019-11-01,09:58,09:58 AM,131.26,131.26,131.26,131.26,131.26,200,26252.0,2
2019-11-01,09:59,09:59 AM,131.32,131.22,131.22,131.32,131.245,400,52498.0,3
2019-11-01,10:00,10 AM,131.36,131.25,131.25,131.36,131.292,1037,136149.35,11
2019-11-01,10:01,10:01 AM,131.335,131.32,131.335,131.32,131.329,340,44651.9,3
2019-11-01,10:02,10:02 AM,131.32,131.3,131.3,131.32,131.31,200,26262.0,2
2019-11-01,10:03,10:03 AM,131.56,131.49,131.49,131.55,131.549,1011,132996.045,12
2019-11-01,10:04,10:04 AM,131.5,131.47,131.5,131.47,131.488,250,32872.0,2
2019-11-01,10:05,10:05 AM,131.535,131.44,131.44,131.535,131.47799999999998,300,39443.5,3
2019-11-01,10:06,10:06 AM,,,,,,0,0.0,0
2019-11-01,10:07,10:07 AM,131.47,131.35,131.47,131.35,131.43,433,56909.33,6
2019-11-01,10:08,10:08 AM,131.41,131.4,131.41,131.4,131.405,300,39421.5,4
2019-11-01,10:09,10:09 AM,131.5,131.405,131.41,131.495,131.465,1335,175506.075,15
2019-11-01,10:10,10:10 AM,131.52,131.5,131.5,131.5,131.5,17728,2331235.0,77
2019-11-01,10:11,10:11 AM,131.51,131.49,131.5,131.5,131.499,3844,505483.5,27
2019-11-01,10:12,10:12 AM,131.515,131.5,131.515,131.5,131.5,2002,263264.03,28
2019-11-01,10:13,10:13 AM,131.62,131.55,131.55,131.62,131.58100000000002,623,81974.89,7
2019-11-01,10:14,10:14 AM,131.58,131.55,131.55,131.58,131.579,523,68815.65,5
2019-11-01,10:15,10:15 AM,131.645,131.62,131.645,131.62,131.623,152,20006.715,2
2019-11-01,10:16,10:16 AM,131.57,131.545,131.55,131.57,131.55,1170,153913.95,13
2019-11-01,10:17,10:17 AM,131.6,131.545,131.55,131.6,131.553,3061,402683.515,39
2019-11-01,10:18,10:18 AM,131.65,131.625,131.64,131.65,131.632,600,78979.5,4
2019-11-01,10:19,10:19 AM,131.65,131.625,131.635,131.645,131.637,5153,678327.65,85
2019-11-01,10:20,10:20 AM,131.67,131.645,131.645,131.65,131.65200000000002,2179,286868.85,23
2019-11-01,10:21,10:21 AM,131.65,131.62,131.645,131.645,131.645,4532,596614.05,37
2019-11-01,10:22,10:22 AM,131.65,131.6,131.645,131.6,131.648,3280,431804.325,17
2019-11-01,10:23,10:23 AM,131.615,131.615,131.615,131.615,131.615,2,263.23,1
2019-11-01,10:24,10:24 AM,131.56,131.55,131.55,131.555,131.55700000000002,800,105245.5,8
2019-11-01,10:25,10:25 AM,131.56,131.555,131.56,131.555,131.55700000000002,291,38283.015,4
2019-11-01,10:26,10:26 AM,131.6,131.56,131.6,131.56,131.58,200,26316.0,2
2019-11-01,10:27,10:27 AM,131.64,131.585,131.6,131.635,131.615,2784,366417.21,28
2019-11-01,10:28,10:28 AM,131.65,131.64,131.65,131.64,131.645,2482,326743.89,22
2019-11-01,10:29,10:29 AM,131.61,131.565,131.61,131.565,131.58700000000002,208,27370.02,4
2019-11-01,10:30,10:30 AM,131.64,131.64,131.64,131.64,131.64,200,26328.0,2
2019-11-01,10:31,10:31 AM,131.65,131.65,131.65,131.65,131.65,200,26330.0,2
2019-11-01,10:32,10:32 AM,131.715,131.66,131.66,131.715,131.672,1597,210279.52,19
2019-11-01,10:33,10:33 AM,131.8,131.765,131.765,131.8,131.782,752,99100.07,7
2019-11-01,10:34,10:34 AM,131.86,131.77,131.84,131.84,131.81799999999998,1513,199440.785,13
2019-11-01,10:35,10:35 AM,131.97,131.84,131.84,131.96,131.922,1549,204346.48,18
2019-11-01,10:36,10:36 AM,131.95,131.93,131.95,131.95,131.939,1200,158327.0,10
2019-11-01,10:37,10:37 AM,132.07,132.02,132.02,132.06,132.058,900,118852.0,9
2019-11-01,10:38,10:38 AM,132.08,132.01,132.08,132.08,132.047,7412,978730.99,22
2019-11-01,10:39,10:39 AM,132.09,132.065,132.09,132.07,132.078,15610,2061745.725,14
2019-11-01,10:40,10:40 AM,132.06,132.045,132.06,132.05,132.05100000000002,9769,1290008.635,93
2019-11-01,10:41,10:41 AM,132.14,132.035,132.045,132.14,132.086,6910,912716.0,45
2019-11-01,10:42,10:42 AM,132.255,132.175,132.175,132.25,132.236,9856,1303314.11,136
2019-11-01,10:43,10:43 AM,132.305,132.22,132.25,132.22,132.274,8904,1177771.955,36
2019-11-01,10:44,10:44 AM,132.22,132.12,132.2,132.17,132.19799999999998,17412,2301830.42,20
2019-11-01,10:45,10:45 AM,132.04,132.01,132.03,132.02,132.012,3118,411613.58,32
2019-11-01,10:46,10:46 AM,132.01,132.005,132.01,132.01,132.01,3399,448701.68,51
2019-11-01,10:47,10:47 AM,132.03,132.01,132.01,132.03,132.011,2006,264815.06,38
2019-11-01,10:48,10:48 AM,132.015,131.91,132.01,131.92,131.974,4129,544920.265,50
2019-11-01,10:49,10:49 AM,131.92,131.89,131.915,131.89,131.903,13477,1777651.01,70
2019-11-01,10:50,10:50 AM,131.82,131.82,131.82,131.82,131.82,300,39546.0,3
2019-11-01,10:51,10:51 AM,131.75,131.75,131.75,131.75,131.75,1142,150458.5,10
2019-11-01,10:52,10:52 AM,131.77,131.75,131.75,131.75,131.753,580,76417.0,7
2019-11-01,10:53,10:53 AM,131.76,131.75,131.75,131.76,131.751,2841,374303.75,26
2019-11-01,10:54,10:54 AM,131.79,131.725,131.76,131.75,131.743,10999,1449043.585,60
2019-11-01,10:55,10:55 AM,131.77,131.77,131.77,131.77,131.77,35,4611.95,1
2019-11-01,10:56,10:56 AM,131.78,131.78,131.78,131.78,131.78,102,13441.56,2
2019-11-01,10:57,10:57 AM,131.82,131.78,131.78,131.82,131.819,100,13181.88,2
2019-11-01,10:58,10:58 AM,131.78,131.75,131.75,131.75,131.757,1048,138081.0,13
2019-11-01,10:59,10:59 AM,131.76,131.75,131.76,131.76,131.751,3447,454144.955,24
2019-11-01,11:00,11 AM,131.81,131.77,131.77,131.77,131.787,900,118608.01,11
2019-11-01,11:01,11:01 AM,131.81,131.79,131.79,131.8,131.8,803,105835.8,12
2019-11-01,11:02,11:02 AM,131.81,131.775,131.8,131.805,131.798,4639,611410.82,53
2019-11-01,11:03,11:03 AM,131.83,131.805,131.81,131.81,131.809,1864,245691.605,22
2019-11-01,11:04,11:04 AM,131.86,131.825,131.825,131.85,131.851,1300,171405.95,16
2019-11-01,11:05,11:05 AM,131.835,131.82,131.82,131.835,131.82,101,13313.835,2
2019-11-01,11:06,11:06 AM,131.86,131.83,131.83,131.86,131.845,200,26369.0,2
2019-11-01,11:07,11:07 AM,131.94,131.94,131.94,131.94,131.94,100,13194.0,1
2019-11-01,11:08,11:08 AM,132.0,131.94,131.94,132.0,131.97,411,54239.47,8
2019-11-01,11:09,11:09 AM,132.02,132.0,132.02,132.0,132.01,980,129369.8,10
2019-11-01,11:10,11:10 AM,132.0,131.985,132.0,131.985,131.993,200,26398.5,2
2019-11-01,11:11,11:11 AM,132.015,131.995,132.0,132.0,132.004,600,79202.5,7
2019-11-01,11:12,11:12 AM,132.045,132.0,132.0,132.04,132.04,421,55589.0,5
2019-11-01,11:13,11:13 AM,132.08,132.03,132.03,132.05,132.058,990,130737.2,7
2019-11-01,11:14,11:14 AM,132.07,132.03,132.05,132.03,132.05100000000002,759,100226.81,8
2019-11-01,11:15,11:15 AM,132.06,132.02,132.025,132.06,132.035,702,92688.57,8
2019-11-01,11:16,11:16 AM,132.09,132.06,132.09,132.075,132.072,357,47149.63,4
2019-11-01,11:17,11:17 AM,132.09,132.07,132.07,132.07,132.08,383,50586.53,3
2019-11-01,11:18,11:18 AM,132.01,131.97,132.01,132.005,131.989,1008,133044.95,13
2019-11-01,11:19,11:19 AM,132.005,131.985,131.99,132.0,132.0,3740,493681.445,49
2019-11-01,11:20,11:20 AM,131.99,131.96,131.99,131.975,131.975,500,65987.5,5
2019-11-01,11:21,11:21 AM,131.975,131.975,131.975,131.975,131.975,100,13197.5,1
2019-11-01,11:22,11:22 AM,131.93,131.92,131.92,131.93,131.928,400,52771.0,4
2019-11-01,11:23,11:23 AM,131.97,131.935,131.935,131.97,131.969,4458,588316.14,51
2019-11-01,11:24,11:24 AM,131.97,131.92,131.97,131.92,131.941,369,48686.15,7
2019-11-01,11:25,11:25 AM,131.92,131.9,131.91,131.92,131.914,503,66352.7,6
2019-11-01,11:26,11:26 AM,131.9,131.88,131.9,131.895,131.891,400,52756.5,4
2019-11-01,11:27,11:27 AM,131.89,131.82,131.89,131.82,131.856,545,71861.6,7
2019-11-01,11:28,11:28 AM,131.83,131.8,131.83,131.8,131.817,400,52727.0,4
2019-11-01,11:29,11:29 AM,131.84,131.76,131.76,131.84,131.80700000000002,751,98987.16,9
2019-11-01,11:30,11:30 AM,131.85,131.82,131.85,131.82,131.839,1710,225445.46,19
2019-11-01,11:31,11:31 AM,131.85,131.835,131.835,131.85,131.84,7928,1045228.38,70
2019-11-01,11:32,11:32 AM,131.86,131.85,131.85,131.86,131.86,402,53007.7,5
2019-11-01,11:33,11:33 AM,131.875,131.845,131.86,131.845,131.864,900,118677.5,9
2019-11-01,11:34,11:34 AM,131.87,131.845,131.845,131.86,131.858,957,126188.005,12
2019-11-01,11:35,11:35 AM,131.925,131.875,131.875,131.925,131.898,1015,133876.35,11
2019-11-01,11:36,11:36 AM,131.94,131.885,131.925,131.885,131.917,1268,167271.235,20
2019-11-01,11:37,11:37 AM,131.9,131.875,131.88,131.9,131.89,641,84541.76,11
2019-11-01,11:38,11:38 AM,131.92,131.89,131.9,131.92,131.901,6307,831897.845,82
2019-11-01,11:39,11:39 AM,131.95,131.93,131.93,131.93,131.941,902,119010.78,13
2019-11-01,11:40,11:40 AM,131.925,131.895,131.925,131.895,131.908,425,56061.0,5
2019-11-01,11:41,11:41 AM,131.89,131.89,131.89,131.89,131.89,175,23080.75,2
2019-11-01,11:42,11:42 AM,131.93,131.92,131.92,131.93,131.92,104,13719.72,2
2019-11-01,11:43,11:43 AM,131.97,131.95,131.95,131.97,131.963,409,53972.73,8
2019-11-01,11:44,11:44 AM,131.98,131.97,131.97,131.97,131.97299999999998,6298,831168.455,88
2019-11-01,11:45,11:45 AM,132.045,131.975,131.975,132.02,131.977,9793,1292451.675,7
2019-11-01,11:46,11:46 AM,132.045,132.015,132.015,132.04,132.031,700,92422.0,5
2019-11-01,11:47,11:47 AM,132.05,132.015,132.05,132.015,132.033,828,109323.62,7
2019-11-01,11:48,11:48 AM,132.03,132.025,132.03,132.025,132.028,500,66014.0,4
2019-11-01,11:49,11:49 AM,132.04,132.03,132.03,132.03,132.033,300,39610.0,3
2019-11-01,11:50,11:50 AM,132.04,132.04,132.04,132.04,132.04,100,13204.0,1
