date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,127.44,127.305,127.305,127.44,127.395,300,38218.5,2
2019-11-01,09:31,09:31 AM,127.37,127.37,127.37,127.37,127.37,100,12737.0,1
2019-11-01,09:32,09:32 AM,127.39,127.375,127.375,127.39,127.37799999999999,500,63689.0,2
2019-11-01,09:33,09:33 AM,127.7,127.15,127.535,127.15,127.39,437,55669.41,6
2019-11-01,09:34,09:34 AM,127.13,127.115,127.115,127.13,127.12299999999999,600,76273.5,2
2019-11-01,09:35,09:35 AM,127.4,127.16,127.16,127.38,127.31200000000001,1500,190968.0,4
2019-11-01,09:36,09:36 AM,127.375,127.375,127.375,127.375,127.375,1,127.375,1
2019-11-01,09:37,09:37 AM,127.375,127.36,127.375,127.36,127.37200000000001,900,114634.5,4
2019-11-01,09:38,09:38 AM,127.18,127.18,127.18,127.18,127.18,100,12718.0,1
2019-11-01,09:39,09:39 AM,127.285,127.235,127.235,127.285,127.27799999999999,700,89094.5,3
2019-11-01,09:40,09:40 AM,127.38,127.35,127.35,127.35,127.361,805,102525.75,5
2019-11-01,09:41,09:41 AM,127.24,127.215,127.24,127.215,127.235,1100,139958.5,3
2019-11-01,09:42,09:42 AM,127.33,127.195,127.195,127.28,127.255,902,114784.01,9
2019-11-01,09:43,09:43 AM,127.27,127.27,127.27,127.27,127.27,1,127.27,1
2019-11-01,09:44,09:44 AM,127.47,127.47,127.47,127.47,127.47,3,382.41,1
2019-11-01,09:45,09:45 AM,127.53,127.53,127.53,127.53,127.53,100,12753.0,1
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,127.54,127.54,127.54,127.54,127.54,100,12754.0,1
2019-11-01,09:49,09:49 AM,127.3,127.25,127.3,127.25,127.29,5,636.45,2
2019-11-01,09:50,09:50 AM,127.245,127.245,127.245,127.245,127.245,300,38173.5,1
