date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,127.445,127.445,127.445,127.445,127.445,1600.0,203912.0,6.0
2019-11-01,09:31,09:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:32,09:32 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:33,09:33 AM,127.65,127.65,127.65,127.65,127.65,51.0,6510.15,1.0
2019-11-01,09:34,09:34 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:35,09:35 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:36,09:36 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:37,09:37 AM,127.5,127.5,127.5,127.5,127.5,100.0,12750.0,1.0
2019-11-01,09:38,09:38 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:39,09:39 AM,127.52,127.51,127.51,127.52,127.515,200.0,25503.0,2.0
2019-11-01,09:40,09:40 AM,127.58,127.55,127.57,127.55,127.566,4200.0,535777.0,7.0
2019-11-01,09:41,09:41 AM,127.58,127.55,127.55,127.57,127.572,450.0,57407.5,3.0
2019-11-01,09:42,09:42 AM,127.815,127.71,127.71,127.815,127.78,150.0,19167.0,2.0
2019-11-01,09:43,09:43 AM,127.9,127.9,127.9,127.9,127.9,100.0,12790.0,1.0
2019-11-01,09:44,09:44 AM,127.925,127.86,127.925,127.88,127.889,1100.0,140678.0,5.0
2019-11-01,09:45,09:45 AM,127.915,127.915,127.915,127.915,127.915,300.0,38374.5,1.0
2019-11-01,09:46,09:46 AM,127.84,127.84,127.84,127.84,127.84,49.0,6264.16,1.0
2019-11-01,09:47,09:47 AM,127.795,127.795,127.795,127.795,127.795,100.0,12779.5,1.0
2019-11-01,09:48,09:48 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:49,09:49 AM,127.74,127.74,127.74,127.74,127.74,100.0,12774.0,1.0
2019-11-01,09:50,09:50 AM,127.725,127.725,127.725,127.725,127.725,100.0,12772.5,1.0
2019-11-01,09:51,09:51 AM,127.715,127.715,127.715,127.715,127.715,200.0,25543.0,1.0
2019-11-01,09:52,09:52 AM,127.755,127.755,127.755,127.755,127.755,100.0,12775.5,1.0
2019-11-01,09:53,09:53 AM,127.735,127.735,127.735,127.735,127.735,100.0,12773.5,1.0
2019-11-01,09:54,09:54 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:55,09:55 AM,127.655,127.655,127.655,127.655,127.655,100.0,12765.5,1.0
2019-11-01,09:56,09:56 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:57,09:57 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:58,09:58 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:59,09:59 AM,127.55,127.53,127.55,127.53,127.537,157.0,20023.35,2.0
2019-11-01,10:00,10 AM,127.57,127.52,127.56,127.52,127.559,105.0,13393.7,3.0
2019-11-01,10:01,10:01 AM,127.52,127.52,127.52,127.52,127.52,100.0,12752.0,1.0
2019-11-01,10:02,10:02 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:03,10:03 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:04,10:04 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:05,10:05 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:06,10:06 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:07,10:07 AM,,,,,,0.0,0.0,0.0
