date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,62.55,62.435,62.55,62.435,62.492,2,124.985,2
2019-11-01,09:31,09:31 AM,62.715,62.715,62.715,62.715,62.715,106,6647.79,1
2019-11-01,09:32,09:32 AM,62.71,62.71,62.71,62.71,62.71,326,20443.46,1
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,62.485,62.485,62.485,62.485,62.485,100,6248.5,1
2019-11-01,09:35,09:35 AM,62.47,62.35,62.465,62.47,62.395,404,25207.81,9
2019-11-01,09:36,09:36 AM,62.435,62.435,62.435,62.435,62.435,2000,124870.0,1
2019-11-01,09:37,09:37 AM,62.28,62.215,62.28,62.215,62.25,250,15562.5,3
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,62.565,62.495,62.495,62.565,62.51300000000001,3644,227797.86,3
2019-11-01,09:40,09:40 AM,,,,,,0,0.0,0
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,62.655,62.47,62.47,62.655,62.602,422,26418.14,5
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,62.675,62.675,62.675,62.675,62.675,500,31337.5,1
2019-11-01,09:46,09:46 AM,62.6,62.56,62.6,62.56,62.582,225,14081.0,5
2019-11-01,09:47,09:47 AM,62.64,62.62,62.62,62.64,62.63,200,12526.0,2
2019-11-01,09:48,09:48 AM,62.82,62.82,62.82,62.82,62.82,100,6282.0,1
2019-11-01,09:49,09:49 AM,62.82,62.68,62.82,62.68,62.728,460,28854.8,6
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,62.71,62.71,62.71,62.71,62.71,200,12542.0,2
2019-11-01,09:54,09:54 AM,62.94,62.85,62.85,62.94,62.88,300,18864.0,4
2019-11-01,09:55,09:55 AM,62.99,62.99,62.99,62.99,62.99,100,6299.0,2
2019-11-01,09:56,09:56 AM,63.005,63.005,63.005,63.005,63.005,85,5355.425,1
2019-11-01,09:57,09:57 AM,63.05,62.99,62.99,63.05,63.001999999999995,500,31501.0,4
2019-11-01,09:58,09:58 AM,63.06,63.06,63.06,63.06,63.06,98,6179.88,1
2019-11-01,09:59,09:59 AM,63.2,63.2,63.2,63.2,63.2,200,12640.0,1
2019-11-01,10:00,10 AM,63.28,63.28,63.28,63.28,63.28,1,63.28,1
2019-11-01,10:01,10:01 AM,63.22,63.22,63.22,63.22,63.22,1,63.22,1
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,63.435,63.435,63.435,63.435,63.435,100,6343.5,1
2019-11-01,10:04,10:04 AM,,,,,,0,0.0,0
2019-11-01,10:05,10:05 AM,,,,,,0,0.0,0
2019-11-01,10:06,10:06 AM,63.38,63.375,63.375,63.38,63.38,103,6528.125,2
2019-11-01,10:07,10:07 AM,63.42,63.42,63.42,63.42,63.42,100,6342.0,1
2019-11-01,10:08,10:08 AM,63.4,63.4,63.4,63.4,63.4,100,6340.0,1
2019-11-01,10:09,10:09 AM,63.43,63.43,63.43,63.43,63.43,300,19029.0,1
2019-11-01,10:10,10:10 AM,63.4,63.39,63.4,63.39,63.395,200,12679.0,2
2019-11-01,10:11,10:11 AM,63.24,63.24,63.24,63.24,63.24,100,6324.0,1
2019-11-01,10:12,10:12 AM,,,,,,0,0.0,0
2019-11-01,10:13,10:13 AM,63.21,63.21,63.21,63.21,63.21,211,13337.31,1
2019-11-01,10:14,10:14 AM,,,,,,0,0.0,0
2019-11-01,10:15,10:15 AM,63.21,63.21,63.21,63.21,63.21,98,6194.58,2
2019-11-01,10:16,10:16 AM,,,,,,0,0.0,0
2019-11-01,10:17,10:17 AM,63.265,63.24,63.24,63.265,63.243,200,12648.65,4
2019-11-01,10:18,10:18 AM,63.19,63.19,63.19,63.19,63.19,179,11311.01,2
2019-11-01,10:19,10:19 AM,63.15,63.13,63.13,63.14,63.138999999999996,5804,366458.77,18
2019-11-01,10:20,10:20 AM,63.105,63.1,63.1,63.105,63.102,224,14134.965,2
2019-11-01,10:21,10:21 AM,63.1,63.1,63.1,63.1,63.1,300,18930.0,3
2019-11-01,10:22,10:22 AM,63.01,62.89,62.99,62.98,62.938,401,25238.01,5
2019-11-01,10:23,10:23 AM,,,,,,0,0.0,0
2019-11-01,10:24,10:24 AM,63.13,63.13,63.13,63.13,63.13,125,7891.25,1
2019-11-01,10:25,10:25 AM,63.15,63.15,63.15,63.15,63.15,100,6315.0,1
2019-11-01,10:26,10:26 AM,63.16,63.16,63.16,63.16,63.16,100,6316.0,1
2019-11-01,10:27,10:27 AM,,,,,,0,0.0,0
2019-11-01,10:28,10:28 AM,63.13,63.13,63.13,63.13,63.13,200,12626.0,1
2019-11-01,10:29,10:29 AM,63.135,63.135,63.135,63.135,63.135,391,24685.785,2
2019-11-01,10:30,10:30 AM,63.25,63.25,63.25,63.25,63.25,1,63.25,1
2019-11-01,10:31,10:31 AM,63.265,63.24,63.24,63.265,63.251999999999995,200,12650.5,2
2019-11-01,10:32,10:32 AM,,,,,,0,0.0,0
2019-11-01,10:33,10:33 AM,63.35,63.27,63.27,63.35,63.297,300,18989.0,3
2019-11-01,10:34,10:34 AM,63.33,63.31,63.33,63.31,63.325,400,25330.0,2
2019-11-01,10:35,10:35 AM,63.32,63.32,63.32,63.32,63.32,100,6332.0,1
2019-11-01,10:36,10:36 AM,,,,,,0,0.0,0
2019-11-01,10:37,10:37 AM,,,,,,0,0.0,0
2019-11-01,10:38,10:38 AM,63.34,63.32,63.34,63.32,63.33,200,12666.0,2
2019-11-01,10:39,10:39 AM,63.17,63.17,63.17,63.17,63.17,100,6317.0,2
2019-11-01,10:40,10:40 AM,63.2,63.2,63.2,63.2,63.2,800,50560.0,3
2019-11-01,10:41,10:41 AM,63.16,63.11,63.135,63.16,63.135,300,18940.5,3
2019-11-01,10:42,10:42 AM,63.2,63.18,63.19,63.2,63.19,300,18957.0,3
2019-11-01,10:43,10:43 AM,63.15,63.15,63.15,63.15,63.15,100,6315.0,1
2019-11-01,10:44,10:44 AM,,,,,,0,0.0,0
2019-11-01,10:45,10:45 AM,,,,,,0,0.0,0
2019-11-01,10:46,10:46 AM,63.205,63.2,63.205,63.2,63.201,500,31600.5,5
2019-11-01,10:47,10:47 AM,63.15,63.15,63.15,63.15,63.15,99,6251.85,3
2019-11-01,10:48,10:48 AM,63.14,63.11,63.13,63.14,63.125,855,53972.15,9
2019-11-01,10:49,10:49 AM,63.13,63.11,63.13,63.11,63.115,400,25246.0,3
2019-11-01,10:50,10:50 AM,63.14,63.12,63.12,63.125,63.126999999999995,500,31563.5,5
2019-11-01,10:51,10:51 AM,63.125,63.12,63.12,63.125,63.123999999999995,400,25249.5,4
2019-11-01,10:52,10:52 AM,,,,,,0,0.0,0
2019-11-01,10:53,10:53 AM,63.165,63.125,63.125,63.165,63.146,400,25258.5,4
2019-11-01,10:54,10:54 AM,63.15,63.105,63.15,63.13,63.13399999999999,400,25253.5,4
2019-11-01,10:55,10:55 AM,63.07,63.07,63.07,63.07,63.07,1,63.07,1
2019-11-01,10:56,10:56 AM,63.07,63.0,63.07,63.0,63.026,204,12857.28,3
2019-11-01,10:57,10:57 AM,63.045,63.03,63.03,63.04,63.04,415,26161.45,5
2019-11-01,10:58,10:58 AM,63.03,63.03,63.03,63.03,63.03,192,12101.76,2
2019-11-01,10:59,10:59 AM,63.03,63.02,63.03,63.03,63.027,269,16954.38,4
2019-11-01,11:00,11 AM,63.065,63.055,63.055,63.065,63.062,134,8450.37,2
2019-11-01,11:01,11:01 AM,63.13,63.08,63.13,63.08,63.105,200,12621.0,2
2019-11-01,11:02,11:02 AM,63.08,63.08,63.08,63.08,63.08,100,6308.0,1
2019-11-01,11:03,11:03 AM,,,,,,0,0.0,0
2019-11-01,11:04,11:04 AM,,,,,,0,0.0,0
2019-11-01,11:05,11:05 AM,63.29,63.26,63.26,63.29,63.275,203,12844.78,3
2019-11-01,11:06,11:06 AM,63.235,63.235,63.235,63.235,63.235,100,6323.5,1
2019-11-01,11:07,11:07 AM,,,,,,0,0.0,0
2019-11-01,11:08,11:08 AM,63.24,63.24,63.24,63.24,63.24,100,6324.0,1
2019-11-01,11:09,11:09 AM,63.265,63.265,63.265,63.265,63.265,100,6326.5,1
2019-11-01,11:10,11:10 AM,63.245,63.245,63.245,63.245,63.245,100,6324.5,1
2019-11-01,11:11,11:11 AM,63.26,63.255,63.255,63.26,63.258,200,12651.5,2
2019-11-01,11:12,11:12 AM,,,,,,0,0.0,0
2019-11-01,11:13,11:13 AM,,,,,,0,0.0,0
2019-11-01,11:14,11:14 AM,,,,,,0,0.0,0
2019-11-01,11:15,11:15 AM,63.24,63.21,63.21,63.24,63.24,101,6387.21,3
2019-11-01,11:16,11:16 AM,63.29,63.27,63.29,63.27,63.28,1000,63280.0,8
2019-11-01,11:17,11:17 AM,,,,,,0,0.0,0
2019-11-01,11:18,11:18 AM,,,,,,0,0.0,0
2019-11-01,11:19,11:19 AM,63.29,63.29,63.29,63.29,63.29,100,6329.0,1
2019-11-01,11:20,11:20 AM,,,,,,0,0.0,0
2019-11-01,11:21,11:21 AM,,,,,,0,0.0,0
2019-11-01,11:22,11:22 AM,,,,,,0,0.0,0
2019-11-01,11:23,11:23 AM,63.28,63.28,63.28,63.28,63.28,75,4746.0,1
2019-11-01,11:24,11:24 AM,63.31,63.31,63.31,63.31,63.31,100,6331.0,1
2019-11-01,11:25,11:25 AM,63.29,63.29,63.29,63.29,63.29,100,6329.0,1
2019-11-01,11:26,11:26 AM,,,,,,0,0.0,0
2019-11-01,11:27,11:27 AM,,,,,,0,0.0,0
2019-11-01,11:28,11:28 AM,,,,,,0,0.0,0
2019-11-01,11:29,11:29 AM,63.225,63.225,63.225,63.225,63.225,100,6322.5,1
2019-11-01,11:30,11:30 AM,,,,,,0,0.0,0
2019-11-01,11:31,11:31 AM,63.26,63.26,63.26,63.26,63.26,100,6326.0,1
2019-11-01,11:32,11:32 AM,,,,,,0,0.0,0
2019-11-01,11:33,11:33 AM,,,,,,0,0.0,0
2019-11-01,11:34,11:34 AM,,,,,,0,0.0,0
2019-11-01,11:35,11:35 AM,63.26,63.26,63.26,63.26,63.26,4,253.04,1
2019-11-01,11:36,11:36 AM,,,,,,0,0.0,0
2019-11-01,11:37,11:37 AM,,,,,,0,0.0,0
2019-11-01,11:38,11:38 AM,63.31,63.31,63.31,63.31,63.31,15,949.65,1
2019-11-01,11:39,11:39 AM,,,,,,0,0.0,0
2019-11-01,11:40,11:40 AM,,,,,,0,0.0,0
2019-11-01,11:41,11:41 AM,,,,,,0,0.0,0
2019-11-01,11:42,11:42 AM,63.33,63.31,63.31,63.33,63.32899999999999,399,25268.39,5
2019-11-01,11:43,11:43 AM,63.35,63.35,63.35,63.35,63.35,100,6335.0,1
2019-11-01,11:44,11:44 AM,,,,,,0,0.0,0
2019-11-01,11:45,11:45 AM,63.29,63.29,63.29,63.29,63.29,1,63.29,1
2019-11-01,11:46,11:46 AM,,,,,,0,0.0,0
2019-11-01,11:47,11:47 AM,63.29,63.29,63.29,63.29,63.29,200,12658.0,1
2019-11-01,11:48,11:48 AM,63.3,63.3,63.3,63.3,63.3,412,26079.6,3
2019-11-01,11:49,11:49 AM,,,,,,0,0.0,0
2019-11-01,11:50,11:50 AM,63.3,63.3,63.3,63.3,63.3,100,6330.0,1
2019-11-01,11:51,11:51 AM,63.295,63.295,63.295,63.295,63.295,360,22786.2,3
2019-11-01,11:52,11:52 AM,,,,,,0,0.0,0
2019-11-01,11:53,11:53 AM,63.305,63.3,63.3,63.3,63.3,308,19496.405,4
2019-11-01,11:54,11:54 AM,63.3,63.29,63.3,63.295,63.291000000000004,404,25569.7,5
2019-11-01,11:55,11:55 AM,,,,,,0,0.0,0
2019-11-01,11:56,11:56 AM,63.29,63.29,63.29,63.29,63.29,235,14873.15,5
2019-11-01,11:57,11:57 AM,63.32,63.29,63.3,63.32,63.303000000000004,300,18991.0,3
2019-11-01,11:58,11:58 AM,63.32,63.31,63.31,63.315,63.316,269,17032.055,4
2019-11-01,11:59,11:59 AM,63.32,63.28,63.28,63.32,63.286,119,7531.08,2
2019-11-01,12:00,12 PM,63.345,63.315,63.345,63.315,63.326,284,17984.55,2
2019-11-01,12:01,12:01 PM,,,,,,0,0.0,0
2019-11-01,12:02,12:02 PM,63.3,63.3,63.3,63.3,63.3,100,6330.0,1
2019-11-01,12:03,12:03 PM,63.29,63.275,63.275,63.29,63.276,110,6960.4,2
2019-11-01,12:04,12:04 PM,,,,,,0,0.0,0
2019-11-01,12:05,12:05 PM,63.315,63.315,63.315,63.315,63.315,211,13359.465,2
2019-11-01,12:06,12:06 PM,,,,,,0,0.0,0
2019-11-01,12:07,12:07 PM,,,,,,0,0.0,0
2019-11-01,12:08,12:08 PM,63.38,63.38,63.38,63.38,63.38,5,316.9,1
2019-11-01,12:09,12:09 PM,,,,,,0,0.0,0
2019-11-01,12:10,12:10 PM,63.365,63.365,63.365,63.365,63.365,14,887.11,1
2019-11-01,12:11,12:11 PM,,,,,,0,0.0,0
2019-11-01,12:12,12:12 PM,63.385,63.385,63.385,63.385,63.385,80,5070.8,1
2019-11-01,12:13,12:13 PM,,,,,,0,0.0,0
2019-11-01,12:14,12:14 PM,63.37,63.37,63.37,63.37,63.37,100,6337.0,1
2019-11-01,12:15,12:15 PM,63.38,63.38,63.38,63.38,63.38,100,6338.0,1
2019-11-01,12:16,12:16 PM,,,,,,0,0.0,0
2019-11-01,12:17,12:17 PM,,,,,,0,0.0,0
2019-11-01,12:18,12:18 PM,,,,,,0,0.0,0
2019-11-01,12:19,12:19 PM,63.365,63.36,63.365,63.36,63.361999999999995,200,12672.5,2
2019-11-01,12:20,12:20 PM,63.48,63.48,63.48,63.48,63.48,100,6348.0,1
2019-11-01,12:21,12:21 PM,63.52,63.52,63.52,63.52,63.52,200,12704.0,1
2019-11-01,12:22,12:22 PM,,,,,,0,0.0,0
2019-11-01,12:23,12:23 PM,63.51,63.5,63.51,63.5,63.505,200,12701.0,2
2019-11-01,12:24,12:24 PM,,,,,,0,0.0,0
2019-11-01,12:25,12:25 PM,63.41,63.41,63.41,63.41,63.41,100,6341.0,1
2019-11-01,12:26,12:26 PM,63.37,63.37,63.37,63.37,63.37,100,6337.0,1
2019-11-01,12:27,12:27 PM,,,,,,0,0.0,0
2019-11-01,12:28,12:28 PM,,,,,,0,0.0,0
2019-11-01,12:29,12:29 PM,63.415,63.39,63.415,63.39,63.398,300,19019.5,3
2019-11-01,12:30,12:30 PM,63.43,63.43,63.43,63.43,63.43,104,6596.72,2
2019-11-01,12:31,12:31 PM,63.41,63.39,63.395,63.41,63.394,224,14200.34,4
2019-11-01,12:32,12:32 PM,63.435,63.435,63.435,63.435,63.435,2,126.87,1
2019-11-01,12:33,12:33 PM,,,,,,0,0.0,0
2019-11-01,12:34,12:34 PM,,,,,,0,0.0,0
2019-11-01,12:35,12:35 PM,63.44,63.44,63.44,63.44,63.44,100,6344.0,1
2019-11-01,12:36,12:36 PM,63.48,63.48,63.48,63.48,63.48,10,634.8,1
2019-11-01,12:37,12:37 PM,,,,,,0,0.0,0
2019-11-01,12:38,12:38 PM,63.52,63.52,63.52,63.52,63.52,100,6352.0,1
2019-11-01,12:39,12:39 PM,,,,,,0,0.0,0
2019-11-01,12:40,12:40 PM,,,,,,0,0.0,0
2019-11-01,12:41,12:41 PM,,,,,,0,0.0,0
2019-11-01,12:42,12:42 PM,63.7,63.7,63.7,63.7,63.7,200,12740.0,1
2019-11-01,12:43,12:43 PM,,,,,,0,0.0,0
2019-11-01,12:44,12:44 PM,63.71,63.71,63.71,63.71,63.71,197,12550.87,1
2019-11-01,12:45,12:45 PM,,,,,,0,0.0,0
2019-11-01,12:46,12:46 PM,63.73,63.695,63.7,63.73,63.717,324,20644.285,6
2019-11-01,12:47,12:47 PM,,,,,,0,0.0,0
