date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,87.445,87.445,87.445,87.445,87.445,100.0,8744.5,1.0
2019-11-01,09:31,09:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:32,09:32 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:33,09:33 AM,87.27,87.16,87.27,87.16,87.245,13.0,1134.18,2.0
2019-11-01,09:34,09:34 AM,87.155,87.155,87.155,87.155,87.155,4.0,348.62,1.0
2019-11-01,09:35,09:35 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:36,09:36 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:37,09:37 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:38,09:38 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:39,09:39 AM,87.295,87.23,87.23,87.25,87.26899999999998,500.0,43634.5,5.0
2019-11-01,09:40,09:40 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:41,09:41 AM,87.42,87.42,87.42,87.42,87.42,2.0,174.84,2.0
2019-11-01,09:42,09:42 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:43,09:43 AM,87.62,87.47,87.47,87.62,87.54700000000004,300.0,26264.0,3.0
2019-11-01,09:44,09:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:45,09:45 AM,87.68,87.68,87.68,87.68,87.68,100.0,8768.0,1.0
2019-11-01,09:46,09:46 AM,87.73,87.64,87.675,87.73,87.676,6900.0,604966.0,8.0
2019-11-01,09:47,09:47 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:48,09:48 AM,87.585,87.585,87.585,87.585,87.585,176.0,15414.96,1.0
2019-11-01,09:49,09:49 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:50,09:50 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:51,09:51 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:52,09:52 AM,87.395,87.395,87.395,87.395,87.395,100.0,8739.5,1.0
2019-11-01,09:53,09:53 AM,87.365,87.365,87.365,87.365,87.365,100.0,8736.5,1.0
2019-11-01,09:54,09:54 AM,87.28,87.26,87.26,87.275,87.26899999999998,420.0,36652.9,7.0
2019-11-01,09:55,09:55 AM,87.24,87.24,87.24,87.24,87.24,100.0,8724.0,1.0
2019-11-01,09:56,09:56 AM,87.315,87.3,87.3,87.305,87.30799999999998,400.0,34923.155,4.0
2019-11-01,09:57,09:57 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:58,09:58 AM,87.265,87.265,87.265,87.265,87.265,100.0,8726.5,1.0
2019-11-01,09:59,09:59 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:00,10 AM,87.12,86.97,87.065,87.12,87.074,522.0,45452.84,3.0
2019-11-01,10:01,10:01 AM,87.35,87.25,87.25,87.35,87.27600000000002,500.0,43638.0,5.0
2019-11-01,10:02,10:02 AM,87.56,87.535,87.535,87.56,87.556,3893.0,340856.08,8.0
2019-11-01,10:03,10:03 AM,87.69,87.61,87.62,87.655,87.65299999999998,1100.0,96418.63,9.0
2019-11-01,10:04,10:04 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:05,10:05 AM,87.505,87.505,87.505,87.505,87.505,100.0,8750.5,1.0
2019-11-01,10:06,10:06 AM,87.575,87.53,87.55,87.575,87.552,660.0,57784.0,6.0
2019-11-01,10:07,10:07 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:08,10:08 AM,87.47,87.47,87.47,87.47,87.47,100.0,8747.0,1.0
2019-11-01,10:09,10:09 AM,87.455,87.455,87.455,87.455,87.455,24.0,2098.92,1.0
2019-11-01,10:10,10:10 AM,87.32,87.31,87.31,87.32,87.31299999999996,400.0,34925.0,4.0
2019-11-01,10:11,10:11 AM,87.41,87.36,87.36,87.41,87.405,2900.0,253474.5,10.0
2019-11-01,10:12,10:12 AM,87.41,87.4,87.41,87.4,87.405,1800.0,157329.0,2.0
2019-11-01,10:13,10:13 AM,87.43,87.39,87.43,87.395,87.399,500.0,43699.5,4.0
2019-11-01,10:14,10:14 AM,87.33,87.33,87.33,87.33,87.33,100.0,8733.0,1.0
2019-11-01,10:15,10:15 AM,87.37,87.37,87.37,87.37,87.37,100.0,8737.0,1.0
2019-11-01,10:16,10:16 AM,87.335,87.33,87.33,87.335,87.33200000000002,200.0,17466.5,2.0
2019-11-01,10:17,10:17 AM,87.32,87.32,87.32,87.32,87.32,100.0,8732.0,1.0
2019-11-01,10:18,10:18 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:19,10:19 AM,87.3,87.29,87.29,87.3,87.29899999999998,116.0,10126.64,2.0
2019-11-01,10:20,10:20 AM,87.34,87.32,87.32,87.34,87.33,200.0,17466.0,2.0
2019-11-01,10:21,10:21 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:22,10:22 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:23,10:23 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:24,10:24 AM,87.37,87.37,87.37,87.37,87.37,100.0,8737.0,1.0
2019-11-01,10:25,10:25 AM,87.33,87.31,87.31,87.33,87.311,329.0,28725.47,3.0
2019-11-01,10:26,10:26 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:27,10:27 AM,87.37,87.32,87.37,87.32,87.345,200.0,17469.0,2.0
2019-11-01,10:28,10:28 AM,87.3,87.3,87.3,87.3,87.3,100.0,8730.0,1.0
2019-11-01,10:29,10:29 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:30,10:30 AM,87.38,87.34,87.38,87.34,87.36,400.0,34944.0,4.0
2019-11-01,10:31,10:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:32,10:32 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:33,10:33 AM,87.37,87.36,87.36,87.37,87.368,254.0,22191.43,3.0
2019-11-01,10:34,10:34 AM,87.49,87.465,87.465,87.49,87.478,300.0,26243.5,3.0
2019-11-01,10:35,10:35 AM,87.45,87.41,87.44,87.45,87.444,204.0,17838.62,4.0
2019-11-01,10:36,10:36 AM,87.48,87.48,87.48,87.48,87.48,200.0,17496.0,1.0
2019-11-01,10:37,10:37 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:38,10:38 AM,87.5,87.49,87.5,87.49,87.495,200.0,17499.0,2.0
2019-11-01,10:39,10:39 AM,87.52,87.52,87.52,87.52,87.52,100.0,8752.0,1.0
2019-11-01,10:40,10:40 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:41,10:41 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:42,10:42 AM,87.62,87.56,87.56,87.62,87.588,400.0,35035.0,4.0
2019-11-01,10:43,10:43 AM,87.62,87.62,87.62,87.62,87.62,100.0,8762.0,1.0
2019-11-01,10:44,10:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:45,10:45 AM,87.55,87.55,87.55,87.55,87.55,115.0,10068.25,1.0
2019-11-01,10:46,10:46 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:47,10:47 AM,87.405,87.405,87.405,87.405,87.405,300.0,26221.5,2.0
2019-11-01,10:48,10:48 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:49,10:49 AM,87.44,87.43,87.43,87.44,87.431,700.0,61202.0,3.0
2019-11-01,10:50,10:50 AM,87.46,87.46,87.46,87.46,87.46,136.0,11894.56,2.0
2019-11-01,10:51,10:51 AM,87.485,87.435,87.435,87.485,87.46,200.0,17492.0,2.0
2019-11-01,10:52,10:52 AM,87.5,87.5,87.5,87.5,87.5,636.0,55650.0,3.0
2019-11-01,10:53,10:53 AM,87.545,87.485,87.485,87.54,87.523,420.0,36759.6,6.0
2019-11-01,10:54,10:54 AM,87.53,87.48,87.53,87.48,87.505,200.0,17501.0,2.0
2019-11-01,10:55,10:55 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:56,10:56 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:57,10:57 AM,87.53,87.475,87.48,87.53,87.491,1293.0,113126.175,8.0
2019-11-01,10:58,10:58 AM,87.6,87.55,87.55,87.6,87.575,400.0,35030.0,4.0
2019-11-01,10:59,10:59 AM,,,,,,0.0,0.0,0.0
2019-11-01,11:00,11 AM,87.68,87.68,87.68,87.68,87.68,100.0,8768.0,1.0
2019-11-01,11:01,11:01 AM,87.65,87.65,87.65,87.65,87.65,27.0,2366.55,1.0
