date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,193.73,192.57,192.92,192.57,193.108,1603,309553.05,17
2019-11-01,09:31,09:31 AM,192.9,192.24,192.46,192.9,192.63299999999998,3601,693671.315,28
2019-11-01,09:32,09:32 AM,193.22,192.585,193.025,192.92,192.80900000000003,4978,959800.96,41
2019-11-01,09:33,09:33 AM,193.4,192.935,192.935,193.245,193.17700000000002,1977,381911.11,13
2019-11-01,09:34,09:34 AM,193.39,193.12,193.32,193.365,193.24900000000002,1535,296636.75,17
2019-11-01,09:35,09:35 AM,193.78,193.275,193.275,193.78,193.578,2619,506980.195,20
2019-11-01,09:36,09:36 AM,193.76,193.595,193.595,193.72,193.644,1050,203326.0,9
2019-11-01,09:37,09:37 AM,193.6,193.12,193.6,193.36,193.392,1900,367445.0,19
2019-11-01,09:38,09:38 AM,193.77,193.5,193.53,193.77,193.64700000000002,564,109217.1,8
2019-11-01,09:39,09:39 AM,194.0,193.69,193.725,193.825,193.78099999999998,2279,441627.56,20
2019-11-01,09:40,09:40 AM,193.77,193.375,193.77,193.53,193.543,3866,748238.58,30
2019-11-01,09:41,09:41 AM,193.66,193.51,193.51,193.57,193.588,1320,255536.0,14
2019-11-01,09:42,09:42 AM,193.64,193.27,193.56,193.44,193.472,1450,280535.25,14
2019-11-01,09:43,09:43 AM,193.63,193.37,193.58,193.37,193.565,2500,483912.0,14
2019-11-01,09:44,09:44 AM,193.25,192.72,193.25,192.74,192.84799999999998,2011,387816.56,20
2019-11-01,09:45,09:45 AM,192.895,192.63,192.73,192.895,192.813,998,192427.24,10
2019-11-01,09:46,09:46 AM,192.88,192.85,192.88,192.85,192.87,300,57861.0,3
2019-11-01,09:47,09:47 AM,193.18,192.785,193.05,192.785,192.887,804,155081.24,8
2019-11-01,09:48,09:48 AM,193.03,192.875,192.875,193.02,192.977,335,64647.46,5
2019-11-01,09:49,09:49 AM,193.18,192.93,193.18,192.93,193.07,250,48267.5,3
2019-11-01,09:50,09:50 AM,193.015,192.855,192.855,192.95,192.90400000000002,746,143906.335,7
2019-11-01,09:51,09:51 AM,192.72,192.64,192.72,192.66,192.676,1301,250671.39,16
2019-11-01,09:52,09:52 AM,192.76,192.63,192.63,192.65,192.68900000000002,1400,269764.3,12
2019-11-01,09:53,09:53 AM,192.975,192.71,192.71,192.975,192.84900000000002,1400,269988.0,10
2019-11-01,09:54,09:54 AM,193.16,192.955,192.97,193.16,193.09400000000002,2047,395263.705,17
2019-11-01,09:55,09:55 AM,193.165,192.48,193.16,192.48,192.938,2253,434689.93,18
2019-11-01,09:56,09:56 AM,192.75,192.575,192.575,192.69,192.64,700,134848.0,7
2019-11-01,09:57,09:57 AM,192.93,192.63,192.63,192.93,192.78799999999998,807,155579.67,10
2019-11-01,09:58,09:58 AM,193.34,193.08,193.12,193.29,193.25,1729,334129.48,10
2019-11-01,09:59,09:59 AM,193.285,193.23,193.285,193.23,193.245,900,173920.5,4
2019-11-01,10:00,10 AM,193.23,192.94,193.23,192.94,193.074,1536,296561.86,12
2019-11-01,10:01,10:01 AM,193.37,193.25,193.25,193.355,193.34900000000002,304,58778.0,4
2019-11-01,10:02,10:02 AM,193.86,193.39,193.39,193.79,193.641,966,187057.645,14
2019-11-01,10:03,10:03 AM,193.98,193.79,193.89,193.86,193.91400000000002,726,140781.68,10
2019-11-01,10:04,10:04 AM,193.8,193.73,193.8,193.73,193.769,400,77507.5,4
2019-11-01,10:05,10:05 AM,193.85,193.71,193.71,193.85,193.787,4853,940446.37,21
2019-11-01,10:06,10:06 AM,193.92,193.8,193.8,193.835,193.828,1581,306442.92,13
2019-11-01,10:07,10:07 AM,194.05,193.8,193.84,193.83,193.94099999999997,2991,580078.3,28
2019-11-01,10:08,10:08 AM,193.86,193.645,193.86,193.82,193.747,1285,248965.38,18
2019-11-01,10:09,10:09 AM,193.85,193.525,193.77,193.525,193.699,2309,447251.945,31
2019-11-01,10:10,10:10 AM,193.7,193.49,193.49,193.7,193.59,300,58077.0,3
2019-11-01,10:11,10:11 AM,193.79,193.72,193.72,193.79,193.761,600,116256.5,6
2019-11-01,10:12,10:12 AM,193.88,193.81,193.84,193.81,193.854,1100,213239.0,11
2019-11-01,10:13,10:13 AM,193.95,193.77,193.925,193.77,193.889,1000,193889.0,10
2019-11-01,10:14,10:14 AM,193.72,193.53,193.72,193.53,193.592,500,96796.0,5
2019-11-01,10:15,10:15 AM,193.64,193.5,193.64,193.52,193.584,835,161643.1,11
2019-11-01,10:16,10:16 AM,193.575,193.5,193.51,193.575,193.52900000000002,1701,329192.52,20
2019-11-01,10:17,10:17 AM,193.66,193.56,193.625,193.6,193.609,730,141334.925,8
2019-11-01,10:18,10:18 AM,193.665,193.55,193.64,193.665,193.615,1400,271060.5,6
2019-11-01,10:19,10:19 AM,193.85,193.63,193.67,193.85,193.74900000000002,1300,251873.5,13
2019-11-01,10:20,10:20 AM,193.875,193.68,193.85,193.73,193.78,3435,665636.23,27
2019-11-01,10:21,10:21 AM,193.65,193.53,193.65,193.55,193.563,700,135494.02,7
2019-11-01,10:22,10:22 AM,193.375,193.34,193.34,193.375,193.357,200,38671.5,2
2019-11-01,10:23,10:23 AM,193.415,193.3,193.415,193.3,193.355,317,61293.575,7
2019-11-01,10:24,10:24 AM,193.325,193.125,193.19,193.325,193.226,1826,352831.715,16
2019-11-01,10:25,10:25 AM,193.53,193.37,193.37,193.53,193.456,1840,355959.2,15
2019-11-01,10:26,10:26 AM,193.53,193.35,193.53,193.41,193.433,1702,329223.44,24
2019-11-01,10:27,10:27 AM,193.48,193.37,193.41,193.48,193.403,405,78328.04,6
2019-11-01,10:28,10:28 AM,193.48,193.425,193.425,193.44,193.447,2504,484391.7,9
2019-11-01,10:29,10:29 AM,193.52,193.435,193.455,193.47,193.47799999999998,2417,467636.32,17
2019-11-01,10:30,10:30 AM,193.42,193.3,193.37,193.375,193.35299999999998,4101,792942.35,17
2019-11-01,10:31,10:31 AM,193.27,193.27,193.27,193.27,193.27,100,19327.0,1
2019-11-01,10:32,10:32 AM,193.19,192.975,193.19,193.09,192.99400000000003,2408,464728.52,10
2019-11-01,10:33,10:33 AM,193.1,192.96,193.09,192.96,193.00900000000001,3400,656231.0,19
