date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,51.99,51.56,51.56,51.99,51.91,123,6384.88,2
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,52.89,52.89,52.89,52.89,52.89,98,5183.22,1
2019-11-01,09:33,09:33 AM,52.67,52.65,52.67,52.65,52.661,236,12428.12,4
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,52.43,52.43,52.43,52.43,52.43,100,5243.0,1
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,,,,,,0,0.0,0
2019-11-01,09:41,09:41 AM,52.535,52.535,52.535,52.535,52.535,100,5253.5,1
2019-11-01,09:42,09:42 AM,52.57,52.57,52.57,52.57,52.57,200,10514.0,1
2019-11-01,09:43,09:43 AM,52.46,52.45,52.45,52.46,52.458,6100,319993.0,9
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,52.565,52.565,52.565,52.565,52.565,100,5256.5,1
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,52.76,52.76,52.76,52.76,52.76,100,5276.0,1
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,53.02,53.02,53.02,53.02,53.02,100,5302.0,1
2019-11-01,09:59,09:59 AM,53.17,53.17,53.17,53.17,53.17,100,5317.0,1
2019-11-01,10:00,10 AM,53.215,53.215,53.215,53.215,53.215,100,5321.5,1
2019-11-01,10:01,10:01 AM,53.235,53.235,53.235,53.235,53.235,100,5323.5,1
2019-11-01,10:02,10:02 AM,53.41,53.29,53.29,53.41,53.35,627,33450.7,8
2019-11-01,10:03,10:03 AM,53.43,53.43,53.43,53.43,53.43,100,5343.0,1
2019-11-01,10:04,10:04 AM,,,,,,0,0.0,0
2019-11-01,10:05,10:05 AM,53.365,53.3,53.365,53.3,53.343999999999994,298,15896.4,3
2019-11-01,10:06,10:06 AM,53.3,53.3,53.3,53.3,53.3,30,1599.0,1
2019-11-01,10:07,10:07 AM,53.24,53.23,53.24,53.23,53.235,200,10647.0,2
2019-11-01,10:08,10:08 AM,53.305,53.275,53.275,53.305,53.278999999999996,264,14065.545,4
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,53.28,53.28,53.28,53.28,53.28,100,5328.0,1
2019-11-01,10:11,10:11 AM,53.34,53.34,53.34,53.34,53.34,400,21336.0,3
2019-11-01,10:12,10:12 AM,53.34,53.34,53.34,53.34,53.34,200,10668.0,2
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
2019-11-01,10:14,10:14 AM,53.52,53.48,53.48,53.49,53.501999999999995,401,21454.5,5
2019-11-01,10:15,10:15 AM,53.52,53.26,53.52,53.26,53.433,302,16136.66,4
2019-11-01,10:16,10:16 AM,,,,,,0,0.0,0
2019-11-01,10:17,10:17 AM,,,,,,0,0.0,0
2019-11-01,10:18,10:18 AM,,,,,,0,0.0,0
2019-11-01,10:19,10:19 AM,,,,,,0,0.0,0
2019-11-01,10:20,10:20 AM,53.245,53.19,53.19,53.245,53.208,300,15962.5,3
2019-11-01,10:21,10:21 AM,,,,,,0,0.0,0
2019-11-01,10:22,10:22 AM,53.11,53.11,53.11,53.11,53.11,100,5311.0,1
2019-11-01,10:23,10:23 AM,53.11,53.11,53.11,53.11,53.11,100,5311.0,1
2019-11-01,10:24,10:24 AM,,,,,,0,0.0,0
2019-11-01,10:25,10:25 AM,,,,,,0,0.0,0
2019-11-01,10:26,10:26 AM,53.13,53.13,53.13,53.13,53.13,100,5313.0,1
2019-11-01,10:27,10:27 AM,53.15,53.15,53.15,53.15,53.15,100,5315.0,1
2019-11-01,10:28,10:28 AM,53.19,53.19,53.19,53.19,53.19,200,10638.0,2
2019-11-01,10:29,10:29 AM,53.185,53.185,53.185,53.185,53.185,100,5318.5,1
2019-11-01,10:30,10:30 AM,53.195,53.195,53.195,53.195,53.195,300,15958.5,3
2019-11-01,10:31,10:31 AM,53.21,53.19,53.19,53.21,53.201,176,9363.44,3
2019-11-01,10:32,10:32 AM,,,,,,0,0.0,0
2019-11-01,10:33,10:33 AM,53.335,53.335,53.335,53.335,53.335,100,5333.5,1
2019-11-01,10:34,10:34 AM,,,,,,0,0.0,0
2019-11-01,10:35,10:35 AM,53.46,53.46,53.46,53.46,53.46,100,5346.0,1
2019-11-01,10:36,10:36 AM,,,,,,0,0.0,0
2019-11-01,10:37,10:37 AM,53.355,53.3,53.355,53.3,53.328,200,10665.5,2
2019-11-01,10:38,10:38 AM,53.275,53.275,53.275,53.275,53.275,100,5327.5,1
2019-11-01,10:39,10:39 AM,,,,,,0,0.0,0
2019-11-01,10:40,10:40 AM,,,,,,0,0.0,0
2019-11-01,10:41,10:41 AM,53.21,53.21,53.21,53.21,53.21,100,5321.0,1
2019-11-01,10:42,10:42 AM,,,,,,0,0.0,0
2019-11-01,10:43,10:43 AM,53.225,53.225,53.225,53.225,53.225,100,5322.5,1
2019-11-01,10:44,10:44 AM,,,,,,0,0.0,0
2019-11-01,10:45,10:45 AM,53.26,53.26,53.26,53.26,53.26,200,10652.0,2
2019-11-01,10:46,10:46 AM,53.27,53.27,53.27,53.27,53.27,100,5327.0,1
2019-11-01,10:47,10:47 AM,53.25,53.25,53.25,53.25,53.25,100,5325.0,1
2019-11-01,10:48,10:48 AM,,,,,,0,0.0,0
2019-11-01,10:49,10:49 AM,,,,,,0,0.0,0
2019-11-01,10:50,10:50 AM,53.415,53.375,53.375,53.405,53.4,400,21360.0,4
2019-11-01,10:51,10:51 AM,,,,,,0,0.0,0
2019-11-01,10:52,10:52 AM,,,,,,0,0.0,0
2019-11-01,10:53,10:53 AM,,,,,,0,0.0,0
2019-11-01,10:54,10:54 AM,53.43,53.41,53.43,53.41,53.417,300,16025.0,3
2019-11-01,10:55,10:55 AM,53.435,53.395,53.395,53.435,53.415,200,10683.0,2
2019-11-01,10:56,10:56 AM,,,,,,0,0.0,0
2019-11-01,10:57,10:57 AM,,,,,,0,0.0,0
2019-11-01,10:58,10:58 AM,,,,,,0,0.0,0
2019-11-01,10:59,10:59 AM,,,,,,0,0.0,0
2019-11-01,11:00,11 AM,,,,,,0,0.0,0
2019-11-01,11:01,11:01 AM,53.29,53.26,53.29,53.26,53.275,200,10655.0,2
2019-11-01,11:02,11:02 AM,53.235,53.235,53.235,53.235,53.235,100,5323.5,1
2019-11-01,11:03,11:03 AM,53.235,53.235,53.235,53.235,53.235,100,5323.5,1
2019-11-01,11:04,11:04 AM,53.25,53.24,53.245,53.25,53.245,400,21298.0,4
2019-11-01,11:05,11:05 AM,53.22,53.22,53.22,53.22,53.22,10,532.2,1
2019-11-01,11:06,11:06 AM,,,,,,0,0.0,0
2019-11-01,11:07,11:07 AM,,,,,,0,0.0,0
2019-11-01,11:08,11:08 AM,53.27,53.22,53.22,53.27,53.26,500,26630.0,5
2019-11-01,11:09,11:09 AM,,,,,,0,0.0,0
2019-11-01,11:10,11:10 AM,53.285,53.285,53.285,53.285,53.285,100,5328.5,1
2019-11-01,11:11,11:11 AM,53.25,53.25,53.25,53.25,53.25,100,5325.0,1
2019-11-01,11:12,11:12 AM,53.16,53.16,53.16,53.16,53.16,2,106.32,1
2019-11-01,11:13,11:13 AM,53.11,53.11,53.11,53.11,53.11,100,5311.0,1
2019-11-01,11:14,11:14 AM,,,,,,0,0.0,0
2019-11-01,11:15,11:15 AM,,,,,,0,0.0,0
2019-11-01,11:16,11:16 AM,,,,,,0,0.0,0
2019-11-01,11:17,11:17 AM,,,,,,0,0.0,0
2019-11-01,11:18,11:18 AM,,,,,,0,0.0,0
2019-11-01,11:19,11:19 AM,,,,,,0,0.0,0
2019-11-01,11:20,11:20 AM,,,,,,0,0.0,0
2019-11-01,11:21,11:21 AM,,,,,,0,0.0,0
2019-11-01,11:22,11:22 AM,52.83,52.83,52.83,52.83,52.83,100,5283.0,1
2019-11-01,11:23,11:23 AM,,,,,,0,0.0,0
2019-11-01,11:24,11:24 AM,,,,,,0,0.0,0
2019-11-01,11:25,11:25 AM,,,,,,0,0.0,0
2019-11-01,11:26,11:26 AM,52.72,52.72,52.72,52.72,52.72,94,4955.68,1
2019-11-01,11:27,11:27 AM,,,,,,0,0.0,0
2019-11-01,11:28,11:28 AM,,,,,,0,0.0,0
2019-11-01,11:29,11:29 AM,,,,,,0,0.0,0
2019-11-01,11:30,11:30 AM,,,,,,0,0.0,0
2019-11-01,11:31,11:31 AM,52.81,52.81,52.81,52.81,52.81,30,1584.3,1
2019-11-01,11:32,11:32 AM,,,,,,0,0.0,0
2019-11-01,11:33,11:33 AM,,,,,,0,0.0,0
2019-11-01,11:34,11:34 AM,,,,,,0,0.0,0
2019-11-01,11:35,11:35 AM,,,,,,0,0.0,0
2019-11-01,11:36,11:36 AM,,,,,,0,0.0,0
2019-11-01,11:37,11:37 AM,52.79,52.79,52.79,52.79,52.79,200,10558.0,1
2019-11-01,11:38,11:38 AM,,,,,,0,0.0,0
2019-11-01,11:39,11:39 AM,,,,,,0,0.0,0
2019-11-01,11:40,11:40 AM,52.575,52.535,52.535,52.575,52.562,300,15768.5,2
2019-11-01,11:41,11:41 AM,52.545,52.545,52.545,52.545,52.545,100,5254.5,1
2019-11-01,11:42,11:42 AM,,,,,,0,0.0,0
2019-11-01,11:43,11:43 AM,,,,,,0,0.0,0
2019-11-01,11:44,11:44 AM,52.595,52.58,52.58,52.595,52.586999999999996,200,10517.5,2
2019-11-01,11:45,11:45 AM,52.545,52.545,52.545,52.545,52.545,100,5254.5,1
2019-11-01,11:46,11:46 AM,52.615,52.615,52.615,52.615,52.615,30,1578.45,1
2019-11-01,11:47,11:47 AM,,,,,,0,0.0,0
2019-11-01,11:48,11:48 AM,,,,,,0,0.0,0
2019-11-01,11:49,11:49 AM,52.64,52.59,52.59,52.64,52.607,300,15782.0,4
2019-11-01,11:50,11:50 AM,,,,,,0,0.0,0
2019-11-01,11:51,11:51 AM,52.675,52.675,52.675,52.675,52.675,100,5267.5,1
2019-11-01,11:52,11:52 AM,,,,,,0,0.0,0
2019-11-01,11:53,11:53 AM,,,,,,0,0.0,0
2019-11-01,11:54,11:54 AM,,,,,,0,0.0,0
2019-11-01,11:55,11:55 AM,52.625,52.625,52.625,52.625,52.625,100,5262.5,1
2019-11-01,11:56,11:56 AM,,,,,,0,0.0,0
2019-11-01,11:57,11:57 AM,52.69,52.69,52.69,52.69,52.69,100,5269.0,1
2019-11-01,11:58,11:58 AM,52.7,52.7,52.7,52.7,52.7,100,5270.0,1
2019-11-01,11:59,11:59 AM,52.75,52.695,52.695,52.75,52.713,300,15814.0,3
2019-11-01,12:00,12 PM,,,,,,0,0.0,0
2019-11-01,12:01,12:01 PM,52.745,52.745,52.745,52.745,52.745,200,10549.0,2
2019-11-01,12:02,12:02 PM,52.75,52.75,52.75,52.75,52.75,100,5275.0,1
2019-11-01,12:03,12:03 PM,,,,,,0,0.0,0
2019-11-01,12:04,12:04 PM,52.93,52.825,52.825,52.93,52.883,500,26441.5,5
2019-11-01,12:05,12:05 PM,52.95,52.95,52.95,52.95,52.95,400,21180.0,4
