date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:31,09:31 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:32,09:32 AM,294.76,294.76,294.76,294.76,294.76,1.0,294.76,1.0
2019-11-01,09:33,09:33 AM,294.655,294.655,294.655,294.655,294.655,200.0,58931.0,1.0
2019-11-01,09:34,09:34 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:35,09:35 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:36,09:36 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:37,09:37 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:38,09:38 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:39,09:39 AM,293.41,293.41,293.41,293.41,293.41,3.0,880.23,1.0
2019-11-01,09:40,09:40 AM,293.59,293.59,293.59,293.59,293.59,67.0,19670.53,2.0
2019-11-01,09:41,09:41 AM,293.515,293.405,293.515,293.405,293.488,400.0,117395.0,2.0
2019-11-01,09:42,09:42 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:43,09:43 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:44,09:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:45,09:45 AM,293.98,293.95,293.98,293.95,293.965,200.0,58793.0,2.0
2019-11-01,09:46,09:46 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:47,09:47 AM,293.35,293.35,293.35,293.35,293.35,100.0,29335.0,1.0
2019-11-01,09:48,09:48 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:49,09:49 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:50,09:50 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:51,09:51 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:52,09:52 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:53,09:53 AM,294.52,294.52,294.52,294.52,294.52,25.0,7363.0,1.0
2019-11-01,09:54,09:54 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:55,09:55 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:56,09:56 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:57,09:57 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:58,09:58 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:59,09:59 AM,294.04,293.365,293.365,294.04,293.663,371.0,108948.915,4.0
2019-11-01,10:00,10 AM,293.74,293.74,293.74,293.74,293.74,100.0,29374.0,1.0
2019-11-01,10:01,10:01 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:02,10:02 AM,,,,,,0.0,0.0,0.0
