date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,134.07,134.07,134.07,134.07,134.07,100,13407.0,1
2019-11-01,09:32,09:32 AM,134.355,134.18,134.18,134.355,134.35299999999998,101,13569.68,2
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,135.59,135.59,135.59,135.59,135.59,100,13559.0,1
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,135.9,135.825,135.825,135.9,135.889,23,3125.455,3
2019-11-01,09:41,09:41 AM,135.835,135.575,135.835,135.575,135.705,4,542.82,2
2019-11-01,09:42,09:42 AM,135.71,135.71,135.71,135.71,135.71,2,271.42,1
2019-11-01,09:43,09:43 AM,135.765,135.765,135.765,135.765,135.765,1,135.765,1
2019-11-01,09:44,09:44 AM,135.765,135.765,135.765,135.765,135.765,2,271.53,1
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,136.14,135.995,136.14,135.995,136.003,690,93841.86,3
2019-11-01,09:47,09:47 AM,136.06,135.95,136.06,135.95,136.058,102,13877.9,2
2019-11-01,09:48,09:48 AM,135.925,135.81,135.925,135.9,135.868,502,68205.85,5
2019-11-01,09:49,09:49 AM,135.58,135.58,135.58,135.58,135.58,100,13558.0,1
2019-11-01,09:50,09:50 AM,135.62,135.605,135.62,135.605,135.61,302,40954.21,4
2019-11-01,09:51,09:51 AM,135.6,135.6,135.6,135.6,135.6,2,271.2,1
2019-11-01,09:52,09:52 AM,135.495,135.495,135.495,135.495,135.495,200,27099.0,1
2019-11-01,09:53,09:53 AM,135.61,135.385,135.595,135.385,135.526,602,81586.9,7
2019-11-01,09:54,09:54 AM,135.42,135.39,135.42,135.39,135.41,300,40623.0,3
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,135.465,135.43,135.44,135.43,135.44299999999998,800,108354.5,8
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,135.375,135.375,135.375,135.375,135.375,200,27075.0,2
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,135.655,135.51,135.51,135.655,135.583,200,27116.5,2
2019-11-01,10:01,10:01 AM,135.55,135.335,135.335,135.55,135.347,1715,232121.025,2
2019-11-01,10:02,10:02 AM,135.54,135.44,135.54,135.49,135.49,300,40647.0,3
2019-11-01,10:03,10:03 AM,135.53,135.46,135.46,135.53,135.477,400,54191.0,4
2019-11-01,10:04,10:04 AM,135.23,135.08,135.22,135.2,135.149,1200,162179.0,7
2019-11-01,10:05,10:05 AM,,,,,,0,0.0,0
2019-11-01,10:06,10:06 AM,135.05,134.99,135.04,135.01,135.02,500,67510.0,5
2019-11-01,10:07,10:07 AM,135.19,135.19,135.19,135.19,135.19,100,13519.0,1
2019-11-01,10:08,10:08 AM,135.225,135.22,135.225,135.22,135.222,200,27044.5,2
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,135.1,135.1,135.1,135.1,135.1,20,2702.0,1
2019-11-01,10:11,10:11 AM,135.26,135.12,135.12,135.26,135.244,9,1217.2,2
2019-11-01,10:12,10:12 AM,135.5,135.4,135.4,135.5,135.433,300,40630.0,3
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
2019-11-01,10:14,10:14 AM,,,,,,0,0.0,0
2019-11-01,10:15,10:15 AM,135.55,135.55,135.55,135.55,135.55,100,13555.0,1
2019-11-01,10:16,10:16 AM,,,,,,0,0.0,0
2019-11-01,10:17,10:17 AM,,,,,,0,0.0,0
2019-11-01,10:18,10:18 AM,,,,,,0,0.0,0
2019-11-01,10:19,10:19 AM,,,,,,0,0.0,0
2019-11-01,10:20,10:20 AM,,,,,,0,0.0,0
2019-11-01,10:21,10:21 AM,,,,,,0,0.0,0
2019-11-01,10:22,10:22 AM,,,,,,0,0.0,0
2019-11-01,10:23,10:23 AM,,,,,,0,0.0,0
2019-11-01,10:24,10:24 AM,,,,,,0,0.0,0
2019-11-01,10:25,10:25 AM,,,,,,0,0.0,0
2019-11-01,10:26,10:26 AM,135.68,135.68,135.68,135.68,135.68,400,54272.0,3
2019-11-01,10:27,10:27 AM,135.7,135.66,135.7,135.66,135.68,200,27136.0,2
2019-11-01,10:28,10:28 AM,135.59,135.59,135.59,135.59,135.59,70,9491.3,1
2019-11-01,10:29,10:29 AM,,,,,,0,0.0,0
2019-11-01,10:30,10:30 AM,135.64,135.59,135.59,135.64,135.635,110,14919.9,2
2019-11-01,10:31,10:31 AM,135.58,135.58,135.58,135.58,135.58,3,406.74,2
2019-11-01,10:32,10:32 AM,,,,,,0,0.0,0
2019-11-01,10:33,10:33 AM,135.53,135.53,135.53,135.53,135.53,100,13553.0,1
2019-11-01,10:34,10:34 AM,135.55,135.55,135.55,135.55,135.55,1,135.55,1
2019-11-01,10:35,10:35 AM,135.35,135.35,135.35,135.35,135.35,100,13535.0,3
2019-11-01,10:36,10:36 AM,135.35,135.35,135.35,135.35,135.35,10,1353.5,1
2019-11-01,10:37,10:37 AM,135.3,135.3,135.3,135.3,135.3,100,13530.0,1
2019-11-01,10:38,10:38 AM,,,,,,0,0.0,0
2019-11-01,10:39,10:39 AM,135.41,135.41,135.41,135.41,135.41,10,1354.1,1
2019-11-01,10:40,10:40 AM,,,,,,0,0.0,0
2019-11-01,10:41,10:41 AM,135.42,135.41,135.42,135.41,135.412,100,13541.2,2
2019-11-01,10:42,10:42 AM,135.41,135.41,135.41,135.41,135.41,100,13541.0,1
2019-11-01,10:43,10:43 AM,,,,,,0,0.0,0
2019-11-01,10:44,10:44 AM,135.36,135.35,135.35,135.36,135.355,20,2707.1,2
2019-11-01,10:45,10:45 AM,,,,,,0,0.0,0
2019-11-01,10:46,10:46 AM,135.59,135.48,135.48,135.59,135.545,401,54353.48,5
2019-11-01,10:47,10:47 AM,135.53,135.53,135.53,135.53,135.53,10,1355.3,1
2019-11-01,10:48,10:48 AM,135.59,135.565,135.59,135.565,135.577,200,27115.5,2
2019-11-01,10:49,10:49 AM,135.605,135.57,135.57,135.605,135.585,300,40675.5,3
2019-11-01,10:50,10:50 AM,135.65,135.58,135.65,135.58,135.606,432,58581.8,5
2019-11-01,10:51,10:51 AM,135.5,135.365,135.5,135.365,135.399,500,67699.5,5
2019-11-01,10:52,10:52 AM,,,,,,0,0.0,0
2019-11-01,10:53,10:53 AM,,,,,,0,0.0,0
2019-11-01,10:54,10:54 AM,135.3,135.3,135.3,135.3,135.3,100,13530.0,1
2019-11-01,10:55,10:55 AM,,,,,,0,0.0,0
2019-11-01,10:56,10:56 AM,,,,,,0,0.0,0
2019-11-01,10:57,10:57 AM,135.07,135.07,135.07,135.07,135.07,100,13507.0,1
2019-11-01,10:58,10:58 AM,,,,,,0,0.0,0
2019-11-01,10:59,10:59 AM,135.07,135.03,135.03,135.07,135.046,490,66172.3,5
2019-11-01,11:00,11 AM,134.97,134.97,134.97,134.97,134.97,100,13497.0,1
2019-11-01,11:01,11:01 AM,134.96,134.745,134.96,134.745,134.863,304,40998.52,4
2019-11-01,11:02,11:02 AM,,,,,,0,0.0,0
2019-11-01,11:03,11:03 AM,134.74,134.58,134.74,134.63,134.625,610,82121.0,7
2019-11-01,11:04,11:04 AM,,,,,,0,0.0,0
2019-11-01,11:05,11:05 AM,134.62,134.585,134.62,134.585,134.597,29,3903.315,2
2019-11-01,11:06,11:06 AM,134.655,134.655,134.655,134.655,134.655,100,13465.5,1
2019-11-01,11:07,11:07 AM,134.67,134.655,134.655,134.67,134.662,200,26932.5,2
2019-11-01,11:08,11:08 AM,134.655,134.62,134.62,134.655,134.626,120,16155.1,2
2019-11-01,11:09,11:09 AM,134.61,134.53,134.61,134.565,134.55700000000002,538,72391.68,5
2019-11-01,11:10,11:10 AM,134.415,134.415,134.415,134.415,134.415,200,26883.0,2
2019-11-01,11:11,11:11 AM,134.59,134.47,134.47,134.59,134.56,504,67818.38,7
2019-11-01,11:12,11:12 AM,,,,,,0,0.0,0
2019-11-01,11:13,11:13 AM,,,,,,0,0.0,0
2019-11-01,11:14,11:14 AM,,,,,,0,0.0,0
2019-11-01,11:15,11:15 AM,,,,,,0,0.0,0
2019-11-01,11:16,11:16 AM,134.475,134.415,134.415,134.475,134.435,300,40330.5,2
