date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,69.68,69.595,69.68,69.595,69.656,701,48828.68,5
2019-11-01,09:33,09:33 AM,69.59,69.59,69.59,69.59,69.59,100,6959.0,1
2019-11-01,09:34,09:34 AM,69.71,69.59,69.62,69.71,69.64,300,20892.0,3
2019-11-01,09:35,09:35 AM,69.795,69.75,69.795,69.75,69.77199999999999,200,13954.5,2
2019-11-01,09:36,09:36 AM,69.82,69.82,69.82,69.82,69.82,1,69.82,1
2019-11-01,09:37,09:37 AM,69.82,69.74,69.82,69.81,69.80199999999999,208,14518.775,8
2019-11-01,09:38,09:38 AM,69.92,69.85,69.85,69.92,69.911,22,1538.035,4
2019-11-01,09:39,09:39 AM,69.885,69.875,69.875,69.885,69.876,7,489.135,4
2019-11-01,09:40,09:40 AM,69.92,69.64,69.895,69.64,69.78,1401,97762.365,13
2019-11-01,09:41,09:41 AM,69.69,69.69,69.69,69.69,69.69,1,69.69,1
2019-11-01,09:42,09:42 AM,,,,,,0,0.0,0
2019-11-01,09:43,09:43 AM,69.695,69.665,69.695,69.67,69.693,143,9966.16,7
2019-11-01,09:44,09:44 AM,69.695,69.695,69.695,69.695,69.695,519,36171.705,5
2019-11-01,09:45,09:45 AM,69.75,69.69,69.715,69.69,69.736,307,21408.97,6
2019-11-01,09:46,09:46 AM,69.685,69.54,69.685,69.54,69.54899999999999,306,21282.11,4
2019-11-01,09:47,09:47 AM,69.55,69.515,69.515,69.55,69.532,200,13906.5,2
2019-11-01,09:48,09:48 AM,69.56,69.55,69.56,69.55,69.556,233,16206.48,3
2019-11-01,09:49,09:49 AM,69.625,69.545,69.545,69.625,69.547,44,3060.06,3
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,69.65,69.65,69.65,69.65,69.65,100,6965.0,1
2019-11-01,09:52,09:52 AM,69.68,69.68,69.68,69.68,69.68,4,278.72,1
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,69.675,69.66,69.675,69.66,69.66199999999999,92,6408.885,2
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,69.74,69.74,69.74,69.74,69.74,11,767.14,1
2019-11-01,09:58,09:58 AM,69.8,69.8,69.8,69.8,69.8,5,349.0,1
2019-11-01,09:59,09:59 AM,69.81,69.81,69.81,69.81,69.81,10,698.1,3
2019-11-01,10:00,10 AM,69.775,69.66,69.73,69.775,69.72800000000001,106,7391.135,4
2019-11-01,10:01,10:01 AM,69.895,69.795,69.795,69.895,69.861,305,21307.475,5
2019-11-01,10:02,10:02 AM,69.98,69.98,69.98,69.98,69.98,1,69.98,1
2019-11-01,10:03,10:03 AM,70.11,70.055,70.055,70.11,70.082,200,14016.5,2
2019-11-01,10:04,10:04 AM,,,,,,0,0.0,0
2019-11-01,10:05,10:05 AM,,,,,,0,0.0,0
2019-11-01,10:06,10:06 AM,70.09,70.065,70.065,70.075,70.067,117,8197.79,3
2019-11-01,10:07,10:07 AM,70.055,70.055,70.055,70.055,70.055,100,7005.5,1
2019-11-01,10:08,10:08 AM,70.02,70.02,70.02,70.02,70.02,201,14074.02,3
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
