date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,10.11,10.1,10.1,10.11,10.106,2622,26497.305,12
2019-11-01,09:31,09:31 AM,10.14,10.07,10.125,10.07,10.121,9404,95183.145,35
2019-11-01,09:32,09:32 AM,10.085,10.065,10.075,10.065,10.072000000000001,2200,22158.0,17
2019-11-01,09:33,09:33 AM,10.115,10.065,10.065,10.115,10.1,1900,19190.0,16
2019-11-01,09:34,09:34 AM,10.145,10.115,10.115,10.145,10.123,2964,30005.51,35
2019-11-01,09:35,09:35 AM,10.16,10.115,10.145,10.145,10.146,5879,59648.285,47
2019-11-01,09:36,09:36 AM,10.15,10.125,10.15,10.125,10.145,3302,33497.8,17
2019-11-01,09:37,09:37 AM,10.135,10.125,10.135,10.125,10.128,5429,54985.77,29
2019-11-01,09:38,09:38 AM,10.15,10.13,10.13,10.145,10.144,6504,65979.02,32
2019-11-01,09:39,09:39 AM,10.17,10.145,10.145,10.165,10.156,4200,42656.0,23
2019-11-01,09:40,09:40 AM,10.19,10.145,10.165,10.155,10.176,13449,136858.815,40
2019-11-01,09:41,09:41 AM,10.155,10.135,10.15,10.145,10.144,7500,76077.47,28
2019-11-01,09:42,09:42 AM,10.15,10.135,10.145,10.145,10.145,4000,40580.655,23
2019-11-01,09:43,09:43 AM,10.155,10.145,10.145,10.155,10.148,2614,26528.1,16
2019-11-01,09:44,09:44 AM,10.18,10.155,10.155,10.175,10.164,4000,40655.5,15
2019-11-01,09:45,09:45 AM,10.185,10.165,10.175,10.185,10.179,7814,79536.77,24
2019-11-01,09:46,09:46 AM,10.205,10.185,10.185,10.205,10.192,11710,119349.6,23
2019-11-01,09:47,09:47 AM,10.22,10.205,10.205,10.205,10.213,4017,41024.07,22
2019-11-01,09:48,09:48 AM,10.235,10.205,10.215,10.225,10.219,11902,121630.93,29
2019-11-01,09:49,09:49 AM,10.23,10.225,10.225,10.225,10.226,3200,32725.0,13
2019-11-01,09:50,09:50 AM,10.235,10.215,10.235,10.215,10.222999999999999,4200,42936.0,19
2019-11-01,09:51,09:51 AM,10.235,10.215,10.215,10.235,10.222999999999999,1904,19464.94,15
2019-11-01,09:52,09:52 AM,10.24,10.23,10.235,10.235,10.234,11154,114154.44,29
2019-11-01,09:53,09:53 AM,10.25,10.235,10.245,10.245,10.244000000000002,14882,152450.15,34
2019-11-01,09:54,09:54 AM,10.245,10.235,10.245,10.24,10.236,5099,52192.96,17
2019-11-01,09:55,09:55 AM,10.26,10.245,10.245,10.26,10.255,3459,35473.75,15
2019-11-01,09:56,09:56 AM,10.275,10.26,10.27,10.265,10.269,6100,62638.5,30
2019-11-01,09:57,09:57 AM,10.265,10.26,10.265,10.265,10.265,5900,60562.5,12
2019-11-01,09:58,09:58 AM,10.28,10.265,10.265,10.28,10.277999999999999,2763,28398.78,16
2019-11-01,09:59,09:59 AM,10.28,10.275,10.275,10.275,10.275,1136,11672.58,8
2019-11-01,10:00,10 AM,10.27,10.21,10.27,10.255,10.232999999999999,15904,162741.19,51
2019-11-01,10:01,10:01 AM,10.28,10.255,10.255,10.275,10.275,2807,28842.925,10
2019-11-01,10:02,10:02 AM,10.295,10.285,10.285,10.295,10.287,2093,21530.185,20
2019-11-01,10:03,10:03 AM,10.3,10.275,10.3,10.275,10.293,2237,23025.075,13
2019-11-01,10:04,10:04 AM,10.275,10.265,10.275,10.275,10.267999999999999,27670,284132.05,73
2019-11-01,10:05,10:05 AM,10.28,10.265,10.275,10.275,10.275,7100,72951.0,25
2019-11-01,10:06,10:06 AM,10.275,10.26,10.275,10.265,10.267999999999999,2505,25721.3,14
2019-11-01,10:07,10:07 AM,10.275,10.265,10.265,10.275,10.272,700,7190.5,7
2019-11-01,10:08,10:08 AM,10.28,10.275,10.275,10.28,10.277999999999999,1500,15416.5,10
2019-11-01,10:09,10:09 AM,10.275,10.24,10.275,10.25,10.255,3943,40437.69,20
2019-11-01,10:10,10:10 AM,10.265,10.255,10.255,10.255,10.259,2336,23964.36,13
2019-11-01,10:11,10:11 AM,10.27,10.255,10.255,10.265,10.263,3898,40004.97,13
2019-11-01,10:12,10:12 AM,10.28,10.265,10.265,10.275,10.274000000000001,1808,18575.2,12
2019-11-01,10:13,10:13 AM,10.29,10.275,10.275,10.29,10.286,8341,85793.475,29
2019-11-01,10:14,10:14 AM,10.29,10.285,10.285,10.285,10.286,2305,23709.425,22
2019-11-01,10:15,10:15 AM,10.29,10.275,10.29,10.28,10.283,4650,47817.255,18
2019-11-01,10:16,10:16 AM,10.285,10.275,10.275,10.285,10.282,1820,18712.865,17
2019-11-01,10:17,10:17 AM,10.29,10.28,10.285,10.28,10.284,2664,27397.74,22
2019-11-01,10:18,10:18 AM,10.28,10.27,10.28,10.275,10.276,2901,29810.275,18
2019-11-01,10:19,10:19 AM,10.28,10.265,10.275,10.275,10.270999999999999,3873,39781.595,22
2019-11-01,10:20,10:20 AM,10.28,10.275,10.28,10.275,10.279000000000002,3386,34805.56,12
2019-11-01,10:21,10:21 AM,10.275,10.275,10.275,10.275,10.275,1973,20272.575,13
2019-11-01,10:22,10:22 AM,10.285,10.275,10.275,10.275,10.277999999999999,3917,40260.76,18
2019-11-01,10:23,10:23 AM,10.285,10.275,10.285,10.275,10.279000000000002,1300,13363.0,7
2019-11-01,10:24,10:24 AM,10.28,10.275,10.275,10.28,10.275,5000,51377.5,14
2019-11-01,10:25,10:25 AM,10.28,10.27,10.275,10.275,10.276,3300,33910.5,11
