date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,63.93,63.76,63.76,63.93,63.76300000000001,102,6503.86,2
2019-11-01,09:31,09:31 AM,64.0,64.0,64.0,64.0,64.0,100,6400.0,1
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,64.065,64.06,64.06,64.065,64.061,1478,94682.18,10
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,64.0,64.0,64.0,64.0,64.0,700,44800.0,3
2019-11-01,09:36,09:36 AM,64.14,64.13,64.13,64.14,64.133,700,44893.5,4
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,64.19,64.19,64.19,64.19,64.19,300,19257.0,2
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,,,,,,0,0.0,0
2019-11-01,09:41,09:41 AM,64.1,64.04,64.1,64.04,64.08,300,19224.0,2
2019-11-01,09:42,09:42 AM,64.06,64.06,64.06,64.06,64.06,100,6406.0,1
2019-11-01,09:43,09:43 AM,64.02,64.01,64.015,64.02,64.017,200,12803.35,3
2019-11-01,09:44,09:44 AM,64.06,64.03,64.03,64.06,64.032,108,6915.48,3
2019-11-01,09:45,09:45 AM,64.11,64.1,64.1,64.11,64.1,2100,134611.0,4
2019-11-01,09:46,09:46 AM,64.195,64.195,64.195,64.195,64.195,100,6419.5,1
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,64.22,64.19,64.2,64.22,64.205,201,12905.2,3
2019-11-01,09:49,09:49 AM,64.245,64.245,64.245,64.245,64.245,100,6424.5,1
2019-11-01,09:50,09:50 AM,64.29,64.265,64.29,64.29,64.281,401,25776.78,5
2019-11-01,09:51,09:51 AM,64.36,64.34,64.34,64.36,64.35300000000001,300,19306.0,3
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,64.52,64.51,64.52,64.51,64.51,101,6515.52,2
2019-11-01,09:54,09:54 AM,64.53,64.505,64.51,64.53,64.52,200,12903.95,3
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,64.535,64.51,64.535,64.51,64.527,150,9679.0,2
2019-11-01,09:57,09:57 AM,64.49,64.46,64.49,64.46,64.46600000000001,169,10894.77,3
2019-11-01,09:58,09:58 AM,64.43,64.39,64.43,64.39,64.407,400,25763.0,4
2019-11-01,09:59,09:59 AM,64.4,64.37,64.4,64.37,64.39,204,13135.48,3
2019-11-01,10:00,10 AM,64.345,64.33,64.33,64.345,64.335,327,21037.41,5
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,64.43,64.43,64.43,64.43,64.43,2,128.86,1
2019-11-01,10:03,10:03 AM,64.48,64.48,64.48,64.48,64.48,5,322.4,1
2019-11-01,10:04,10:04 AM,64.54,64.51,64.54,64.51,64.535,201,12971.51,3
2019-11-01,10:05,10:05 AM,64.535,64.52,64.535,64.52,64.528,200,12905.5,2
2019-11-01,10:06,10:06 AM,64.51,64.49,64.49,64.49,64.497,301,19413.495,6
2019-11-01,10:07,10:07 AM,64.5,64.44,64.47,64.5,64.471,455,29334.35,5
2019-11-01,10:08,10:08 AM,64.51,64.5,64.5,64.51,64.505,225,14513.75,2
2019-11-01,10:09,10:09 AM,64.51,64.48,64.51,64.48,64.493,168,10834.89,2
2019-11-01,10:10,10:10 AM,64.49,64.47,64.47,64.49,64.477,150,9671.5,2
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,64.49,64.49,64.49,64.49,64.49,100,6449.0,1
2019-11-01,10:13,10:13 AM,64.5,64.5,64.5,64.5,64.5,18,1161.0,1
2019-11-01,10:14,10:14 AM,64.5,64.48,64.49,64.5,64.488,600,38693.0,6
2019-11-01,10:15,10:15 AM,64.525,64.52,64.525,64.52,64.525,101,6517.02,2
2019-11-01,10:16,10:16 AM,64.55,64.55,64.55,64.55,64.55,5,322.75,1
2019-11-01,10:17,10:17 AM,64.6,64.555,64.56,64.56,64.589,1654,106830.215,8
2019-11-01,10:18,10:18 AM,64.57,64.57,64.57,64.57,64.57,1,64.57,1
2019-11-01,10:19,10:19 AM,64.55,64.55,64.55,64.55,64.55,100,6455.0,1
2019-11-01,10:20,10:20 AM,64.54,64.52,64.54,64.52,64.539,106,6841.12,3
2019-11-01,10:21,10:21 AM,64.495,64.495,64.495,64.495,64.495,100,6449.5,1
2019-11-01,10:22,10:22 AM,64.51,64.495,64.495,64.51,64.502,300,19350.5,3
2019-11-01,10:23,10:23 AM,64.51,64.49,64.5,64.51,64.50399999999999,238,15351.88,5
2019-11-01,10:24,10:24 AM,64.54,64.53,64.54,64.53,64.538,500,32269.0,4
2019-11-01,10:25,10:25 AM,64.53,64.52,64.53,64.52,64.53,103,6646.56,2
2019-11-01,10:26,10:26 AM,64.53,64.53,64.53,64.53,64.53,100,6453.0,1
2019-11-01,10:27,10:27 AM,64.545,64.52,64.52,64.54,64.535,300,19360.5,3
2019-11-01,10:28,10:28 AM,64.535,64.53,64.535,64.53,64.535,101,6518.03,2
2019-11-01,10:29,10:29 AM,64.54,64.52,64.53,64.53,64.535,203,13100.57,4
2019-11-01,10:30,10:30 AM,64.515,64.515,64.515,64.515,64.515,45,2903.175,1
2019-11-01,10:31,10:31 AM,64.625,64.605,64.605,64.625,64.615,200,12923.0,2
2019-11-01,10:32,10:32 AM,64.66,64.615,64.615,64.66,64.641,250,16160.23,4
2019-11-01,10:33,10:33 AM,64.73,64.71,64.71,64.73,64.72,130,8413.6,2
2019-11-01,10:34,10:34 AM,64.74,64.72,64.74,64.72,64.74,1066,69012.72,6
2019-11-01,10:35,10:35 AM,64.8,64.8,64.8,64.8,64.8,400,25920.0,1
2019-11-01,10:36,10:36 AM,,,,,,0,0.0,0
2019-11-01,10:37,10:37 AM,64.78,64.78,64.78,64.78,64.78,100,6478.0,1
2019-11-01,10:38,10:38 AM,64.76,64.75,64.76,64.75,64.755,213,13792.78,5
2019-11-01,10:39,10:39 AM,64.76,64.755,64.755,64.76,64.756,119,7705.94,2
2019-11-01,10:40,10:40 AM,64.78,64.77,64.77,64.78,64.779,319,20664.63,5
2019-11-01,10:41,10:41 AM,64.76,64.755,64.76,64.755,64.76,271,17549.935,6
2019-11-01,10:42,10:42 AM,64.78,64.77,64.77,64.78,64.777,150,9716.5,2
2019-11-01,10:43,10:43 AM,64.93,64.81,64.81,64.92,64.896,1233,80017.04,10
2019-11-01,10:44,10:44 AM,64.985,64.93,64.945,64.96,64.95100000000001,379,24616.535,5
2019-11-01,10:45,10:45 AM,64.96,64.94,64.96,64.955,64.941,105,6818.78,3
2019-11-01,10:46,10:46 AM,64.95,64.91,64.95,64.91,64.918,501,32523.93,7
2019-11-01,10:47,10:47 AM,64.96,64.95,64.95,64.96,64.953,301,19550.955,4
2019-11-01,10:48,10:48 AM,64.97,64.97,64.97,64.97,64.97,100,6497.0,1
2019-11-01,10:49,10:49 AM,64.97,64.955,64.97,64.96,64.96,10,649.595,4
2019-11-01,10:50,10:50 AM,,,,,,0,0.0,0
2019-11-01,10:51,10:51 AM,64.905,64.905,64.905,64.905,64.905,100,6490.5,1
2019-11-01,10:52,10:52 AM,64.89,64.89,64.89,64.89,64.89,155,10057.95,3
2019-11-01,10:53,10:53 AM,64.87,64.86,64.86,64.87,64.863,6,389.18,3
2019-11-01,10:54,10:54 AM,,,,,,0,0.0,0
2019-11-01,10:55,10:55 AM,64.84,64.84,64.84,64.84,64.84,1,64.84,1
2019-11-01,10:56,10:56 AM,64.84,64.84,64.84,64.84,64.84,100,6484.0,1
2019-11-01,10:57,10:57 AM,64.85,64.77,64.85,64.77,64.84100000000001,112,7262.24,2
2019-11-01,10:58,10:58 AM,64.84,64.83,64.84,64.83,64.835,200,12967.0,2
2019-11-01,10:59,10:59 AM,64.84,64.82,64.84,64.82,64.83,300,19449.0,3
2019-11-01,11:00,11 AM,64.86,64.85,64.86,64.85,64.857,176,11414.83,5
2019-11-01,11:01,11:01 AM,64.865,64.85,64.865,64.85,64.858,200,12971.5,2
2019-11-01,11:02,11:02 AM,64.805,64.805,64.805,64.805,64.805,100,6480.5,1
2019-11-01,11:03,11:03 AM,64.82,64.805,64.805,64.82,64.812,222,14388.32,3
2019-11-01,11:04,11:04 AM,64.835,64.81,64.83,64.815,64.82,2718,176181.055,15
2019-11-01,11:05,11:05 AM,64.815,64.79,64.815,64.79,64.805,724,46919.06,7
2019-11-01,11:06,11:06 AM,,,,,,0,0.0,0
2019-11-01,11:07,11:07 AM,64.78,64.78,64.78,64.78,64.78,4,259.12,2
2019-11-01,11:08,11:08 AM,64.755,64.75,64.755,64.75,64.752,200,12950.5,2
2019-11-01,11:09,11:09 AM,64.735,64.735,64.735,64.735,64.735,17,1100.495,1
2019-11-01,11:10,11:10 AM,64.73,64.73,64.73,64.73,64.73,44,2848.12,2
2019-11-01,11:11,11:11 AM,,,,,,0,0.0,0
2019-11-01,11:12,11:12 AM,,,,,,0,0.0,0
2019-11-01,11:13,11:13 AM,64.73,64.73,64.73,64.73,64.73,102,6602.46,2
2019-11-01,11:14,11:14 AM,64.73,64.73,64.73,64.73,64.73,1,64.73,1
2019-11-01,11:15,11:15 AM,64.74,64.73,64.73,64.74,64.73,103,6667.22,2
2019-11-01,11:16,11:16 AM,64.73,64.71,64.71,64.73,64.725,204,13203.84,3
2019-11-01,11:17,11:17 AM,64.755,64.755,64.755,64.755,64.755,7,453.285,1
2019-11-01,11:18,11:18 AM,64.785,64.77,64.77,64.77,64.783,120,7773.92,4
2019-11-01,11:19,11:19 AM,64.78,64.77,64.77,64.78,64.78,102,6607.54,3
2019-11-01,11:20,11:20 AM,64.815,64.8,64.8,64.815,64.808,229,14841.135,2
2019-11-01,11:21,11:21 AM,64.79,64.79,64.79,64.79,64.79,224,14512.96,1
