date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,1268.52,1265.07,1265.07,1267.18,1266.5639999999999,638,808067.825,9
2019-11-01,09:31,09:31 AM,1266.75,1266.45,1266.45,1266.75,1266.567,100,126656.7,2
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,1264.575,1264.45,1264.575,1264.45,1264.51,122,154270.275,3
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,1264.83,1263.41,1263.41,1264.83,1264.287,280,354000.525,4
2019-11-01,09:36,09:36 AM,1265.175,1265.1,1265.1,1265.175,1265.147,62,78439.125,2
2019-11-01,09:37,09:37 AM,1264.47,1264.47,1264.47,1264.47,1264.47,23,29082.81,1
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,1265.87,1265.87,1265.87,1265.87,1265.87,56,70888.72,1
2019-11-01,09:40,09:40 AM,1264.72,1264.72,1264.72,1264.72,1264.72,23,29088.56,1
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,1264.66,1264.32,1264.32,1264.66,1264.377,12,15172.52,2
2019-11-01,09:43,09:43 AM,1264.49,1264.49,1264.49,1264.49,1264.49,100,126449.0,1
2019-11-01,09:44,09:44 AM,1264.84,1264.51,1264.51,1264.84,1264.692,227,287085.09,4
2019-11-01,09:45,09:45 AM,1264.81,1263.98,1263.98,1264.79,1264.796,201,254223.98,5
2019-11-01,09:46,09:46 AM,1264.76,1264.76,1264.76,1264.76,1264.76,2,2529.52,1
2019-11-01,09:47,09:47 AM,1265.0,1265.0,1265.0,1265.0,1265.0,69,87285.0,1
2019-11-01,09:48,09:48 AM,1264.94,1264.94,1264.94,1264.94,1264.94,23,29093.62,1
2019-11-01,09:49,09:49 AM,1264.42,1264.42,1264.42,1264.42,1264.42,23,29081.66,1
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,1266.21,1265.975,1266.21,1265.975,1266.201,26,32921.225,2
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,1267.27,1266.875,1266.875,1267.03,1267.146,203,257230.625,3
2019-11-01,09:58,09:58 AM,1267.82,1267.82,1267.82,1267.82,1267.82,77,97622.14,1
2019-11-01,09:59,09:59 AM,1268.0,1267.91,1268.0,1267.91,1267.955,200,253591.0,2
2019-11-01,10:00,10 AM,,,,,,0,0.0,0
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,1268.77,1268.77,1268.77,1268.77,1268.77,4,5075.08,1
2019-11-01,10:03,10:03 AM,1269.75,1269.04,1269.75,1269.04,1269.289,863,1095396.52,9
2019-11-01,10:04,10:04 AM,1268.95,1268.2,1268.95,1268.2,1268.943,101,128163.2,2
2019-11-01,10:05,10:05 AM,1269.29,1268.31,1268.31,1269.29,1268.8239999999996,510,647100.1,6
2019-11-01,10:06,10:06 AM,,,,,,0,0.0,0
2019-11-01,10:07,10:07 AM,1269.26,1269.26,1269.26,1269.26,1269.26,1,1269.26,1
2019-11-01,10:08,10:08 AM,,,,,,0,0.0,0
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,1268.75,1268.75,1268.75,1268.75,1268.75,1,1268.75,1
2019-11-01,10:11,10:11 AM,1269.83,1269.44,1269.83,1269.48,1269.469,205,260241.15,3
2019-11-01,10:12,10:12 AM,,,,,,0,0.0,0
2019-11-01,10:13,10:13 AM,1270.16,1270.16,1270.16,1270.16,1270.16,100,127016.0,1
2019-11-01,10:14,10:14 AM,,,,,,0,0.0,0
2019-11-01,10:15,10:15 AM,1270.0,1270.0,1270.0,1270.0,1270.0,10,12700.0,1
2019-11-01,10:16,10:16 AM,1269.67,1269.67,1269.67,1269.67,1269.67,100,126967.0,1
2019-11-01,10:17,10:17 AM,1270.05,1269.665,1270.05,1269.665,1269.871,223,283181.295,3
2019-11-01,10:18,10:18 AM,1269.485,1268.9,1269.485,1268.9,1268.9769999999999,211,267754.155,5
2019-11-01,10:19,10:19 AM,1268.75,1268.525,1268.75,1268.72,1268.66,367,465598.25,4
