date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:31,09:31 AM,16.44,16.44,16.44,16.44,16.44,9.0,147.96,1.0
2019-11-01,09:32,09:32 AM,16.48,16.44,16.45,16.48,16.442999999999998,119.0,1956.76,3.0
2019-11-01,09:33,09:33 AM,16.52,16.52,16.52,16.52,16.52,200.0,3304.0,2.0
2019-11-01,09:34,09:34 AM,16.55,16.53,16.53,16.545,16.542,500.0,8271.0,5.0
2019-11-01,09:35,09:35 AM,16.525,16.52,16.525,16.52,16.523,300.0,4957.0,3.0
2019-11-01,09:36,09:36 AM,16.545,16.545,16.545,16.545,16.545,200.0,3309.0,2.0
2019-11-01,09:37,09:37 AM,16.58,16.555,16.56,16.58,16.570999999999998,700.0,11599.5,5.0
2019-11-01,09:38,09:38 AM,16.615,16.585,16.585,16.61,16.599,830.0,13777.65,8.0
2019-11-01,09:39,09:39 AM,16.625,16.605,16.605,16.625,16.615,800.0,13292.0,8.0
2019-11-01,09:40,09:40 AM,16.635,16.57,16.635,16.575,16.616,1854.0,30806.25,17.0
2019-11-01,09:41,09:41 AM,16.55,16.535,16.55,16.535,16.543,200.0,3308.5,2.0
2019-11-01,09:42,09:42 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:43,09:43 AM,16.555,16.555,16.555,16.555,16.555,100.0,1655.5,1.0
2019-11-01,09:44,09:44 AM,16.565,16.55,16.55,16.565,16.56,300.0,4968.0,3.0
2019-11-01,09:45,09:45 AM,16.545,16.54,16.545,16.54,16.544,900.0,14890.0,4.0
2019-11-01,09:46,09:46 AM,16.535,16.535,16.535,16.535,16.535,200.0,3307.0,1.0
2019-11-01,09:47,09:47 AM,16.56,16.555,16.555,16.56,16.558,208.0,3443.98,3.0
2019-11-01,09:48,09:48 AM,16.56,16.56,16.56,16.56,16.56,100.0,1656.0,1.0
2019-11-01,09:49,09:49 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:50,09:50 AM,16.58,16.565,16.565,16.565,16.572,10284.0,170426.46,15.0
2019-11-01,09:51,09:51 AM,16.585,16.57,16.57,16.585,16.57,103.0,1706.755,2.0
2019-11-01,09:52,09:52 AM,16.58,16.58,16.58,16.58,16.58,100.0,1658.0,1.0
2019-11-01,09:53,09:53 AM,16.575,16.555,16.575,16.555,16.57,400.0,6628.0,4.0
2019-11-01,09:54,09:54 AM,16.565,16.565,16.565,16.565,16.565,500.0,8282.5,4.0
2019-11-01,09:55,09:55 AM,16.615,16.575,16.575,16.615,16.592,700.0,11614.5,7.0
2019-11-01,09:56,09:56 AM,16.62,16.61,16.61,16.62,16.619,114.0,1894.54,2.0
2019-11-01,09:57,09:57 AM,16.615,16.615,16.615,16.615,16.615,200.0,3323.0,2.0
2019-11-01,09:58,09:58 AM,16.65,16.645,16.645,16.65,16.648,200.0,3329.5,2.0
2019-11-01,09:59,09:59 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:00,10 AM,16.62,16.605,16.62,16.605,16.609,400.0,6643.5,4.0
2019-11-01,10:01,10:01 AM,16.655,16.625,16.645,16.625,16.642,1204.0,20037.5,9.0
2019-11-01,10:02,10:02 AM,16.665,16.665,16.665,16.665,16.665,100.0,1666.5,1.0
2019-11-01,10:03,10:03 AM,16.685,16.675,16.675,16.685,16.682000000000002,300.0,5004.5,3.0
2019-11-01,10:04,10:04 AM,16.685,16.685,16.685,16.685,16.685,400.0,6674.0,2.0
2019-11-01,10:05,10:05 AM,16.695,16.69,16.69,16.69,16.694000000000006,401.0,6694.19,3.0
2019-11-01,10:06,10:06 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:07,10:07 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:08,10:08 AM,16.695,16.685,16.685,16.685,16.688,476.0,7943.44,5.0
2019-11-01,10:09,10:09 AM,16.675,16.675,16.675,16.675,16.675,300.0,5002.5,3.0
2019-11-01,10:10,10:10 AM,16.695,16.675,16.695,16.68,16.684,1003.0,16734.07,14.0
2019-11-01,10:11,10:11 AM,16.685,16.675,16.68,16.675,16.684,6204.0,103510.22,13.0
2019-11-01,10:12,10:12 AM,16.685,16.665,16.675,16.685,16.677,5200.0,86719.5,18.0
2019-11-01,10:13,10:13 AM,16.695,16.675,16.675,16.68,16.688,1316.0,21961.485,13.0
2019-11-01,10:14,10:14 AM,16.685,16.67,16.675,16.685,16.678,1440.0,24016.9,8.0
2019-11-01,10:15,10:15 AM,16.69,16.685,16.685,16.69,16.686,700.0,11680.5,7.0
2019-11-01,10:16,10:16 AM,16.715,16.695,16.695,16.715,16.705,201.0,3357.71,3.0
2019-11-01,10:17,10:17 AM,16.725,16.715,16.725,16.715,16.717,504.0,8425.4,5.0
2019-11-01,10:18,10:18 AM,16.725,16.71,16.72,16.71,16.721,801.0,13393.22,8.0
2019-11-01,10:19,10:19 AM,16.71,16.705,16.705,16.71,16.707,278.0,4644.49,3.0
2019-11-01,10:20,10:20 AM,16.705,16.705,16.705,16.705,16.705,100.0,1670.5,1.0
2019-11-01,10:21,10:21 AM,16.695,16.68,16.695,16.68,16.691,400.0,6676.5,3.0
2019-11-01,10:22,10:22 AM,16.685,16.685,16.685,16.685,16.685,900.0,15016.5,7.0
2019-11-01,10:23,10:23 AM,16.67,16.66,16.67,16.66,16.666,500.0,8333.0,3.0
2019-11-01,10:24,10:24 AM,16.635,16.635,16.635,16.635,16.635,1.0,16.635,1.0
2019-11-01,10:25,10:25 AM,16.67,16.635,16.635,16.67,16.651,500.0,8325.5,7.0
2019-11-01,10:26,10:26 AM,16.71,16.695,16.695,16.71,16.7,1980.0,33065.33,9.0
2019-11-01,10:27,10:27 AM,16.695,16.69,16.695,16.69,16.695,101.0,1686.19,2.0
2019-11-01,10:28,10:28 AM,16.705,16.68,16.68,16.705,16.686,4600.0,76754.0,7.0
2019-11-01,10:29,10:29 AM,16.715,16.715,16.715,16.715,16.715,100.0,1671.5,1.0
2019-11-01,10:30,10:30 AM,16.72,16.715,16.715,16.72,16.715999999999998,400.0,6686.5,4.0
2019-11-01,10:31,10:31 AM,16.72,16.71,16.72,16.715,16.715999999999998,600.0,10029.5,6.0
2019-11-01,10:32,10:32 AM,16.69,16.685,16.69,16.69,16.686,786.0,13115.34,8.0
2019-11-01,10:33,10:33 AM,16.7,16.685,16.685,16.7,16.692,1041.0,17376.99,8.0
2019-11-01,10:34,10:34 AM,16.695,16.685,16.695,16.685,16.686,807.0,13465.795,10.0
2019-11-01,10:35,10:35 AM,16.69,16.68,16.68,16.69,16.687,715.0,11931.2,7.0
