date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,93.72,93.54,93.72,93.54,93.541,200,18708.18,3
2019-11-01,09:33,09:33 AM,93.57,93.445,93.57,93.445,93.52799999999999,300,28058.5,3
2019-11-01,09:34,09:34 AM,93.59,93.41,93.49,93.59,93.509,365,34130.925,7
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,94.02,94.02,94.02,94.02,94.02,100,9402.0,1
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,93.96,93.755,93.96,93.755,93.757,101,9469.46,2
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,93.835,93.835,93.835,93.835,93.835,100,9383.5,1
2019-11-01,09:41,09:41 AM,93.94,93.94,93.94,93.94,93.94,100,9394.0,1
2019-11-01,09:42,09:42 AM,94.15,94.15,94.15,94.15,94.15,100,9415.0,1
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,94.36,94.36,94.36,94.36,94.36,100,9436.0,1
2019-11-01,09:45,09:45 AM,94.34,94.34,94.34,94.34,94.34,4,377.36,1
2019-11-01,09:46,09:46 AM,94.47,94.19,94.2,94.47,94.31,600,56586.0,6
2019-11-01,09:47,09:47 AM,94.47,94.47,94.47,94.47,94.47,100,9447.0,1
2019-11-01,09:48,09:48 AM,94.54,94.54,94.54,94.54,94.54,200,18908.0,2
2019-11-01,09:49,09:49 AM,94.555,94.555,94.555,94.555,94.555,200,18911.0,2
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,94.7,94.7,94.7,94.7,94.7,100,9470.0,1
2019-11-01,09:53,09:53 AM,94.57,94.57,94.57,94.57,94.57,2,189.14,2
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,,,,,,0,0.0,0
2019-11-01,10:01,10:01 AM,94.46,94.42,94.46,94.46,94.45,400,37780.0,4
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,94.49,94.49,94.49,94.49,94.49,100,9449.0,1
2019-11-01,10:04,10:04 AM,,,,,,0,0.0,0
2019-11-01,10:05,10:05 AM,94.57,94.56,94.57,94.56,94.566,160,15130.6,3
2019-11-01,10:06,10:06 AM,,,,,,0,0.0,0
2019-11-01,10:07,10:07 AM,94.61,94.61,94.61,94.61,94.61,100,9461.0,1
2019-11-01,10:08,10:08 AM,,,,,,0,0.0,0
2019-11-01,10:09,10:09 AM,94.63,94.61,94.62,94.62,94.62,400,37848.0,4
2019-11-01,10:10,10:10 AM,,,,,,0,0.0,0
2019-11-01,10:11,10:11 AM,94.55,94.55,94.55,94.55,94.55,10,945.5,1
2019-11-01,10:12,10:12 AM,94.585,94.585,94.585,94.585,94.585,2,189.17,1
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
