date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,48.48,48.48,48.48,48.48,48.48,100,4848.0,1
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,48.53,48.5,48.5,48.53,48.515,200,9703.0,3
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,,,,,,0,0.0,0
2019-11-01,09:41,09:41 AM,48.51,48.51,48.51,48.51,48.51,100,4851.0,1
2019-11-01,09:42,09:42 AM,48.515,48.5,48.5,48.515,48.506,400,19402.5,3
2019-11-01,09:43,09:43 AM,,,,,,0,0.0,0
2019-11-01,09:44,09:44 AM,48.52,48.52,48.52,48.52,48.52,28,1358.56,1
2019-11-01,09:45,09:45 AM,48.515,48.515,48.515,48.515,48.515,100,4851.5,1
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,48.54,48.53,48.54,48.53,48.535,200,9707.0,2
2019-11-01,09:49,09:49 AM,48.665,48.63,48.63,48.665,48.64100000000001,210,10214.65,3
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,48.73,48.725,48.725,48.73,48.73,493,24023.865,2
2019-11-01,09:52,09:52 AM,,,,,,0,0.0,0
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,48.75,48.75,48.75,48.75,48.75,100,4875.0,1
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,48.66,48.66,48.66,48.66,48.66,205,9975.3,2
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
