date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,16.57,16.57,16.57,16.57,16.57,100,1657.0,1
2019-11-01,09:35,09:35 AM,16.595,16.58,16.59,16.585,16.587,326,5407.27,8
2019-11-01,09:36,09:36 AM,16.595,16.57,16.585,16.57,16.58,1174,19464.86,19
2019-11-01,09:37,09:37 AM,16.575,16.56,16.57,16.57,16.572,553,9164.04,10
2019-11-01,09:38,09:38 AM,16.575,16.555,16.575,16.555,16.566,828,13716.71,9
2019-11-01,09:39,09:39 AM,16.57,16.56,16.565,16.565,16.566,669,11082.685,10
2019-11-01,09:40,09:40 AM,16.575,16.565,16.575,16.565,16.57,200,3314.0,2
2019-11-01,09:41,09:41 AM,16.565,16.555,16.56,16.555,16.558,651,10779.305,7
2019-11-01,09:42,09:42 AM,16.57,16.555,16.555,16.57,16.562,230,3809.3,3
2019-11-01,09:43,09:43 AM,16.57,16.565,16.57,16.565,16.567,323,5351.11,3
2019-11-01,09:44,09:44 AM,16.575,16.575,16.575,16.575,16.575,200,3315.0,1
2019-11-01,09:45,09:45 AM,16.58,16.57,16.575,16.57,16.574,561,9298.04,8
2019-11-01,09:46,09:46 AM,16.58,16.575,16.575,16.58,16.576,127,2105.16,3
2019-11-01,09:47,09:47 AM,16.595,16.595,16.595,16.595,16.595,200,3319.0,2
2019-11-01,09:48,09:48 AM,16.585,16.575,16.575,16.585,16.581,400,6632.5,3
2019-11-01,09:49,09:49 AM,16.59,16.585,16.585,16.59,16.585,1272,21096.48,7
2019-11-01,09:50,09:50 AM,16.595,16.59,16.595,16.59,16.594,400,6637.5,4
2019-11-01,09:51,09:51 AM,16.595,16.59,16.595,16.59,16.593,200,3318.5,2
2019-11-01,09:52,09:52 AM,16.605,16.595,16.595,16.595,16.596,1190,19749.45,9
2019-11-01,09:53,09:53 AM,16.595,16.58,16.595,16.58,16.589000000000002,500,8294.5,4
2019-11-01,09:54,09:54 AM,16.585,16.58,16.585,16.58,16.582,211,3498.88,4
2019-11-01,09:55,09:55 AM,16.58,16.58,16.58,16.58,16.58,11,182.38,4
2019-11-01,09:56,09:56 AM,16.61,16.595,16.61,16.605,16.602999999999998,600,9962.0,6
2019-11-01,09:57,09:57 AM,16.625,16.605,16.605,16.625,16.618,280,4653.0,3
2019-11-01,09:58,09:58 AM,16.635,16.635,16.635,16.635,16.635,300,4990.5,2
2019-11-01,09:59,09:59 AM,16.645,16.645,16.645,16.645,16.645,100,1664.5,1
2019-11-01,10:00,10 AM,16.665,16.64,16.65,16.665,16.655,606,10092.84,6
2019-11-01,10:01,10:01 AM,16.655,16.655,16.655,16.655,16.655,100,1665.5,1
2019-11-01,10:02,10:02 AM,16.675,16.665,16.675,16.67,16.67,509,8484.985,6
2019-11-01,10:03,10:03 AM,16.68,16.665,16.68,16.665,16.676,700,11673.5,7
2019-11-01,10:04,10:04 AM,16.675,16.665,16.665,16.675,16.67,500,8335.0,7
2019-11-01,10:05,10:05 AM,16.68,16.665,16.665,16.68,16.673,1400,23342.5,8
2019-11-01,10:06,10:06 AM,16.675,16.675,16.675,16.675,16.675,300,5002.5,3
2019-11-01,10:07,10:07 AM,16.68,16.665,16.68,16.665,16.665,3200,53329.5,5
