date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,95.045,94.94,95.045,94.94,95.044,101,9599.44,2
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,95.1,94.68,95.1,94.68,94.89,200,18978.0,2
2019-11-01,09:34,09:34 AM,94.78,94.695,94.695,94.78,94.73700000000001,200,18947.5,2
2019-11-01,09:35,09:35 AM,94.7,94.7,94.7,94.7,94.7,100,9470.0,1
2019-11-01,09:36,09:36 AM,94.98,94.715,94.715,94.98,94.846,202,19158.93,3
2019-11-01,09:37,09:37 AM,95.11,95.055,95.055,95.105,95.109,207,19687.535,5
2019-11-01,09:38,09:38 AM,95.1,94.86,95.1,94.86,94.984,512,48631.86,9
2019-11-01,09:39,09:39 AM,94.82,94.795,94.82,94.795,94.8,5,474.0,2
2019-11-01,09:40,09:40 AM,,,,,,0,0.0,0
2019-11-01,09:41,09:41 AM,95.18,95.09,95.09,95.16,95.148,12,1141.775,5
2019-11-01,09:42,09:42 AM,95.185,95.18,95.18,95.185,95.184,4,380.735,3
2019-11-01,09:43,09:43 AM,95.195,95.185,95.185,95.195,95.19,2,190.38,2
2019-11-01,09:44,09:44 AM,95.25,95.2,95.21,95.25,95.213,202,19233.0,4
2019-11-01,09:45,09:45 AM,95.225,95.07,95.22,95.07,95.162,614,58429.24,18
2019-11-01,09:46,09:46 AM,95.03,95.03,95.03,95.03,95.03,100,9503.0,1
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,94.94,94.94,94.94,94.94,94.94,100,9494.0,1
2019-11-01,09:49,09:49 AM,94.945,94.945,94.945,94.945,94.945,100,9494.5,1
2019-11-01,09:50,09:50 AM,,,,,,0,0.0,0
2019-11-01,09:51,09:51 AM,94.92,94.92,94.92,94.92,94.92,28,2657.76,2
2019-11-01,09:52,09:52 AM,94.89,94.84,94.845,94.89,94.85799999999999,300,28457.5,3
2019-11-01,09:53,09:53 AM,94.925,94.925,94.925,94.925,94.925,100,9492.5,1
2019-11-01,09:54,09:54 AM,94.82,94.82,94.82,94.82,94.82,14,1327.48,1
2019-11-01,09:55,09:55 AM,94.875,94.69,94.875,94.69,94.785,221,20947.405,3
2019-11-01,09:56,09:56 AM,94.615,94.615,94.615,94.615,94.615,100,9461.5,1
2019-11-01,09:57,09:57 AM,94.62,94.55,94.62,94.55,94.6,350,33110.0,2
2019-11-01,09:58,09:58 AM,94.55,94.55,94.55,94.55,94.55,200,18910.0,1
2019-11-01,09:59,09:59 AM,94.54,94.48,94.54,94.53,94.51700000000001,300,28355.0,3
2019-11-01,10:00,10 AM,94.58,94.535,94.535,94.58,94.536,103,9737.24,3
2019-11-01,10:01,10:01 AM,94.58,94.55,94.58,94.55,94.565,200,18913.0,3
