date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,70.425,70.425,70.425,70.425,70.425,100,7042.5,1
2019-11-01,09:32,09:32 AM,70.42,70.42,70.42,70.42,70.42,237,16689.54,1
2019-11-01,09:33,09:33 AM,70.355,70.355,70.355,70.355,70.355,100,7035.5,1
2019-11-01,09:34,09:34 AM,70.27,70.27,70.27,70.27,70.27,4,281.08,2
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,70.23,70.23,70.23,70.23,70.23,100,7023.0,1
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,,,,,,0,0.0,0
2019-11-01,09:41,09:41 AM,70.21,70.18,70.2,70.195,70.193,262,18390.51,5
2019-11-01,09:42,09:42 AM,70.21,70.18,70.18,70.21,70.195,200,14039.0,2
2019-11-01,09:43,09:43 AM,70.205,70.205,70.205,70.205,70.205,262,18393.71,2
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,70.385,70.385,70.385,70.385,70.385,100,7038.5,1
2019-11-01,09:46,09:46 AM,70.36,70.23,70.36,70.23,70.296,208,14621.47,9
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,,,,,,0,0.0,0
2019-11-01,09:50,09:50 AM,70.23,70.195,70.195,70.21,70.207,400,28083.0,3
2019-11-01,09:51,09:51 AM,70.23,70.22,70.23,70.22,70.225,200,14045.0,2
2019-11-01,09:52,09:52 AM,70.26,70.26,70.26,70.26,70.26,100,7026.0,1
2019-11-01,09:53,09:53 AM,70.31,70.31,70.31,70.31,70.31,100,7031.0,1
2019-11-01,09:54,09:54 AM,70.35,70.35,70.35,70.35,70.35,100,7035.0,1
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,70.395,70.395,70.395,70.395,70.395,2,140.79,1
2019-11-01,09:58,09:58 AM,70.33,70.33,70.33,70.33,70.33,100,7033.0,1
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,70.345,70.345,70.345,70.345,70.345,100,7034.5,1
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,70.405,70.405,70.405,70.405,70.405,6,422.43,1
2019-11-01,10:03,10:03 AM,,,,,,0,0.0,0
2019-11-01,10:04,10:04 AM,70.43,70.43,70.43,70.43,70.43,100,7043.0,3
2019-11-01,10:05,10:05 AM,,,,,,0,0.0,0
2019-11-01,10:06,10:06 AM,,,,,,0,0.0,0
2019-11-01,10:07,10:07 AM,,,,,,0,0.0,0
2019-11-01,10:08,10:08 AM,,,,,,0,0.0,0
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,,,,,,0,0.0,0
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,,,,,,0,0.0,0
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
2019-11-01,10:14,10:14 AM,,,,,,0,0.0,0
2019-11-01,10:15,10:15 AM,,,,,,0,0.0,0
2019-11-01,10:16,10:16 AM,,,,,,0,0.0,0
2019-11-01,10:17,10:17 AM,,,,,,0,0.0,0
2019-11-01,10:18,10:18 AM,,,,,,0,0.0,0
2019-11-01,10:19,10:19 AM,,,,,,0,0.0,0
2019-11-01,10:20,10:20 AM,,,,,,0,0.0,0
2019-11-01,10:21,10:21 AM,70.3,70.3,70.3,70.3,70.3,52,3655.6,1
2019-11-01,10:22,10:22 AM,,,,,,0,0.0,0
2019-11-01,10:23,10:23 AM,70.23,70.22,70.23,70.22,70.226,162,11376.64,2
2019-11-01,10:24,10:24 AM,70.26,70.26,70.26,70.26,70.26,7,491.82,1
2019-11-01,10:25,10:25 AM,,,,,,0,0.0,0
2019-11-01,10:26,10:26 AM,70.23,70.23,70.23,70.23,70.23,39,2738.97,1
2019-11-01,10:27,10:27 AM,,,,,,0,0.0,0
2019-11-01,10:28,10:28 AM,,,,,,0,0.0,0
2019-11-01,10:29,10:29 AM,,,,,,0,0.0,0
2019-11-01,10:30,10:30 AM,,,,,,0,0.0,0
2019-11-01,10:31,10:31 AM,,,,,,0,0.0,0
2019-11-01,10:32,10:32 AM,,,,,,0,0.0,0
2019-11-01,10:33,10:33 AM,70.38,70.38,70.38,70.38,70.38,43,3026.34,1
2019-11-01,10:34,10:34 AM,70.38,70.38,70.38,70.38,70.38,48,3378.24,1
2019-11-01,10:35,10:35 AM,,,,,,0,0.0,0
2019-11-01,10:36,10:36 AM,,,,,,0,0.0,0
2019-11-01,10:37,10:37 AM,,,,,,0,0.0,0
2019-11-01,10:38,10:38 AM,,,,,,0,0.0,0
2019-11-01,10:39,10:39 AM,,,,,,0,0.0,0
2019-11-01,10:40,10:40 AM,70.36,70.36,70.36,70.36,70.36,200,14072.0,3
2019-11-01,10:41,10:41 AM,,,,,,0,0.0,0
2019-11-01,10:42,10:42 AM,70.37,70.365,70.37,70.365,70.368,252,17732.735,9
2019-11-01,10:43,10:43 AM,70.35,70.315,70.35,70.315,70.334,224,15754.9,4
2019-11-01,10:44,10:44 AM,70.33,70.31,70.31,70.33,70.32300000000001,300,21097.0,3
2019-11-01,10:45,10:45 AM,,,,,,0,0.0,0
2019-11-01,10:46,10:46 AM,,,,,,0,0.0,0
2019-11-01,10:47,10:47 AM,,,,,,0,0.0,0
2019-11-01,10:48,10:48 AM,,,,,,0,0.0,0
2019-11-01,10:49,10:49 AM,,,,,,0,0.0,0
2019-11-01,10:50,10:50 AM,70.35,70.35,70.35,70.35,70.35,11,773.85,1
2019-11-01,10:51,10:51 AM,,,,,,0,0.0,0
2019-11-01,10:52,10:52 AM,70.4,70.38,70.4,70.38,70.39,1100,77429.0,3
2019-11-01,10:53,10:53 AM,70.36,70.36,70.36,70.36,70.36,3,211.08,1
2019-11-01,10:54,10:54 AM,70.38,70.38,70.38,70.38,70.38,200,14076.0,2
2019-11-01,10:55,10:55 AM,70.38,70.36,70.38,70.36,70.373,305,21463.8,6
2019-11-01,10:56,10:56 AM,,,,,,0,0.0,0
2019-11-01,10:57,10:57 AM,70.38,70.38,70.38,70.38,70.38,200,14076.0,2
2019-11-01,10:58,10:58 AM,70.38,70.38,70.38,70.38,70.38,300,21114.0,2
2019-11-01,10:59,10:59 AM,70.34,70.3,70.3,70.34,70.32,200,14064.0,2
2019-11-01,11:00,11 AM,,,,,,0,0.0,0
2019-11-01,11:01,11:01 AM,,,,,,0,0.0,0
2019-11-01,11:02,11:02 AM,,,,,,0,0.0,0
2019-11-01,11:03,11:03 AM,,,,,,0,0.0,0
2019-11-01,11:04,11:04 AM,,,,,,0,0.0,0
2019-11-01,11:05,11:05 AM,,,,,,0,0.0,0
2019-11-01,11:06,11:06 AM,,,,,,0,0.0,0
2019-11-01,11:07,11:07 AM,,,,,,0,0.0,0
2019-11-01,11:08,11:08 AM,70.34,70.34,70.34,70.34,70.34,412,28980.08,6
2019-11-01,11:09,11:09 AM,70.34,70.34,70.34,70.34,70.34,100,7034.0,1
2019-11-01,11:10,11:10 AM,70.34,70.34,70.34,70.34,70.34,400,28136.0,3
2019-11-01,11:11,11:11 AM,70.33,70.33,70.33,70.33,70.33,100,7033.0,1
2019-11-01,11:12,11:12 AM,70.37,70.36,70.37,70.36,70.363,300,21109.0,2
2019-11-01,11:13,11:13 AM,,,,,,0,0.0,0
2019-11-01,11:14,11:14 AM,70.395,70.395,70.395,70.395,70.395,100,7039.5,1
2019-11-01,11:15,11:15 AM,,,,,,0,0.0,0
2019-11-01,11:16,11:16 AM,,,,,,0,0.0,0
2019-11-01,11:17,11:17 AM,70.43,70.43,70.43,70.43,70.43,200,14086.0,2
2019-11-01,11:18,11:18 AM,,,,,,0,0.0,0
2019-11-01,11:19,11:19 AM,70.44,70.44,70.44,70.44,70.44,100,7044.0,1
2019-11-01,11:20,11:20 AM,,,,,,0,0.0,0
2019-11-01,11:21,11:21 AM,70.43,70.43,70.43,70.43,70.43,74,5211.82,2
2019-11-01,11:22,11:22 AM,,,,,,0,0.0,0
2019-11-01,11:23,11:23 AM,70.43,70.4,70.43,70.4,70.414,245,17251.45,4
2019-11-01,11:24,11:24 AM,,,,,,0,0.0,0
2019-11-01,11:25,11:25 AM,,,,,,0,0.0,0
2019-11-01,11:26,11:26 AM,70.355,70.355,70.355,70.355,70.355,52,3658.46,1
2019-11-01,11:27,11:27 AM,,,,,,0,0.0,0
2019-11-01,11:28,11:28 AM,70.38,70.32,70.33,70.38,70.378,95,6685.93,3
2019-11-01,11:29,11:29 AM,,,,,,0,0.0,0
2019-11-01,11:30,11:30 AM,,,,,,0,0.0,0
2019-11-01,11:31,11:31 AM,,,,,,0,0.0,0
2019-11-01,11:32,11:32 AM,,,,,,0,0.0,0
2019-11-01,11:33,11:33 AM,70.4,70.4,70.4,70.4,70.4,100,7040.0,1
2019-11-01,11:34,11:34 AM,,,,,,0,0.0,0
2019-11-01,11:35,11:35 AM,70.38,70.38,70.38,70.38,70.38,100,7038.0,1
2019-11-01,11:36,11:36 AM,70.39,70.39,70.39,70.39,70.39,103,7250.17,2
2019-11-01,11:37,11:37 AM,70.4,70.4,70.4,70.4,70.4,4,281.6,1
2019-11-01,11:38,11:38 AM,70.4,70.38,70.4,70.38,70.39,196,13796.4,2
2019-11-01,11:39,11:39 AM,70.38,70.38,70.38,70.38,70.38,3,211.14,1
2019-11-01,11:40,11:40 AM,,,,,,0,0.0,0
2019-11-01,11:41,11:41 AM,70.41,70.39,70.39,70.41,70.40100000000002,100,7040.1,2
2019-11-01,11:42,11:42 AM,,,,,,0,0.0,0
2019-11-01,11:43,11:43 AM,70.44,70.44,70.44,70.44,70.44,1,70.44,1
2019-11-01,11:44,11:44 AM,,,,,,0,0.0,0
2019-11-01,11:45,11:45 AM,70.45,70.45,70.45,70.45,70.45,7,493.15,1
2019-11-01,11:46,11:46 AM,,,,,,0,0.0,0
2019-11-01,11:47,11:47 AM,70.5,70.5,70.5,70.5,70.5,200,14100.0,4
2019-11-01,11:48,11:48 AM,,,,,,0,0.0,0
2019-11-01,11:49,11:49 AM,,,,,,0,0.0,0
2019-11-01,11:50,11:50 AM,70.51,70.51,70.51,70.51,70.51,100,7051.0,1
2019-11-01,11:51,11:51 AM,,,,,,0,0.0,0
2019-11-01,11:52,11:52 AM,,,,,,0,0.0,0
2019-11-01,11:53,11:53 AM,,,,,,0,0.0,0
2019-11-01,11:54,11:54 AM,70.5,70.5,70.5,70.5,70.5,100,7050.0,1
2019-11-01,11:55,11:55 AM,,,,,,0,0.0,0
2019-11-01,11:56,11:56 AM,,,,,,0,0.0,0
2019-11-01,11:57,11:57 AM,,,,,,0,0.0,0
2019-11-01,11:58,11:58 AM,70.5,70.5,70.5,70.5,70.5,101,7120.5,2
2019-11-01,11:59,11:59 AM,,,,,,0,0.0,0
2019-11-01,12:00,12 PM,70.51,70.51,70.51,70.51,70.51,100,7051.0,2
2019-11-01,12:01,12:01 PM,,,,,,0,0.0,0
2019-11-01,12:02,12:02 PM,,,,,,0,0.0,0
2019-11-01,12:03,12:03 PM,,,,,,0,0.0,0
2019-11-01,12:04,12:04 PM,,,,,,0,0.0,0
2019-11-01,12:05,12:05 PM,70.48,70.48,70.48,70.48,70.48,100,7048.0,1
2019-11-01,12:06,12:06 PM,,,,,,0,0.0,0
2019-11-01,12:07,12:07 PM,,,,,,0,0.0,0
2019-11-01,12:08,12:08 PM,70.41,70.4,70.4,70.41,70.405,200,14081.0,2
2019-11-01,12:09,12:09 PM,,,,,,0,0.0,0
2019-11-01,12:10,12:10 PM,,,,,,0,0.0,0
2019-11-01,12:11,12:11 PM,70.35,70.34,70.34,70.35,70.345,200,14069.0,2
2019-11-01,12:12,12:12 PM,,,,,,0,0.0,0
2019-11-01,12:13,12:13 PM,,,,,,0,0.0,0
2019-11-01,12:14,12:14 PM,70.41,70.38,70.41,70.38,70.395,200,14079.0,2
2019-11-01,12:15,12:15 PM,70.38,70.38,70.38,70.38,70.38,100,7038.0,1
2019-11-01,12:16,12:16 PM,70.32,70.32,70.32,70.32,70.32,100,7032.0,1
2019-11-01,12:17,12:17 PM,,,,,,0,0.0,0
2019-11-01,12:18,12:18 PM,70.39,70.35,70.35,70.39,70.36,700,49252.0,8
2019-11-01,12:19,12:19 PM,70.39,70.39,70.39,70.39,70.39,100,7039.0,1
2019-11-01,12:20,12:20 PM,,,,,,0,0.0,0
2019-11-01,12:21,12:21 PM,70.36,70.36,70.36,70.36,70.36,100,7036.0,1
2019-11-01,12:22,12:22 PM,70.375,70.375,70.375,70.375,70.375,100,7037.5,1
2019-11-01,12:23,12:23 PM,,,,,,0,0.0,0
2019-11-01,12:24,12:24 PM,,,,,,0,0.0,0
2019-11-01,12:25,12:25 PM,,,,,,0,0.0,0
2019-11-01,12:26,12:26 PM,70.445,70.445,70.445,70.445,70.445,800,56356.0,5
2019-11-01,12:27,12:27 PM,,,,,,0,0.0,0
2019-11-01,12:28,12:28 PM,70.475,70.475,70.475,70.475,70.475,100,7047.5,1
2019-11-01,12:29,12:29 PM,,,,,,0,0.0,0
2019-11-01,12:30,12:30 PM,,,,,,0,0.0,0
2019-11-01,12:31,12:31 PM,70.55,70.54,70.55,70.54,70.545,200,14109.0,2
2019-11-01,12:32,12:32 PM,70.545,70.545,70.545,70.545,70.545,100,7054.5,1
2019-11-01,12:33,12:33 PM,,,,,,0,0.0,0
2019-11-01,12:34,12:34 PM,70.59,70.55,70.59,70.55,70.57600000000002,305,21525.825,4
2019-11-01,12:35,12:35 PM,,,,,,0,0.0,0
2019-11-01,12:36,12:36 PM,70.61,70.61,70.61,70.61,70.61,500,35305.0,3
2019-11-01,12:37,12:37 PM,70.61,70.61,70.61,70.61,70.61,100,7061.0,1
2019-11-01,12:38,12:38 PM,70.67,70.67,70.67,70.67,70.67,1,70.67,1
2019-11-01,12:39,12:39 PM,,,,,,0,0.0,0
2019-11-01,12:40,12:40 PM,,,,,,0,0.0,0
2019-11-01,12:41,12:41 PM,,,,,,0,0.0,0
2019-11-01,12:42,12:42 PM,,,,,,0,0.0,0
2019-11-01,12:43,12:43 PM,,,,,,0,0.0,0
2019-11-01,12:44,12:44 PM,70.67,70.67,70.67,70.67,70.67,103,7279.01,3
2019-11-01,12:45,12:45 PM,70.67,70.67,70.67,70.67,70.67,200,14134.0,1
2019-11-01,12:46,12:46 PM,70.67,70.64,70.67,70.64,70.669,206,14557.9,4
2019-11-01,12:47,12:47 PM,,,,,,0,0.0,0
2019-11-01,12:48,12:48 PM,,,,,,0,0.0,0
2019-11-01,12:49,12:49 PM,,,,,,0,0.0,0
2019-11-01,12:50,12:50 PM,,,,,,0,0.0,0
2019-11-01,12:51,12:51 PM,70.63,70.63,70.63,70.63,70.63,100,7063.0,1
2019-11-01,12:52,12:52 PM,,,,,,0,0.0,0
2019-11-01,12:53,12:53 PM,,,,,,0,0.0,0
2019-11-01,12:54,12:54 PM,,,,,,0,0.0,0
2019-11-01,12:55,12:55 PM,70.6,70.6,70.6,70.6,70.6,4,282.4,1
2019-11-01,12:56,12:56 PM,,,,,,0,0.0,0
2019-11-01,12:57,12:57 PM,,,,,,0,0.0,0
2019-11-01,12:58,12:58 PM,70.55,70.55,70.55,70.55,70.55,101,7125.55,2
2019-11-01,12:59,12:59 PM,,,,,,0,0.0,0
2019-11-01,13:00,1 PM,,,,,,0,0.0,0
2019-11-01,13:01,1:01 PM,70.56,70.56,70.56,70.56,70.56,4,282.24,1
2019-11-01,13:02,1:02 PM,,,,,,0,0.0,0
2019-11-01,13:03,1:03 PM,,,,,,0,0.0,0
2019-11-01,13:04,1:04 PM,,,,,,0,0.0,0
2019-11-01,13:05,1:05 PM,,,,,,0,0.0,0
2019-11-01,13:06,1:06 PM,,,,,,0,0.0,0
2019-11-01,13:07,1:07 PM,,,,,,0,0.0,0
2019-11-01,13:08,1:08 PM,70.6,70.59,70.6,70.59,70.6,101,7130.59,2
2019-11-01,13:09,1:09 PM,,,,,,0,0.0,0
2019-11-01,13:10,1:10 PM,,,,,,0,0.0,0
2019-11-01,13:11,1:11 PM,,,,,,0,0.0,0
2019-11-01,13:12,1:12 PM,70.59,70.58,70.58,70.59,70.59,101,7129.58,2
2019-11-01,13:13,1:13 PM,,,,,,0,0.0,0
2019-11-01,13:14,1:14 PM,,,,,,0,0.0,0
2019-11-01,13:15,1:15 PM,,,,,,0,0.0,0
2019-11-01,13:16,1:16 PM,70.63,70.63,70.63,70.63,70.63,100,7063.0,1
2019-11-01,13:17,1:17 PM,70.615,70.57,70.615,70.57,70.585,15,1058.775,6
2019-11-01,13:18,1:18 PM,70.58,70.58,70.58,70.58,70.58,1,70.58,1
2019-11-01,13:19,1:19 PM,,,,,,0,0.0,0
2019-11-01,13:20,1:20 PM,70.55,70.55,70.55,70.55,70.55,404,28502.2,6
2019-11-01,13:21,1:21 PM,70.56,70.545,70.545,70.56,70.55199999999998,2,141.105,2
2019-11-01,13:22,1:22 PM,,,,,,0,0.0,0
2019-11-01,13:23,1:23 PM,,,,,,0,0.0,0
2019-11-01,13:24,1:24 PM,70.545,70.545,70.545,70.545,70.545,128,9029.76,2
2019-11-01,13:25,1:25 PM,,,,,,0,0.0,0
2019-11-01,13:26,1:26 PM,70.555,70.55,70.555,70.55,70.55,24,1693.21,3
2019-11-01,13:27,1:27 PM,70.545,70.545,70.545,70.545,70.545,100,7054.5,1
2019-11-01,13:28,1:28 PM,,,,,,0,0.0,0
2019-11-01,13:29,1:29 PM,,,,,,0,0.0,0
2019-11-01,13:30,1:30 PM,,,,,,0,0.0,0
2019-11-01,13:31,1:31 PM,,,,,,0,0.0,0
2019-11-01,13:32,1:32 PM,,,,,,0,0.0,0
2019-11-01,13:33,1:33 PM,70.605,70.6,70.605,70.6,70.6,103,7271.805,4
2019-11-01,13:34,1:34 PM,,,,,,0,0.0,0
2019-11-01,13:35,1:35 PM,70.6,70.6,70.6,70.6,70.6,101,7130.6,2
2019-11-01,13:36,1:36 PM,,,,,,0,0.0,0
2019-11-01,13:37,1:37 PM,70.6,70.6,70.6,70.6,70.6,200,14120.0,2
2019-11-01,13:38,1:38 PM,70.615,70.615,70.615,70.615,70.615,100,7061.5,1
2019-11-01,13:39,1:39 PM,70.62,70.6,70.62,70.6,70.611,306,21607.1,5
2019-11-01,13:40,1:40 PM,70.6,70.57,70.6,70.57,70.59100000000002,7,494.14,3
2019-11-01,13:41,1:41 PM,70.56,70.54,70.56,70.54,70.554,6,423.325,4
2019-11-01,13:42,1:42 PM,70.52,70.52,70.52,70.52,70.52,2,141.04,1
