date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,56.0,55.78,55.99,55.78,55.918,6017,336457.17,39
2019-11-01,09:31,09:31 AM,55.85,55.68,55.85,55.7,55.706,2600,144834.5,10
2019-11-01,09:32,09:32 AM,55.85,55.665,55.67,55.81,55.756,3970,221353.28,20
2019-11-01,09:33,09:33 AM,55.85,55.78,55.81,55.835,55.821999999999996,1591,88812.79,15
2019-11-01,09:34,09:34 AM,55.9,55.85,55.89,55.885,55.878,1016,56771.74,10
2019-11-01,09:35,09:35 AM,56.01,55.92,55.92,55.99,55.966,2373,132808.325,23
2019-11-01,09:36,09:36 AM,56.06,55.95,56.025,55.965,55.985,4085,228699.31,19
2019-11-01,09:37,09:37 AM,56.04,55.98,55.98,56.03,55.996,3179,178010.405,20
2019-11-01,09:38,09:38 AM,56.0,55.95,55.985,55.975,55.976000000000006,5685,318225.2,22
2019-11-01,09:39,09:39 AM,56.04,55.99,55.99,56.01,56.0,1615,90439.41,8
2019-11-01,09:40,09:40 AM,56.065,55.98,56.03,55.99,56.043,890,49878.345,9
2019-11-01,09:41,09:41 AM,56.01,55.99,55.99,56.0,55.998999999999995,994,55663.41,9
2019-11-01,09:42,09:42 AM,56.065,56.01,56.01,56.06,56.043,8043,450756.615,23
2019-11-01,09:43,09:43 AM,56.1,56.055,56.075,56.1,56.071999999999996,1635,91677.4,11
2019-11-01,09:44,09:44 AM,56.25,56.11,56.11,56.25,56.138999999999996,802,45023.105,10
2019-11-01,09:45,09:45 AM,56.26,56.23,56.235,56.245,56.236999999999995,2202,123833.99,12
2019-11-01,09:46,09:46 AM,56.335,56.3,56.3,56.31,56.309,4400,247759.47,12
2019-11-01,09:47,09:47 AM,56.3,56.25,56.28,56.28,56.277,384,21610.52,4
2019-11-01,09:48,09:48 AM,56.36,56.27,56.28,56.27,56.293,1036,58319.98,6
2019-11-01,09:49,09:49 AM,56.315,56.29,56.29,56.315,56.29600000000001,625,35184.75,6
2019-11-01,09:50,09:50 AM,56.36,56.31,56.325,56.36,56.326,427,24051.185,6
2019-11-01,09:51,09:51 AM,56.34,56.34,56.34,56.34,56.34,400,22536.0,2
2019-11-01,09:52,09:52 AM,56.41,56.32,56.32,56.4,56.394,1504,84817.12,6
2019-11-01,09:53,09:53 AM,56.42,56.39,56.4,56.39,56.402,3064,172816.87,24
2019-11-01,09:54,09:54 AM,56.41,56.385,56.39,56.41,56.386,79976,4509495.91,48
2019-11-01,09:55,09:55 AM,56.44,56.395,56.44,56.405,56.412,1001,56468.395,10
2019-11-01,09:56,09:56 AM,56.45,56.36,56.405,56.415,56.403,4048,228320.665,20
2019-11-01,09:57,09:57 AM,56.385,56.385,56.385,56.385,56.385,100,5638.5,1
2019-11-01,09:58,09:58 AM,56.37,56.37,56.37,56.37,56.37,2,112.74,1
2019-11-01,09:59,09:59 AM,56.36,56.36,56.36,56.36,56.36,100,5636.0,1
2019-11-01,10:00,10 AM,56.35,56.27,56.32,56.31,56.32100000000001,1397,78680.88,14
2019-11-01,10:01,10:01 AM,56.34,56.275,56.305,56.335,56.313,807,45444.24,9
2019-11-01,10:02,10:02 AM,56.4,56.33,56.33,56.4,56.364,209,11779.985,4
2019-11-01,10:03,10:03 AM,56.5,56.45,56.45,56.5,56.478,702,39647.44,6
2019-11-01,10:04,10:04 AM,56.5,56.48,56.5,56.495,56.492,207,11693.915,7
2019-11-01,10:05,10:05 AM,56.615,56.52,56.52,56.615,56.565,725,41009.895,10
2019-11-01,10:06,10:06 AM,56.625,56.575,56.615,56.58,56.602,1465,82922.265,24
2019-11-01,10:07,10:07 AM,56.575,56.55,56.565,56.565,56.565,739,41801.26,10
2019-11-01,10:08,10:08 AM,56.575,56.555,56.565,56.56,56.562,378,21380.385,12
2019-11-01,10:09,10:09 AM,56.57,56.525,56.555,56.525,56.54600000000001,212,11987.69,4
2019-11-01,10:10,10:10 AM,56.545,56.52,56.53,56.52,56.535,528,29850.31,9
2019-11-01,10:11,10:11 AM,56.5,56.465,56.5,56.465,56.474,719,40604.5,11
2019-11-01,10:12,10:12 AM,56.47,56.425,56.465,56.465,56.445,1986,112099.87,21
2019-11-01,10:13,10:13 AM,56.52,56.465,56.465,56.505,56.496,2447,138245.165,11
2019-11-01,10:14,10:14 AM,56.52,56.485,56.5,56.51,56.498999999999995,934,52769.795,9
2019-11-01,10:15,10:15 AM,56.565,56.5,56.53,56.5,56.538000000000004,1056,59704.08,12
2019-11-01,10:16,10:16 AM,56.515,56.5,56.515,56.5,56.505,464,26218.14,6
2019-11-01,10:17,10:17 AM,56.525,56.495,56.515,56.495,56.50899999999999,828,46789.42,8
2019-11-01,10:18,10:18 AM,56.515,56.475,56.485,56.475,56.486999999999995,945,53380.05,11
2019-11-01,10:19,10:19 AM,56.515,56.49,56.495,56.515,56.501999999999995,202,11413.49,3
2019-11-01,10:20,10:20 AM,56.515,56.505,56.515,56.505,56.511,513,28990.13,5
2019-11-01,10:21,10:21 AM,56.5,56.475,56.5,56.475,56.483999999999995,519,29315.12,6
2019-11-01,10:22,10:22 AM,56.52,56.51,56.515,56.52,56.515,300,16954.5,3
2019-11-01,10:23,10:23 AM,56.52,56.495,56.52,56.495,56.5,126,7119.02,3
2019-11-01,10:24,10:24 AM,56.5,56.465,56.5,56.48,56.48,500,28240.0,5
2019-11-01,10:25,10:25 AM,56.5,56.49,56.49,56.5,56.493,300,16948.0,3
2019-11-01,10:26,10:26 AM,56.475,56.47,56.475,56.475,56.473,928,52406.66,11
2019-11-01,10:27,10:27 AM,56.475,56.455,56.46,56.475,56.47,358,20216.23,5
2019-11-01,10:28,10:28 AM,56.46,56.445,56.46,56.45,56.452,300,16935.5,3
2019-11-01,10:29,10:29 AM,56.465,56.445,56.46,56.465,56.46,624,35231.0,8
2019-11-01,10:30,10:30 AM,56.485,56.47,56.475,56.485,56.479,284,16040.11,5
2019-11-01,10:31,10:31 AM,56.465,56.435,56.465,56.445,56.453,400,22581.0,4
2019-11-01,10:32,10:32 AM,56.46,56.445,56.46,56.45,56.456,800,45165.0,8
2019-11-01,10:33,10:33 AM,56.465,56.45,56.45,56.45,56.461999999999996,934,52735.165,11
2019-11-01,10:34,10:34 AM,56.54,56.47,56.47,56.54,56.51600000000001,885,50016.835,14
2019-11-01,10:35,10:35 AM,56.545,56.53,56.545,56.545,56.541000000000004,402,22729.59,4
2019-11-01,10:36,10:36 AM,56.525,56.51,56.525,56.51,56.518,350,19781.25,5
2019-11-01,10:37,10:37 AM,56.57,56.54,56.545,56.57,56.54600000000001,135,7633.7,4
2019-11-01,10:38,10:38 AM,56.64,56.59,56.59,56.64,56.625,598,33861.83,7
2019-11-01,10:39,10:39 AM,56.625,56.575,56.625,56.575,56.597,400,22638.8,5
2019-11-01,10:40,10:40 AM,56.585,56.565,56.565,56.58,56.582,361,20425.97,7
2019-11-01,10:41,10:41 AM,56.585,56.57,56.585,56.57,56.578,200,11315.5,2
2019-11-01,10:42,10:42 AM,56.605,56.585,56.585,56.605,56.592,321,18165.89,5
2019-11-01,10:43,10:43 AM,56.625,56.62,56.62,56.625,56.622,300,16986.5,3
2019-11-01,10:44,10:44 AM,56.6,56.585,56.6,56.585,56.586999999999996,114,6450.9,2
2019-11-01,10:45,10:45 AM,56.615,56.6,56.615,56.6,56.608999999999995,423,23945.735,8
2019-11-01,10:46,10:46 AM,56.63,56.61,56.61,56.615,56.618,711,40255.275,7
2019-11-01,10:47,10:47 AM,56.61,56.605,56.61,56.605,56.605,77,4358.595,2
2019-11-01,10:48,10:48 AM,56.59,56.565,56.59,56.565,56.566,105,5939.45,2
2019-11-01,10:49,10:49 AM,56.57,56.55,56.55,56.57,56.566,2200,124446.0,7
2019-11-01,10:50,10:50 AM,56.55,56.535,56.55,56.535,56.545,300,16963.5,3
2019-11-01,10:51,10:51 AM,56.56,56.53,56.53,56.56,56.55,900,50895.17,6
2019-11-01,10:52,10:52 AM,56.55,56.53,56.53,56.54,56.54,300,16962.0,3
2019-11-01,10:53,10:53 AM,56.56,56.555,56.555,56.56,56.556000000000004,400,22622.5,4
2019-11-01,10:54,10:54 AM,56.57,56.565,56.565,56.57,56.57,101,5713.565,2
2019-11-01,10:55,10:55 AM,56.58,56.575,56.58,56.575,56.578,189,10693.175,2
2019-11-01,10:56,10:56 AM,56.565,56.55,56.55,56.565,56.556999999999995,401,22679.56,5
2019-11-01,10:57,10:57 AM,56.54,56.54,56.54,56.54,56.54,100,5654.0,1
2019-11-01,10:58,10:58 AM,56.55,56.54,56.545,56.55,56.545,300,16963.5,3
2019-11-01,10:59,10:59 AM,,,,,,0,0.0,0
2019-11-01,11:00,11 AM,56.535,56.53,56.535,56.53,56.534,6,339.205,2
2019-11-01,11:01,11:01 AM,56.51,56.49,56.51,56.49,56.508,12,678.1,2
2019-11-01,11:02,11:02 AM,56.46,56.455,56.455,56.46,56.457,300,16937.0,3
2019-11-01,11:03,11:03 AM,56.49,56.485,56.49,56.485,56.485,440,24853.6,5
2019-11-01,11:04,11:04 AM,56.485,56.485,56.485,56.485,56.485,283,15985.255,2
