date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,21.85,21.85,21.85,21.85,21.85,100,2185.0,1
2019-11-01,09:33,09:33 AM,,,,,,0,0.0,0
2019-11-01,09:34,09:34 AM,21.85,21.84,21.84,21.85,21.845,200,4369.0,2
2019-11-01,09:35,09:35 AM,21.79,21.79,21.79,21.79,21.79,100,2179.0,1
2019-11-01,09:36,09:36 AM,21.82,21.82,21.82,21.82,21.82,100,2182.0,1
2019-11-01,09:37,09:37 AM,21.85,21.83,21.83,21.85,21.84,200,4368.0,2
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,21.87,21.86,21.87,21.86,21.865,200,4373.0,2
2019-11-01,09:40,09:40 AM,21.87,21.855,21.87,21.855,21.855999999999998,107,2338.59,2
2019-11-01,09:41,09:41 AM,21.825,21.825,21.825,21.825,21.825,500,10912.5,2
2019-11-01,09:42,09:42 AM,,,,,,0,0.0,0
2019-11-01,09:43,09:43 AM,21.8,21.8,21.8,21.8,21.8,102,2223.6,2
2019-11-01,09:44,09:44 AM,21.81,21.81,21.81,21.81,21.81,200,4362.0,1
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,21.795,21.775,21.795,21.78,21.785,303,6600.825,3
2019-11-01,09:47,09:47 AM,21.775,21.775,21.775,21.775,21.775,300,6532.5,3
2019-11-01,09:48,09:48 AM,21.77,21.77,21.77,21.77,21.77,300,6531.0,2
2019-11-01,09:49,09:49 AM,21.81,21.765,21.765,21.81,21.774,500,10887.0,3
2019-11-01,09:50,09:50 AM,21.85,21.85,21.85,21.85,21.85,142,3102.7,2
2019-11-01,09:51,09:51 AM,21.875,21.86,21.86,21.875,21.874000000000002,107,2340.52,2
2019-11-01,09:52,09:52 AM,21.92,21.92,21.92,21.92,21.92,1,21.92,1
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,21.96,21.96,21.96,21.96,21.96,1,21.96,1
2019-11-01,09:58,09:58 AM,,,,,,0,0.0,0
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,21.915,21.915,21.915,21.915,21.915,100,2191.5,1
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,,,,,,0,0.0,0
2019-11-01,10:03,10:03 AM,22.0,21.99,22.0,21.99,22.0,103,2265.97,2
2019-11-01,10:04,10:04 AM,,,,,,0,0.0,0
2019-11-01,10:05,10:05 AM,21.995,21.985,21.995,21.985,21.989,808,17767.42,7
2019-11-01,10:06,10:06 AM,21.995,21.995,21.995,21.995,21.995,100,2199.5,1
2019-11-01,10:07,10:07 AM,21.975,21.975,21.975,21.975,21.975,909,19975.275,10
2019-11-01,10:08,10:08 AM,21.99,21.99,21.99,21.99,21.99,200,4398.0,1
2019-11-01,10:09,10:09 AM,22.0,21.995,21.995,22.0,21.997,600,13198.0,6
2019-11-01,10:10,10:10 AM,22.005,22.0,22.005,22.005,22.002,501,11023.005,5
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
