date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,145.445,145.445,145.445,145.445,145.445,100.0,14544.5,1.0
2019-11-01,09:31,09:31 AM,145.32,145.32,145.32,145.32,145.32,100.0,14532.0,1.0
2019-11-01,09:32,09:32 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:33,09:33 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:34,09:34 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:35,09:35 AM,145.59,145.455,145.455,145.59,145.523,200.0,29104.5,2.0
2019-11-01,09:36,09:36 AM,145.645,145.555,145.555,145.645,145.57299999999995,600.0,87344.0,10.0
2019-11-01,09:37,09:37 AM,146.18,146.18,146.18,146.18,146.18,100.0,14618.0,1.0
2019-11-01,09:38,09:38 AM,146.02,146.005,146.02,146.005,146.012,200.0,29202.5,2.0
2019-11-01,09:39,09:39 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:40,09:40 AM,146.015,146.015,146.015,146.015,146.015,100.0,14601.5,1.0
2019-11-01,09:41,09:41 AM,146.035,146.035,146.035,146.035,146.035,100.0,14603.5,1.0
2019-11-01,09:42,09:42 AM,146.25,146.25,146.25,146.25,146.25,100.0,14625.0,1.0
2019-11-01,09:43,09:43 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:44,09:44 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:45,09:45 AM,146.91,146.91,146.91,146.91,146.91,100.0,14691.0,1.0
2019-11-01,09:46,09:46 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:47,09:47 AM,146.785,146.69,146.785,146.69,146.754,148.0,21719.62,2.0
2019-11-01,09:48,09:48 AM,146.72,146.62,146.62,146.72,146.653,300.0,43996.0,3.0
2019-11-01,09:49,09:49 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:50,09:50 AM,146.95,146.95,146.95,146.95,146.95,100.0,14695.0,1.0
2019-11-01,09:51,09:51 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:52,09:52 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:53,09:53 AM,147.25,147.11,147.11,147.25,147.18,199.0,29288.75,2.0
2019-11-01,09:54,09:54 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:55,09:55 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:56,09:56 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:57,09:57 AM,,,,,,0.0,0.0,0.0
2019-11-01,09:58,09:58 AM,146.685,146.685,146.685,146.685,146.685,15.0,2200.275,1.0
2019-11-01,09:59,09:59 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:00,10 AM,146.78,146.74,146.74,146.78,146.76,200.0,29352.0,2.0
2019-11-01,10:01,10:01 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:02,10:02 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:03,10:03 AM,147.42,147.38,147.42,147.38,147.41,400.0,58964.0,3.0
2019-11-01,10:04,10:04 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:05,10:05 AM,147.34,147.34,147.34,147.34,147.34,50.0,7367.0,2.0
2019-11-01,10:06,10:06 AM,147.45,147.4,147.45,147.4,147.418,303.0,44667.62,6.0
2019-11-01,10:07,10:07 AM,147.52,147.46,147.52,147.46,147.5,300.0,44250.0,7.0
2019-11-01,10:08,10:08 AM,147.385,147.385,147.385,147.385,147.385,20.0,2947.7,1.0
2019-11-01,10:09,10:09 AM,147.32,147.27,147.32,147.27,147.282,137.0,20177.69,4.0
2019-11-01,10:10,10:10 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:11,10:11 AM,146.85,146.85,146.85,146.85,146.85,100.0,14685.0,1.0
2019-11-01,10:12,10:12 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:13,10:13 AM,146.78,146.7,146.78,146.71,146.70600000000005,208.0,30514.95,4.0
2019-11-01,10:14,10:14 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:15,10:15 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:16,10:16 AM,146.98,146.955,146.98,146.955,146.968,200.0,29393.5,2.0
2019-11-01,10:17,10:17 AM,147.01,146.97,147.01,146.97,146.99,200.0,29398.0,2.0
2019-11-01,10:18,10:18 AM,146.96,146.895,146.96,146.895,146.938,300.0,44081.5,3.0
2019-11-01,10:19,10:19 AM,146.88,146.84,146.88,146.84,146.86700000000005,171.0,25114.33,4.0
2019-11-01,10:20,10:20 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:21,10:21 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:22,10:22 AM,146.77,146.77,146.77,146.77,146.77,25.0,3669.25,1.0
2019-11-01,10:23,10:23 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:24,10:24 AM,146.67,146.67,146.67,146.67,146.67,6.0,880.02,1.0
2019-11-01,10:25,10:25 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:26,10:26 AM,146.445,146.445,146.445,146.445,146.445,100.0,14644.5,1.0
2019-11-01,10:27,10:27 AM,,,,,,0.0,0.0,0.0
2019-11-01,10:28,10:28 AM,146.2,146.2,146.2,146.2,146.2,100.0,14620.0,1.0
2019-11-01,10:29,10:29 AM,146.215,146.115,146.215,146.115,146.168,275.0,40196.125,4.0
