date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,,,,,,0,0.0,0
2019-11-01,09:33,09:33 AM,556.82,556.685,556.82,556.685,556.693,17,9463.78,2
2019-11-01,09:34,09:34 AM,,,,,,0,0.0,0
2019-11-01,09:35,09:35 AM,,,,,,0,0.0,0
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,556.9,556.26,556.26,556.9,556.797,135,75167.6,3
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,557.57,556.11,556.11,556.995,557.362,21,11704.595,4
2019-11-01,09:41,09:41 AM,557.6,557.6,557.6,557.6,557.6,1,557.6,1
2019-11-01,09:42,09:42 AM,557.565,557.565,557.565,557.565,557.565,1,557.565,1
2019-11-01,09:43,09:43 AM,558.41,558.41,558.41,558.41,558.41,2,1116.82,1
2019-11-01,09:44,09:44 AM,558.855,558.645,558.645,558.855,558.687,24,13408.485,4
2019-11-01,09:45,09:45 AM,558.98,558.98,558.98,558.98,558.98,1,558.98,1
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,558.85,558.85,558.85,558.85,558.85,6,3353.1,2
2019-11-01,09:48,09:48 AM,559.02,558.68,558.96,558.68,558.747,115,64255.9,6
2019-11-01,09:49,09:49 AM,558.81,558.81,558.81,558.81,558.81,1,558.81,1
2019-11-01,09:50,09:50 AM,558.79,558.79,558.79,558.79,558.79,1,558.79,1
2019-11-01,09:51,09:51 AM,560.49,559.41,559.41,560.49,560.414,75,42031.08,4
2019-11-01,09:52,09:52 AM,560.705,560.705,560.705,560.705,560.705,16,8971.28,1
2019-11-01,09:53,09:53 AM,561.62,560.29,561.62,560.29,560.48,7,3923.36,2
2019-11-01,09:54,09:54 AM,,,,,,0,0.0,0
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,559.84,559.47,559.84,559.47,559.816,107,59900.3,3
2019-11-01,09:57,09:57 AM,,,,,,0,0.0,0
2019-11-01,09:58,09:58 AM,559.89,559.82,559.89,559.82,559.867,3,1679.6,2
2019-11-01,09:59,09:59 AM,,,,,,0,0.0,0
2019-11-01,10:00,10 AM,559.75,558.56,559.75,558.56,559.328,411,229883.795,9
2019-11-01,10:01,10:01 AM,559.63,559.22,559.22,559.495,559.521,5,2797.605,3
2019-11-01,10:02,10:02 AM,561.03,560.365,560.365,560.755,560.629,4,2242.515,3
2019-11-01,10:03,10:03 AM,561.5,560.745,560.745,561.205,561.2130000000002,218,122344.49,6
2019-11-01,10:04,10:04 AM,,,,,,0,0.0,0
2019-11-01,10:05,10:05 AM,561.87,561.61,561.61,561.62,561.628,127,71326.735,9
2019-11-01,10:06,10:06 AM,561.495,561.495,561.495,561.495,561.495,100,56149.5,1
2019-11-01,10:07,10:07 AM,,,,,,0,0.0,0
2019-11-01,10:08,10:08 AM,560.685,560.685,560.685,560.685,560.685,1,560.685,1
2019-11-01,10:09,10:09 AM,,,,,,0,0.0,0
2019-11-01,10:10,10:10 AM,,,,,,0,0.0,0
2019-11-01,10:11,10:11 AM,560.705,560.705,560.705,560.705,560.705,1,560.705,1
2019-11-01,10:12,10:12 AM,560.99,560.61,560.99,560.62,560.9780000000002,63,35341.62,3
