date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-11-01,09:30,09:30 AM,,,,,,0,0.0,0
2019-11-01,09:31,09:31 AM,,,,,,0,0.0,0
2019-11-01,09:32,09:32 AM,153.64,153.52,153.64,153.52,153.56,300,46068.0,3
2019-11-01,09:33,09:33 AM,153.64,153.64,153.64,153.64,153.64,1,153.64,1
2019-11-01,09:34,09:34 AM,154.245,154.245,154.245,154.245,154.245,100,15424.5,1
2019-11-01,09:35,09:35 AM,154.65,154.65,154.65,154.65,154.65,45,6959.25,1
2019-11-01,09:36,09:36 AM,,,,,,0,0.0,0
2019-11-01,09:37,09:37 AM,,,,,,0,0.0,0
2019-11-01,09:38,09:38 AM,,,,,,0,0.0,0
2019-11-01,09:39,09:39 AM,,,,,,0,0.0,0
2019-11-01,09:40,09:40 AM,155.1,155.1,155.1,155.1,155.1,30,4653.0,2
2019-11-01,09:41,09:41 AM,,,,,,0,0.0,0
2019-11-01,09:42,09:42 AM,155.05,155.05,155.05,155.05,155.05,80,12404.0,1
2019-11-01,09:43,09:43 AM,155.15,155.15,155.15,155.15,155.15,100,15515.0,1
2019-11-01,09:44,09:44 AM,,,,,,0,0.0,0
2019-11-01,09:45,09:45 AM,,,,,,0,0.0,0
2019-11-01,09:46,09:46 AM,,,,,,0,0.0,0
2019-11-01,09:47,09:47 AM,,,,,,0,0.0,0
2019-11-01,09:48,09:48 AM,,,,,,0,0.0,0
2019-11-01,09:49,09:49 AM,,,,,,0,0.0,0
2019-11-01,09:50,09:50 AM,154.745,154.745,154.745,154.745,154.745,100,15474.5,1
2019-11-01,09:51,09:51 AM,,,,,,0,0.0,0
2019-11-01,09:52,09:52 AM,154.9,154.9,154.9,154.9,154.9,100,15490.0,1
2019-11-01,09:53,09:53 AM,,,,,,0,0.0,0
2019-11-01,09:54,09:54 AM,155.22,155.22,155.22,155.22,155.22,100,15522.0,1
2019-11-01,09:55,09:55 AM,,,,,,0,0.0,0
2019-11-01,09:56,09:56 AM,,,,,,0,0.0,0
2019-11-01,09:57,09:57 AM,154.68,154.68,154.68,154.68,154.68,1,154.68,1
2019-11-01,09:58,09:58 AM,154.735,154.7,154.735,154.7,154.71200000000005,300,46413.5,2
2019-11-01,09:59,09:59 AM,154.7,154.7,154.7,154.7,154.7,400,61880.0,2
2019-11-01,10:00,10 AM,154.64,154.44,154.44,154.64,154.507,900,139056.0,3
2019-11-01,10:01,10:01 AM,,,,,,0,0.0,0
2019-11-01,10:02,10:02 AM,154.695,154.695,154.695,154.695,154.695,100,15469.5,1
2019-11-01,10:03,10:03 AM,154.97,154.97,154.97,154.97,154.97,10,1549.7,1
2019-11-01,10:04,10:04 AM,,,,,,0,0.0,0
2019-11-01,10:05,10:05 AM,155.01,155.005,155.005,155.01,155.006,700,108504.0,2
2019-11-01,10:06,10:06 AM,154.91,154.91,154.91,154.91,154.91,1,154.91,1
2019-11-01,10:07,10:07 AM,155.305,155.305,155.305,155.305,155.305,200,31061.0,1
2019-11-01,10:08,10:08 AM,155.695,155.645,155.645,155.695,155.67,400,62268.0,2
2019-11-01,10:09,10:09 AM,155.67,155.67,155.67,155.67,155.67,200,31134.0,1
2019-11-01,10:10,10:10 AM,,,,,,0,0.0,0
2019-11-01,10:11,10:11 AM,,,,,,0,0.0,0
2019-11-01,10:12,10:12 AM,,,,,,0,0.0,0
2019-11-01,10:13,10:13 AM,,,,,,0,0.0,0
2019-11-01,10:14,10:14 AM,,,,,,0,0.0,0
